addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
甘肃省,兰州市,城关区,酒泉路街道,103.8310669,36.0499514,118.0,203.0,195.0,146.0,503.0,318.0,78.0,3.0,62.0,31.0,55.0,20.0,7.0,197.0,712.0,43.0,6366.0,9.0,21.0,0.0,24.0,45.0,43.0,98.0,56.0,13.0,0.0,18.0,7.0,16.0,4.0,2.0,70.0,181.0,8.0,1319.0,8.0,7.0,11637481789,7034375,兰州市城关区,兰州市城关区酒泉路街道,20.0,30.0,30.0,20.0,100.0,96.28,74.51150442477875,47.68
甘肃省,兰州市,城关区,张掖路街道,103.8196284,36.0617157,121.0,215.0,167.0,148.0,465.0,252.0,66.0,2.0,56.0,29.0,48.0,19.0,8.0,156.0,524.0,42.0,5689.0,9.0,18.0,14.0,59.0,38.0,16.0,59.0,52.0,13.0,0.0,14.0,5.0,7.0,6.0,0.0,30.0,156.0,4.0,864.0,8.0,12.0,11637224128,7034374,兰州市城关区,兰州市城关区张掖路街道,20.0,30.0,28.0,20.0,98.0,96.28,74.51150442477875,47.68
甘肃省,兰州市,城关区,雁南街道,103.8767704,36.0613868,0.0,147.0,171.0,133.0,531.0,229.0,50.0,9.0,18.0,17.0,38.0,8.0,5.0,87.0,285.0,24.0,4464.0,9.0,14.0,0.0,13.0,25.0,6.0,101.0,27.0,5.0,0.0,1.0,1.0,3.0,1.0,1.0,11.0,21.0,5.0,573.0,6.0,6.0,8063069867,17205648,兰州市城关区,兰州市城关区雁南街道,20.0,30.0,30.0,20.0,100.0,96.28,74.51150442477875,47.68
甘肃省,兰州市,城关区,临夏路街道,103.8116283,36.0594324,139.0,214.0,139.0,145.0,483.0,240.0,60.0,1.0,49.0,26.0,45.0,19.0,7.0,140.0,484.0,42.0,5305.0,9.0,19.0,32.0,83.0,9.0,15.0,77.0,43.0,10.0,0.0,8.0,8.0,6.0,3.0,1.0,25.0,151.0,6.0,812.0,8.0,9.0,11637224127,7034373,兰州市城关区,兰州市城关区临夏路街道,20.0,30.0,30.0,20.0,100.0,96.28,74.51150442477875,47.68
甘肃省,兰州市,城关区,雁北街道,103.874822,36.065795,0.0,141.0,157.0,116.0,498.0,203.0,49.0,6.0,16.0,16.0,34.0,8.0,5.0,75.0,230.0,17.0,4004.0,9.0,15.0,0.0,17.0,23.0,6.0,112.0,26.0,7.0,0.0,1.0,2.0,4.0,1.0,0.0,9.0,22.0,4.0,577.0,7.0,7.0,-1,7034361,兰州市城关区,兰州市城关区雁北街道,13.0,30.0,28.0,20.0,91.0,96.28,74.51150442477875,47.68
甘肃省,兰州市,城关区,五泉街道,103.8316598,36.0432592,121.0,182.0,177.0,135.0,452.0,299.0,71.0,3.0,62.0,30.0,54.0,17.0,7.0,191.0,688.0,38.0,5871.0,9.0,20.0,11.0,5.0,38.0,29.0,103.0,51.0,10.0,0.0,9.0,5.0,17.0,3.0,2.0,45.0,118.0,12.0,1297.0,8.0,8.0,11637481790,7034370,兰州市城关区,兰州市城关区五泉街道,20.0,30.0,30.0,20.0,100.0,96.28,74.51150442477875,47.68
甘肃省,兰州市,城关区,白银路街道,103.8201897,36.0521933,127.0,192.0,172.0,133.0,466.0,274.0,57.0,1.0,59.0,30.0,55.0,20.0,9.0,172.0,558.0,47.0,5858.0,9.0,19.0,10.0,61.0,43.0,28.0,74.0,52.0,10.0,0.0,12.0,7.0,12.0,6.0,2.0,55.0,207.0,6.0,1115.0,7.0,10.0,11637224129,7034372,兰州市城关区,兰州市城关区白银路街道,20.0,30.0,30.0,20.0,100.0,96.28,74.51150442477875,47.68
甘肃省,兰州市,城关区,皋兰路街道,103.8382105,36.0473755,48.0,195.0,221.0,164.0,476.0,330.0,83.0,6.0,62.0,34.0,62.0,20.0,6.0,207.0,751.0,41.0,6602.0,9.0,20.0,0.0,14.0,36.0,56.0,87.0,60.0,13.0,0.0,21.0,9.0,17.0,3.0,2.0,61.0,200.0,10.0,1238.0,8.0,8.0,11637481788,7034360,兰州市城关区,兰州市城关区皋兰路街道,20.0,30.0,30.0,20.0,100.0,96.28,74.51150442477875,47.68
甘肃省,兰州市,城关区,广武门街道,103.8428369,36.0555326,39.0,230.0,232.0,179.0,567.0,365.0,86.0,6.0,63.0,34.0,65.0,19.0,6.0,214.0,787.0,41.0,7191.0,9.0,19.0,2.0,15.0,43.0,46.0,49.0,46.0,18.0,0.0,25.0,7.0,12.0,5.0,1.0,51.0,145.0,3.0,955.0,8.0,10.0,11684580562,7034371,兰州市城关区,兰州市城关区广武门街道,20.0,30.0,30.0,20.0,100.0,96.28,74.51150442477875,47.68
甘肃省,兰州市,城关区,伏龙坪街道,103.8081184,36.0509143,146.0,188.0,123.0,129.0,468.0,215.0,55.0,0.0,43.0,26.0,42.0,18.0,7.0,138.0,431.0,46.0,5028.0,9.0,19.0,62.0,50.0,12.0,16.0,90.0,23.0,5.0,0.0,1.0,5.0,5.0,2.0,1.0,5.0,32.0,5.0,611.0,6.0,11.0,11637224130,7034376,兰州市城关区,兰州市城关区伏龙坪街道,20.0,28.0,30.0,20.0,98.0,96.28,74.51150442477875,47.68
