addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
安徽省,合肥市,瑶海区,明光路街道,117.3016267,31.8584716,146.0,203.0,85.0,159.0,272.0,74.0,39.0,405.0,365.0,38.0,14.0,28.0,32.0,33.0,62.0,101.0,0.0,1.0,15.0,84.0,531.0,357.0,23.0,73.0,1.0,65.0,841.0,34.0,21.0,12.0,23.0,111.0,28.0,46.0,21.0,17.0,49.0,66.0,7.0,27.0,55.0,10.0,9.0,85.0,49.0,7.0,2.0,3.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,13.0,79.0,38.0,0.0,7.0,0.0,12.0,73.0,0.0,7.0,3.0,5.0,26.0,8.0,16.0,17.0,10.0,3823815382.0,7424418.0,合肥市瑶海区,合肥市瑶海区明光路街道,20.0,30.0,16.0,20.0,86.0,81.18333333333334,64.2376923076923,44.94589625738674
安徽省,合肥市,瑶海区,胜利路街道,117.2963607,31.8650544,178.0,215.0,106.0,171.0,344.0,129.0,39.0,458.0,412.0,48.0,11.0,27.0,37.0,38.0,71.0,112.0,1.0,1.0,20.0,99.0,591.0,422.0,26.0,79.0,1.0,68.0,978.0,34.0,29.0,12.0,27.0,112.0,34.0,51.0,21.0,21.0,38.0,50.0,6.0,27.0,43.0,3.0,0.0,174.0,63.0,4.0,2.0,2.0,2.0,2.0,7.0,11.0,0.0,0.0,1.0,18.0,71.0,73.0,0.0,18.0,0.0,9.0,151.0,0.0,5.0,4.0,4.0,29.0,12.0,16.0,15.0,12.0,3823815381.0,7424419.0,合肥市瑶海区,合肥市瑶海区胜利路街道,20.0,30.0,23.0,20.0,93.0,81.18333333333334,64.2376923076923,44.94589625738674
安徽省,合肥市,瑶海区,三里街街道,117.3136977,31.8750899,151.0,176.0,85.0,134.0,220.0,44.0,7.0,237.0,289.0,18.0,16.0,4.0,21.0,21.0,52.0,85.0,0.0,0.0,2.0,41.0,528.0,271.0,60.0,61.0,0.0,50.0,265.0,0.0,10.0,4.0,16.0,63.0,20.0,37.0,19.0,16.0,22.0,25.0,8.0,14.0,33.0,13.0,0.0,0.0,44.0,0.0,2.0,0.0,6.0,6.0,8.0,16.0,0.0,0.0,0.0,4.0,88.0,39.0,2.0,12.0,0.0,9.0,6.0,0.0,0.0,0.0,2.0,3.0,2.0,12.0,9.0,6.0,3823816983.0,7424422.0,合肥市瑶海区,合肥市瑶海区三里街街道,20.0,30.0,19.0,20.0,89.0,81.18333333333334,64.2376923076923,44.94589625738674
安徽省,合肥市,瑶海区,铜陵路街道,117.3182129,31.8725892,143.0,168.0,71.0,131.0,202.0,42.0,8.0,198.0,281.0,14.0,16.0,4.0,19.0,19.0,50.0,79.0,0.0,0.0,1.0,34.0,516.0,227.0,57.0,57.0,0.0,48.0,207.0,0.0,9.0,4.0,14.0,57.0,18.0,37.0,19.0,14.0,14.0,26.0,6.0,10.0,26.0,13.0,0.0,4.0,35.0,0.0,3.0,0.0,5.0,5.0,7.0,14.0,0.0,0.0,0.0,4.0,91.0,28.0,4.0,10.0,0.0,8.0,8.0,0.0,0.0,0.0,2.0,5.0,2.0,9.0,11.0,8.0,3823816984.0,7424427.0,合肥市瑶海区,合肥市瑶海区铜陵路街道,20.0,30.0,19.0,20.0,89.0,81.18333333333334,64.2376923076923,44.94589625738674
安徽省,合肥市,瑶海区,七里站街道,117.333556,31.8692886,99.0,161.0,70.0,120.0,185.0,43.0,3.0,46.0,242.0,4.0,18.0,1.0,19.0,19.0,46.0,73.0,0.0,0.0,0.0,14.0,431.0,143.0,68.0,47.0,0.0,40.0,103.0,0.0,1.0,1.0,9.0,28.0,6.0,29.0,16.0,12.0,0.0,20.0,4.0,9.0,5.0,8.0,0.0,0.0,37.0,1.0,4.0,0.0,2.0,2.0,5.0,10.0,0.0,0.0,0.0,5.0,88.0,10.0,16.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,6.0,6.0,3823816985.0,7424425.0,合肥市瑶海区,合肥市瑶海区七里站街道,20.0,30.0,20.0,14.4,84.4,81.18333333333334,64.2376923076923,44.94589625738674
安徽省,合肥市,瑶海区,红光街道,117.341491,31.8498879,32.0,124.0,48.0,78.0,116.0,19.0,0.0,59.0,162.0,4.0,15.0,0.0,13.0,13.0,33.0,48.0,0.0,0.0,0.0,5.0,298.0,70.0,60.0,25.0,0.0,34.0,29.0,0.0,0.0,2.0,2.0,21.0,0.0,18.0,15.0,8.0,12.0,14.0,2.0,14.0,5.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,2.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,43.0,11.0,8.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,7.0,5.0,3823819195.0,7424426.0,合肥市瑶海区,合肥市瑶海区红光街道,20.0,30.0,10.0,7.300000000000001,67.3,81.18333333333334,64.2376923076923,44.94589625738674
安徽省,合肥市,瑶海区,和平路街道,117.3177203,31.8566082,129.0,155.0,46.0,106.0,201.0,44.0,25.0,214.0,240.0,20.0,15.0,5.0,18.0,18.0,55.0,92.0,0.0,1.0,4.0,32.0,469.0,188.0,41.0,51.0,1.0,59.0,379.0,34.0,12.0,11.0,13.0,79.0,15.0,35.0,19.0,17.0,14.0,13.0,24.0,20.0,29.0,7.0,0.0,7.0,34.0,1.0,3.0,0.0,3.0,3.0,10.0,14.0,0.0,0.0,0.0,0.0,81.0,29.0,5.0,6.0,0.0,8.0,8.0,0.0,0.0,0.0,2.0,5.0,0.0,5.0,11.0,7.0,3823819194.0,7424420.0,合肥市瑶海区,合肥市瑶海区和平路街道,20.0,30.0,15.0,20.0,85.0,81.18333333333334,64.2376923076923,44.94589625738674
安徽省,合肥市,瑶海区,城东街道,117.3417161,31.8405574,28.0,98.0,32.0,80.0,78.0,10.0,0.0,12.0,115.0,3.0,13.0,0.0,8.0,8.0,25.0,37.0,0.0,0.0,0.0,0.0,186.0,36.0,46.0,15.0,0.0,29.0,34.0,0.0,0.0,2.0,2.0,19.0,0.0,13.0,14.0,8.0,16.0,14.0,0.0,10.0,5.0,0.0,0.0,0.0,12.0,1.0,2.0,0.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,24.0,9.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,7.0,3823814759.0,7424428.0,合肥市瑶海区,合肥市瑶海区城东街道,20.0,30.0,10.0,7.6,67.6,81.18333333333334,64.2376923076923,44.94589625738674
安徽省,合肥市,瑶海区,长淮街道,117.3032952,31.8739579,180.0,217.0,101.0,158.0,265.0,80.0,15.0,333.0,353.0,25.0,12.0,11.0,27.0,28.0,56.0,94.0,0.0,0.0,9.0,85.0,570.0,372.0,38.0,76.0,1.0,58.0,543.0,3.0,25.0,6.0,23.0,85.0,29.0,52.0,21.0,21.0,39.0,31.0,6.0,12.0,17.0,2.0,0.0,4.0,60.0,0.0,2.0,0.0,4.0,4.0,11.0,16.0,0.0,0.0,0.0,3.0,93.0,62.0,0.0,7.0,0.0,8.0,3.0,0.0,1.0,0.0,3.0,6.0,4.0,14.0,10.0,7.0,3823820988.0,7424423.0,合肥市瑶海区,合肥市瑶海区长淮街道,20.0,30.0,18.0,20.0,88.0,81.18333333333334,64.2376923076923,44.94589625738674
安徽省,合肥市,瑶海区,方庙街道,117.3388735,31.8809307,64.0,120.0,49.0,114.0,151.0,36.0,0.0,39.0,188.0,6.0,11.0,0.0,15.0,15.0,34.0,58.0,1.0,0.0,0.0,13.0,326.0,111.0,117.0,37.0,0.0,25.0,173.0,0.0,0.0,0.0,2.0,32.0,3.0,24.0,16.0,12.0,5.0,8.0,1.0,21.0,15.0,2.0,0.0,4.0,15.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,49.0,5.0,11.0,2.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,9.0,7.0,3823820997.0,7424424.0,合肥市瑶海区,合肥市瑶海区方庙街道,20.0,30.0,5.0,20.0,75.0,81.18333333333334,64.2376923076923,44.94589625738674
