addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
北京市,市辖区,东城区,东华门街道,116.4010966,39.9146633,65.0,187.0,130.0,221.0,601.0,1080.0,61.0,2795.0,1480.0,61.0,7.0,33.0,30.0,46.0,83.0,98.0,17.0,15.0,71.0,903.0,76.0,73.0,2.0,30.0,19.0,102.0,8503.0,1583.0,1825.0,101.0,360.0,205.0,350.0,205.0,28.0,27.0,7.0,14.0,13.0,30.0,90.0,137.0,14.0,1003.0,160.0,6.0,0.0,3.0,3.0,4.0,8.0,9.0,2.0,2.0,10.0,167.0,5.0,10.0,0.0,1.0,3.0,9.0,2137.0,1072.0,145.0,20.0,58.0,31.0,81.0,54.0,20.0,17.0,8985515547.0,15716134.0,市辖区东城区,市辖区东城区东华门街道,20.0,30.0,30.0,20.0,100.0,98.6470588235294,76.93061224489796,76.93061224489796
北京市,市辖区,东城区,景山街道,116.4042521,39.9253805,78.0,177.0,129.0,225.0,502.0,1046.0,62.0,2568.0,1423.0,79.0,6.0,22.0,30.0,49.0,82.0,97.0,18.0,16.0,74.0,841.0,108.0,63.0,0.0,34.0,17.0,96.0,7798.0,1577.0,1369.0,107.0,394.0,212.0,333.0,197.0,28.0,27.0,0.0,37.0,11.0,12.0,81.0,121.0,12.0,162.0,212.0,3.0,0.0,3.0,7.0,10.0,13.0,14.0,2.0,2.0,10.0,135.0,8.0,18.0,0.0,2.0,5.0,17.0,912.0,48.0,423.0,0.0,60.0,16.0,57.0,28.0,17.0,16.0,8985515548.0,15716132.0,市辖区东城区,市辖区东城区景山街道,20.0,30.0,30.0,20.0,100.0,98.6470588235294,76.93061224489796,76.93061224489796
北京市,市辖区,东城区,交道口街道,116.3947378,39.9342778,46.0,164.0,101.0,198.0,492.0,1000.0,61.0,2032.0,1415.0,83.0,6.0,16.0,31.0,46.0,99.0,113.0,14.0,11.0,45.0,716.0,129.0,47.0,0.0,45.0,16.0,95.0,8703.0,1460.0,1744.0,64.0,362.0,187.0,316.0,167.0,26.0,24.0,0.0,22.0,14.0,11.0,57.0,196.0,7.0,60.0,155.0,15.0,2.0,0.0,4.0,5.0,17.0,19.0,1.0,2.0,4.0,118.0,15.0,6.0,0.0,12.0,3.0,14.0,347.0,0.0,78.0,9.0,67.0,11.0,54.0,21.0,17.0,16.0,8985515555.0,15716130.0,市辖区东城区,市辖区东城区交道口街道,20.0,30.0,30.0,20.0,100.0,98.6470588235294,76.93061224489796,76.93061224489796
北京市,市辖区,东城区,安定门街道,116.4064504,39.9428961,78.0,147.0,144.0,299.0,507.0,828.0,47.0,1290.0,1591.0,79.0,7.0,14.0,20.0,39.0,106.0,123.0,13.0,11.0,65.0,691.0,157.0,58.0,2.0,33.0,22.0,96.0,5998.0,444.0,1954.0,47.0,317.0,174.0,243.0,122.0,28.0,23.0,12.0,37.0,1.0,29.0,25.0,172.0,2.0,123.0,182.0,10.0,2.0,0.0,4.0,6.0,16.0,19.0,1.0,2.0,8.0,182.0,5.0,5.0,0.0,1.0,0.0,15.0,456.0,0.0,11.0,4.0,74.0,13.0,54.0,22.0,21.0,15.0,8985515556.0,15716129.0,市辖区东城区,市辖区东城区安定门街道,20.0,30.0,30.0,20.0,100.0,98.6470588235294,76.93061224489796,76.93061224489796
北京市,市辖区,东城区,北新桥街道,116.4183336,39.9410338,86.0,135.0,175.0,287.0,540.0,768.0,51.0,947.0,1595.0,79.0,9.0,19.0,27.0,49.0,105.0,120.0,14.0,12.0,85.0,991.0,133.0,63.0,4.0,40.0,22.0,96.0,5139.0,55.0,1421.0,38.0,393.0,175.0,244.0,167.0,27.0,21.0,16.0,16.0,19.0,39.0,47.0,157.0,12.0,123.0,218.0,16.0,0.0,2.0,4.0,7.0,17.0,19.0,2.0,1.0,15.0,121.0,9.0,7.0,0.0,0.0,1.0,12.0,454.0,0.0,45.0,7.0,57.0,25.0,35.0,31.0,19.0,13.0,8985515557.0,15716131.0,市辖区东城区,市辖区东城区北新桥街道,20.0,30.0,30.0,20.0,100.0,98.6470588235294,76.93061224489796,76.93061224489796
北京市,市辖区,东城区,东四街道,116.4177314,39.9292472,107.0,149.0,174.0,263.0,528.0,915.0,61.0,2128.0,1495.0,85.0,7.0,25.0,29.0,55.0,87.0,107.0,17.0,16.0,96.0,1227.0,75.0,67.0,2.0,44.0,24.0,98.0,6932.0,1292.0,1211.0,44.0,470.0,198.0,319.0,200.0,27.0,28.0,8.0,37.0,10.0,20.0,57.0,106.0,3.0,119.0,143.0,6.0,0.0,3.0,3.0,6.0,9.0,10.0,2.0,3.0,10.0,86.0,7.0,9.0,0.0,1.0,1.0,15.0,727.0,0.0,465.0,2.0,30.0,16.0,28.0,22.0,21.0,12.0,8985515558.0,15716133.0,市辖区东城区,市辖区东城区东四街道,20.0,30.0,30.0,20.0,100.0,98.6470588235294,76.93061224489796,76.93061224489796
北京市,市辖区,东城区,朝阳门街道,116.4242076,39.9193335,126.0,149.0,171.0,267.0,583.0,825.0,58.0,2236.0,1582.0,73.0,5.0,24.0,27.0,56.0,82.0,102.0,20.0,14.0,130.0,1237.0,76.0,79.0,4.0,41.0,25.0,98.0,6766.0,1272.0,1609.0,48.0,454.0,213.0,308.0,199.0,30.0,32.0,14.0,16.0,18.0,33.0,94.0,81.0,10.0,108.0,101.0,3.0,0.0,5.0,3.0,5.0,9.0,11.0,1.0,4.0,9.0,87.0,9.0,14.0,0.0,6.0,2.0,17.0,770.0,2.0,337.0,2.0,50.0,14.0,19.0,20.0,19.0,12.0,8985515559.0,15716135.0,市辖区东城区,市辖区东城区朝阳门街道,20.0,30.0,30.0,20.0,100.0,98.6470588235294,76.93061224489796,76.93061224489796
北京市,市辖区,东城区,建国门街道,116.4214716,39.9126556,118.0,155.0,138.0,266.0,599.0,763.0,54.0,2575.0,1465.0,52.0,4.0,30.0,24.0,45.0,74.0,90.0,17.0,13.0,119.0,936.0,71.0,73.0,2.0,33.0,28.0,99.0,6944.0,1521.0,1745.0,98.0,353.0,195.0,299.0,196.0,31.0,31.0,26.0,6.0,16.0,31.0,103.0,83.0,11.0,151.0,121.0,2.0,0.0,3.0,3.0,5.0,10.0,16.0,2.0,5.0,12.0,79.0,9.0,21.0,0.0,2.0,1.0,16.0,713.0,8.0,255.0,2.0,50.0,16.0,27.0,27.0,21.0,14.0,8985515579.0,15716136.0,市辖区东城区,市辖区东城区建国门街道,20.0,30.0,30.0,20.0,100.0,98.6470588235294,76.93061224489796,76.93061224489796
北京市,市辖区,东城区,东直门街道,116.4358106,39.9293011,150.0,118.0,186.0,314.0,508.0,784.0,51.0,1019.0,1605.0,99.0,6.0,25.0,27.0,61.0,86.0,104.0,12.0,11.0,125.0,1274.0,95.0,89.0,4.0,37.0,24.0,73.0,5231.0,17.0,1483.0,34.0,437.0,204.0,254.0,199.0,27.0,27.0,16.0,40.0,14.0,45.0,49.0,74.0,9.0,154.0,167.0,13.0,0.0,5.0,5.0,13.0,8.0,10.0,2.0,1.0,24.0,202.0,10.0,8.0,0.0,10.0,4.0,8.0,491.0,0.0,96.0,2.0,53.0,38.0,27.0,30.0,20.0,14.0,8985515580.0,15716128.0,市辖区东城区,市辖区东城区东直门街道,20.0,30.0,30.0,20.0,100.0,98.6470588235294,76.93061224489796,76.93061224489796
北京市,市辖区,东城区,和平里街道,116.4172666,39.9549059,129.0,149.0,183.0,414.0,482.0,678.0,44.0,1032.0,1687.0,90.0,7.0,7.0,23.0,41.0,92.0,123.0,11.0,7.0,73.0,595.0,136.0,44.0,6.0,17.0,22.0,79.0,4476.0,13.0,1468.0,55.0,262.0,215.0,176.0,113.0,29.0,22.0,10.0,16.0,14.0,65.0,62.0,35.0,7.0,96.0,222.0,6.0,0.0,4.0,3.0,3.0,11.0,11.0,0.0,1.0,6.0,18.0,15.0,2.0,1.0,0.0,0.0,10.0,444.0,0.0,29.0,9.0,12.0,16.0,5.0,19.0,18.0,12.0,8985515581.0,13298685.0,市辖区东城区,市辖区东城区和平里街道,20.0,30.0,25.0,20.0,95.0,98.6470588235294,76.93061224489796,76.93061224489796
