addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
重庆市,市辖区,万州区,高笋塘街道,108.3736514,30.8127341,33.0,53.0,65.0,94.0,138.0,7.0,0.0,45.0,139.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,2.0,10.0,35.0,0.0,0.0,12.0,1.0,50.0,6.0,12.0,19.0,9.0,9.0,7.0,16.0,21.0,11.0,2.0,0.0,8.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,3.0,1.0,16.0,2.0,5.0,13.0,5.0,6242376305.0,5690413.0,市辖区万州区,市辖区万州区高笋塘街道,20.0,28.0,1.0,10.3,59.3,39.68846153846154,45.03676923076923,39.20048496605237
重庆市,市辖区,万州区,太白街道,108.357828,30.82482,44.0,69.0,53.0,83.0,88.0,22.0,0.0,24.0,79.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,1.0,0.0,1.0,7.0,19.0,0.0,0.0,7.0,1.0,34.0,6.0,9.0,21.0,11.0,17.0,7.0,12.0,30.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,11.0,5.0,6242376311.0,5690414.0,市辖区万州区,市辖区万州区太白街道,20.0,28.0,0.0,6.6,54.6,39.68846153846154,45.03676923076923,39.20048496605237
重庆市,市辖区,万州区,牌楼街道,108.383,30.793,33.0,20.0,62.0,79.0,111.0,18.0,0.0,41.0,130.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,22.0,1.0,1.0,0.0,3.0,6.0,62.0,0.0,0.0,10.0,1.0,57.0,3.0,13.0,17.0,10.0,10.0,4.0,27.0,6.0,34.0,1.0,0.0,2.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,4.0,0.0,12.0,0.0,6.0,13.0,5.0,6242376308.0,5690494.0,市辖区万州区,市辖区万州区牌楼街道,20.0,26.0,5.0,12.1,63.1,39.68846153846154,45.03676923076923,39.20048496605237
重庆市,市辖区,万州区,双河口街道,108.381,30.7582,35.0,20.0,68.0,40.0,63.0,42.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,0.0,1.0,2.0,14.0,0.0,0.0,10.0,0.0,28.0,0.0,7.0,14.0,8.0,6.0,2.0,15.0,4.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,2.0,9.0,5.0,6242376310.0,5690634.0,市辖区万州区,市辖区万州区双河口街道,17.0,26.0,6.0,6.7,55.7,39.68846153846154,45.03676923076923,39.20048496605237
重庆市,市辖区,万州区,龙都街道,108.4070726,30.7666192,59.0,34.0,72.0,51.0,74.0,61.0,0.0,33.0,39.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0,3.0,9.0,0.0,2.0,3.0,20.0,0.0,0.0,15.0,1.0,32.0,1.0,10.0,17.0,10.0,23.0,1.0,17.0,5.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,10.0,2.0,6242376307.0,5692261.0,市辖区万州区,市辖区万州区龙都街道,18.0,28.0,0.0,7.800000000000001,53.8,39.68846153846154,45.03676923076923,39.20048496605237
重庆市,市辖区,万州区,周家坝街道,108.3643331,30.8428198,49.0,90.0,62.0,74.0,118.0,36.0,0.0,14.0,43.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,8.0,2.0,0.0,1.0,6.0,22.0,0.0,0.0,5.0,0.0,28.0,2.0,9.0,21.0,12.0,12.0,6.0,21.0,12.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,13.0,2.0,2.0,12.0,7.0,3932518768.0,5692265.0,市辖区万州区,市辖区万州区周家坝街道,20.0,30.0,0.0,7.1,57.1,39.68846153846154,45.03676923076923,39.20048496605237
重庆市,市辖区,万州区,沙河街道,108.3493129,30.8274949,43.0,60.0,47.0,75.0,46.0,11.0,0.0,16.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,2.0,0.0,1.0,6.0,12.0,0.0,0.0,1.0,0.0,19.0,5.0,9.0,22.0,11.0,23.0,10.0,5.0,27.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,9.0,6.0,3932518763.0,5692262.0,市辖区万州区,市辖区万州区沙河街道,20.0,28.0,0.0,5.3,53.3,39.68846153846154,45.03676923076923,39.20048496605237
重庆市,市辖区,万州区,钟鼓楼街道,108.3831348,30.8219104,25.0,77.0,87.0,95.0,187.0,17.0,0.0,52.0,160.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,1.0,8.0,54.0,0.0,0.0,12.0,1.0,44.0,6.0,11.0,20.0,10.0,6.0,27.0,18.0,2.0,22.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,1.0,2.0,1.0,7.0,9.0,4.0,3932518767.0,5692264.0,市辖区万州区,市辖区万州区钟鼓楼街道,20.0,28.0,1.0,11.5,60.5,39.68846153846154,45.03676923076923,39.20048496605237
重庆市,市辖区,万州区,百安坝街道,108.4364947,30.7687129,53.0,31.0,30.0,61.0,92.0,72.0,1.0,44.0,7.0,4.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,21.0,5.0,10.0,0.0,4.0,3.0,84.0,0.0,21.0,9.0,3.0,53.0,1.0,10.0,23.0,9.0,17.0,18.0,5.0,30.0,17.0,23.0,0.0,29.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,22.0,0.0,5.0,14.0,6.0,6242376303.0,5692259.0,市辖区万州区,市辖区万州区百安坝街道,18.0,30.0,5.0,13.700000000000001,66.7,39.68846153846154,45.03676923076923,39.20048496605237
重庆市,市辖区,万州区,五桥街道,108.4484346,30.7710432,37.0,27.0,34.0,56.0,87.0,69.0,1.0,44.0,8.0,4.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,21.0,6.0,9.0,0.0,4.0,2.0,82.0,0.0,21.0,5.0,3.0,53.0,0.0,9.0,23.0,8.0,20.0,5.0,8.0,27.0,14.0,24.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,0.0,2.0,1.0,18.0,0.0,0.0,0.0,0.0,13.0,0.0,4.0,10.0,6.0,6242376313.0,5692263.0,市辖区万州区,市辖区万州区五桥街道,17.0,30.0,5.0,14.5,66.5,39.68846153846154,45.03676923076923,39.20048496605237
