addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
福建省,福州市,鼓楼区,鼓东街道,119.2973613,26.0959852,66.0,150.0,257.0,322.0,320.0,214.0,33.0,394.0,234.0,38.0,3.0,11.0,16.0,22.0,36.0,54.0,3.0,4.0,20.0,115.0,213.0,35.0,4.0,9.0,8.0,21.0,1541.0,10.0,62.0,15.0,62.0,77.0,50.0,57.0,24.0,23.0,0.0,14.0,38.0,52.0,69.0,35.0,2.0,53.0,31.0,7.0,0.0,2.0,4.0,8.0,12.0,16.0,0.0,1.0,9.0,37.0,13.0,3.0,0.0,3.0,1.0,4.0,283.0,4.0,11.0,0.0,19.0,7.0,7.0,17.0,17.0,9.0,8264063669.0,12099706.0,福州市鼓楼区,福州市鼓楼区鼓东街道,20.0,30.0,25.0,20.0,95.0,90.6,57.445,44.672332730560576
福建省,福州市,鼓楼区,鼓西街道,119.2850017,26.09163,63.0,127.0,219.0,257.0,360.0,182.0,24.0,397.0,176.0,43.0,1.0,9.0,16.0,24.0,31.0,44.0,1.0,2.0,18.0,115.0,104.0,13.0,1.0,15.0,9.0,17.0,1479.0,10.0,73.0,13.0,65.0,105.0,47.0,54.0,25.0,21.0,10.0,20.0,33.0,28.0,70.0,35.0,2.0,87.0,26.0,14.0,1.0,0.0,1.0,3.0,9.0,10.0,0.0,0.0,3.0,20.0,24.0,1.0,0.0,2.0,3.0,2.0,683.0,2.0,18.0,7.0,13.0,15.0,11.0,12.0,18.0,12.0,8264063671.0,12099708.0,福州市鼓楼区,福州市鼓楼区鼓西街道,20.0,30.0,23.0,20.0,93.0,90.6,57.445,44.672332730560576
福建省,福州市,鼓楼区,温泉街道,119.3065452,26.0939425,78.0,162.0,287.0,307.0,270.0,256.0,28.0,404.0,272.0,34.0,3.0,10.0,14.0,20.0,35.0,52.0,2.0,5.0,19.0,124.0,220.0,25.0,4.0,12.0,7.0,20.0,1569.0,10.0,62.0,12.0,62.0,61.0,46.0,63.0,26.0,23.0,0.0,27.0,18.0,44.0,52.0,22.0,1.0,35.0,25.0,3.0,0.0,1.0,4.0,6.0,9.0,9.0,0.0,1.0,9.0,27.0,9.0,1.0,0.0,1.0,1.0,2.0,67.0,2.0,5.0,0.0,11.0,8.0,7.0,12.0,17.0,10.0,8264063675.0,12099712.0,福州市鼓楼区,福州市鼓楼区温泉街道,20.0,30.0,25.0,20.0,95.0,90.6,57.445,44.672332730560576
福建省,福州市,鼓楼区,东街街道,119.2993784,26.0875059,78.0,183.0,257.0,299.0,317.0,153.0,23.0,395.0,237.0,40.0,2.0,8.0,16.0,25.0,31.0,40.0,0.0,4.0,21.0,123.0,120.0,12.0,3.0,17.0,10.0,22.0,1494.0,10.0,62.0,16.0,65.0,67.0,49.0,58.0,24.0,18.0,0.0,19.0,24.0,49.0,70.0,31.0,4.0,78.0,44.0,10.0,0.0,1.0,8.0,13.0,13.0,17.0,0.0,1.0,14.0,75.0,13.0,2.0,0.0,5.0,4.0,4.0,996.0,4.0,8.0,0.0,25.0,9.0,26.0,23.0,17.0,12.0,8264063670.0,12099707.0,福州市鼓楼区,福州市鼓楼区东街街道,20.0,30.0,25.0,20.0,95.0,90.6,57.445,44.672332730560576
福建省,福州市,鼓楼区,南街街道,119.2868041,26.0837672,59.0,135.0,218.0,288.0,348.0,157.0,28.0,390.0,203.0,43.0,1.0,6.0,15.0,25.0,31.0,40.0,0.0,2.0,20.0,126.0,81.0,19.0,1.0,17.0,9.0,17.0,1502.0,10.0,55.0,15.0,65.0,85.0,49.0,57.0,24.0,20.0,8.0,42.0,39.0,51.0,85.0,30.0,5.0,104.0,43.0,8.0,0.0,2.0,4.0,5.0,7.0,7.0,0.0,0.0,4.0,38.0,22.0,1.0,0.0,4.0,4.0,3.0,1077.0,2.0,16.0,8.0,16.0,20.0,15.0,17.0,17.0,11.0,8264063672.0,12099709.0,福州市鼓楼区,福州市鼓楼区南街街道,20.0,30.0,23.0,20.0,93.0,90.6,57.445,44.672332730560576
福建省,福州市,鼓楼区,安泰街道,119.2969583,26.0788234,51.0,194.0,260.0,368.0,332.0,136.0,23.0,389.0,302.0,36.0,1.0,7.0,16.0,26.0,37.0,45.0,0.0,3.0,20.0,137.0,103.0,23.0,2.0,21.0,9.0,28.0,1581.0,10.0,51.0,16.0,69.0,77.0,52.0,62.0,25.0,18.0,0.0,19.0,36.0,77.0,54.0,37.0,11.0,123.0,42.0,10.0,0.0,3.0,6.0,8.0,6.0,7.0,0.0,0.0,4.0,44.0,4.0,0.0,0.0,4.0,2.0,4.0,684.0,6.0,10.0,2.0,21.0,8.0,19.0,25.0,19.0,12.0,8264063673.0,12099710.0,福州市鼓楼区,福州市鼓楼区安泰街道,20.0,30.0,23.0,20.0,93.0,90.6,57.445,44.672332730560576
福建省,福州市,鼓楼区,华大街道,119.2976188,26.1107838,48.0,120.0,242.0,295.0,225.0,241.0,27.0,268.0,294.0,28.0,4.0,11.0,14.0,19.0,42.0,77.0,10.0,5.0,17.0,86.0,264.0,45.0,5.0,10.0,7.0,15.0,1330.0,4.0,57.0,11.0,45.0,50.0,31.0,41.0,25.0,22.0,18.0,33.0,34.0,36.0,22.0,28.0,5.0,21.0,26.0,3.0,0.0,5.0,1.0,1.0,5.0,9.0,1.0,1.0,0.0,3.0,55.0,9.0,0.0,1.0,0.0,2.0,55.0,0.0,29.0,0.0,11.0,14.0,3.0,15.0,16.0,7.0,8264063668.0,12099705.0,福州市鼓楼区,福州市鼓楼区华大街道,20.0,30.0,25.0,20.0,95.0,90.6,57.445,44.672332730560576
福建省,福州市,鼓楼区,水部街道,119.3110084,26.0793731,60.0,209.0,269.0,315.0,276.0,366.0,22.0,331.0,359.0,30.0,2.0,6.0,16.0,24.0,38.0,47.0,0.0,2.0,19.0,133.0,158.0,11.0,3.0,17.0,12.0,27.0,2108.0,10.0,44.0,14.0,56.0,66.0,46.0,62.0,24.0,18.0,0.0,30.0,36.0,27.0,26.0,16.0,8.0,73.0,16.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,7.0,12.0,0.0,0.0,1.0,0.0,1.0,35.0,6.0,9.0,1.0,5.0,6.0,8.0,19.0,20.0,10.0,8264063674.0,12099711.0,福州市鼓楼区,福州市鼓楼区水部街道,20.0,30.0,18.0,20.0,88.0,90.6,57.445,44.672332730560576
福建省,福州市,鼓楼区,五凤街道,119.2750453,26.1105141,32.0,57.0,157.0,170.0,222.0,206.0,15.0,197.0,140.0,21.0,2.0,7.0,10.0,12.0,23.0,42.0,4.0,1.0,6.0,27.0,150.0,22.0,7.0,3.0,2.0,10.0,442.0,1.0,50.0,9.0,24.0,74.0,17.0,31.0,25.0,19.0,5.0,0.0,21.0,15.0,21.0,29.0,0.0,9.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,1.0,1.0,20.0,0.0,2.0,2.0,4.0,7.0,1.0,2.0,11.0,11.0,8264063667.0,12099704.0,福州市鼓楼区,福州市鼓楼区五凤街道,20.0,30.0,11.0,20.0,81.0,90.6,57.445,44.672332730560576
福建省,福州市,鼓楼区,洪山镇,119.2702388,26.0673832,61.0,145.0,211.0,319.0,295.0,436.0,27.0,279.0,345.0,38.0,3.0,12.0,18.0,22.0,27.0,57.0,2.0,2.0,1.0,78.0,153.0,35.0,23.0,26.0,8.0,61.0,896.0,0.0,33.0,15.0,33.0,135.0,27.0,34.0,24.0,23.0,21.0,8.0,27.0,25.0,24.0,1.0,6.0,27.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,8.0,6.0,0.0,1.0,1.0,2.0,7.0,0.0,0.0,1.0,3.0,5.0,1.0,11.0,17.0,11.0,8264063666.0,12099703.0,福州市鼓楼区,福州市鼓楼区洪山镇,20.0,30.0,8.0,20.0,78.0,90.6,57.445,44.672332730560576
