addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
甘肃省,兰州市,城关区,酒泉路街道,103.8310669,36.0499514,118.0,203.0,195.0,146.0,503.0,1567.0,10.0,1288.0,596.0,79.0,3.0,62.0,41.0,87.0,55.0,87.0,20.0,7.0,197.0,718.0,153.0,20.0,6.0,8.0,14.0,43.0,6380.0,209.0,70.0,66.0,674.0,192.0,193.0,46.0,27.0,30.0,0.0,24.0,45.0,43.0,98.0,306.0,1.0,149.0,110.0,13.0,0.0,18.0,10.0,26.0,16.0,18.0,4.0,2.0,70.0,182.0,20.0,5.0,0.0,0.0,3.0,8.0,1330.0,45.0,5.0,9.0,175.0,37.0,40.0,10.0,17.0,11.0,11637481789.0,7034375.0,兰州市城关区,兰州市城关区酒泉路街道,20.0,30.0,30.0,20.0,100.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,张掖路街道,103.8196284,36.0617157,121.0,215.0,167.0,148.0,465.0,1334.0,9.0,1088.0,483.0,67.0,2.0,56.0,36.0,72.0,48.0,66.0,19.0,8.0,156.0,527.0,143.0,16.0,7.0,5.0,18.0,42.0,5698.0,185.0,46.0,72.0,501.0,165.0,144.0,38.0,26.0,25.0,14.0,59.0,38.0,16.0,59.0,232.0,1.0,285.0,97.0,13.0,0.0,14.0,5.0,9.0,7.0,10.0,6.0,0.0,30.0,157.0,20.0,5.0,0.0,4.0,6.0,4.0,855.0,104.0,19.0,15.0,144.0,17.0,34.0,16.0,20.0,16.0,11637224128.0,7034374.0,兰州市城关区,兰州市城关区张掖路街道,20.0,30.0,28.0,20.0,98.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,雁南街道,103.8767704,36.0613868,0.0,145.0,168.0,133.0,525.0,1288.0,10.0,477.0,434.0,48.0,9.0,18.0,18.0,37.0,37.0,69.0,7.0,5.0,85.0,283.0,148.0,31.0,16.0,8.0,13.0,24.0,4439.0,101.0,181.0,22.0,377.0,154.0,79.0,24.0,26.0,18.0,0.0,13.0,25.0,6.0,102.0,142.0,0.0,31.0,50.0,5.0,0.0,1.0,1.0,2.0,3.0,8.0,1.0,1.0,13.0,22.0,28.0,7.0,4.0,0.0,0.0,5.0,561.0,14.0,7.0,0.0,41.0,12.0,5.0,3.0,16.0,7.0,8063069867.0,17205648.0,兰州市城关区,兰州市城关区雁南街道,20.0,30.0,30.0,20.0,100.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,临夏路街道,103.8116283,36.0594324,139.0,214.0,139.0,145.0,483.0,1231.0,6.0,1076.0,459.0,61.0,1.0,49.0,33.0,69.0,45.0,64.0,19.0,7.0,140.0,486.0,137.0,14.0,8.0,5.0,16.0,42.0,5313.0,183.0,33.0,67.0,477.0,122.0,121.0,41.0,26.0,27.0,32.0,83.0,9.0,15.0,77.0,210.0,1.0,251.0,76.0,10.0,0.0,8.0,8.0,12.0,6.0,8.0,3.0,1.0,25.0,152.0,24.0,3.0,0.0,4.0,2.0,6.0,809.0,84.0,18.0,11.0,126.0,11.0,37.0,19.0,19.0,13.0,11637224127.0,7034373.0,兰州市城关区,兰州市城关区临夏路街道,20.0,30.0,30.0,20.0,100.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,雁北街道,103.8767704,36.0613868,0.0,147.0,171.0,133.0,531.0,1304.0,10.0,481.0,434.0,50.0,9.0,18.0,18.0,37.0,38.0,71.0,8.0,5.0,87.0,289.0,149.0,31.0,16.0,8.0,13.0,24.0,4477.0,101.0,181.0,22.0,382.0,154.0,80.0,24.0,26.0,18.0,0.0,13.0,25.0,6.0,101.0,144.0,0.0,28.0,48.0,5.0,0.0,1.0,1.0,2.0,3.0,8.0,1.0,1.0,11.0,21.0,26.0,7.0,4.0,0.0,0.0,5.0,573.0,14.0,3.0,0.0,39.0,11.0,5.0,3.0,16.0,7.0,-2.0,7034361.0,兰州市城关区,兰州市城关区雁北街道,13.0,30.0,30.0,20.0,93.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,五泉街道,103.8316598,36.0432592,121.0,182.0,177.0,135.0,452.0,1481.0,10.0,1211.0,560.0,72.0,3.0,62.0,39.0,86.0,54.0,83.0,17.0,7.0,191.0,694.0,138.0,19.0,7.0,7.0,15.0,38.0,5888.0,183.0,62.0,56.0,646.0,181.0,186.0,44.0,26.0,30.0,11.0,5.0,38.0,29.0,103.0,296.0,1.0,210.0,101.0,10.0,0.0,9.0,8.0,23.0,17.0,20.0,3.0,2.0,45.0,119.0,28.0,3.0,0.0,1.0,3.0,12.0,1306.0,11.0,9.0,6.0,113.0,22.0,27.0,7.0,18.0,12.0,11637481790.0,7034370.0,兰州市城关区,兰州市城关区五泉街道,20.0,30.0,30.0,20.0,100.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,白银路街道,103.8201897,36.0521933,127.0,192.0,172.0,133.0,466.0,1373.0,9.0,1159.0,519.0,58.0,1.0,59.0,35.0,70.0,55.0,78.0,20.0,9.0,172.0,563.0,137.0,17.0,9.0,6.0,14.0,47.0,5867.0,184.0,47.0,74.0,532.0,163.0,151.0,40.0,26.0,28.0,10.0,61.0,43.0,28.0,74.0,333.0,0.0,230.0,103.0,11.0,0.0,12.0,10.0,20.0,12.0,16.0,6.0,2.0,55.0,207.0,25.0,4.0,0.0,4.0,3.0,6.0,1129.0,75.0,10.0,1.0,173.0,23.0,40.0,14.0,21.0,13.0,11637224129.0,7034372.0,兰州市城关区,兰州市城关区白银路街道,20.0,30.0,30.0,20.0,100.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,皋兰路街道,103.8382105,36.0473755,48.0,195.0,221.0,164.0,476.0,1650.0,10.0,1266.0,619.0,84.0,6.0,62.0,44.0,96.0,62.0,96.0,20.0,6.0,207.0,757.0,155.0,22.0,4.0,10.0,16.0,41.0,6620.0,201.0,76.0,54.0,708.0,199.0,192.0,45.0,27.0,28.0,0.0,14.0,36.0,56.0,87.0,276.0,1.0,147.0,114.0,13.0,0.0,21.0,12.0,27.0,17.0,21.0,3.0,2.0,61.0,201.0,26.0,6.0,0.0,2.0,2.0,10.0,1241.0,18.0,12.0,10.0,162.0,31.0,45.0,10.0,19.0,12.0,11637481788.0,7034360.0,兰州市城关区,兰州市城关区皋兰路街道,20.0,30.0,30.0,20.0,100.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,广武门街道,103.8428369,36.0555326,39.0,230.0,232.0,179.0,567.0,1787.0,10.0,1320.0,684.0,88.0,6.0,63.0,44.0,96.0,65.0,101.0,19.0,6.0,214.0,795.0,171.0,26.0,10.0,11.0,17.0,41.0,7212.0,222.0,71.0,59.0,739.0,211.0,203.0,43.0,28.0,27.0,2.0,15.0,43.0,46.0,48.0,262.0,1.0,176.0,88.0,18.0,0.0,25.0,7.0,16.0,12.0,16.0,5.0,1.0,51.0,148.0,16.0,7.0,0.0,1.0,1.0,3.0,959.0,20.0,5.0,12.0,137.0,52.0,33.0,7.0,19.0,14.0,11684580562.0,7034371.0,兰州市城关区,兰州市城关区广武门街道,20.0,30.0,30.0,20.0,100.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,伏龙坪街道,103.8081184,36.0509143,146.0,188.0,123.0,129.0,468.0,1214.0,6.0,1058.0,411.0,56.0,0.0,43.0,33.0,68.0,42.0,61.0,18.0,7.0,138.0,433.0,130.0,13.0,7.0,4.0,13.0,46.0,5042.0,169.0,31.0,59.0,449.0,109.0,122.0,39.0,26.0,29.0,62.0,50.0,12.0,16.0,90.0,174.0,0.0,85.0,45.0,6.0,0.0,1.0,7.0,10.0,5.0,9.0,2.0,1.0,5.0,32.0,35.0,1.0,1.0,2.0,1.0,5.0,612.0,19.0,2.0,1.0,47.0,8.0,14.0,15.0,18.0,14.0,11637224130.0,7034376.0,兰州市城关区,兰州市城关区伏龙坪街道,20.0,28.0,30.0,20.0,98.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,靖远路街道,103.8258061,36.0712859,78.0,204.0,151.0,120.0,437.0,1079.0,9.0,849.0,412.0,57.0,4.0,52.0,30.0,56.0,41.0,59.0,17.0,6.0,139.0,434.0,128.0,16.0,9.0,5.0,18.0,27.0,4757.0,178.0,47.0,54.0,442.0,148.0,109.0,34.0,26.0,24.0,8.0,50.0,32.0,11.0,52.0,82.0,1.0,64.0,45.0,5.0,0.0,1.0,1.0,1.0,5.0,8.0,3.0,0.0,1.0,3.0,20.0,1.0,1.0,0.0,8.0,5.0,531.0,10.0,1.0,10.0,10.0,12.0,2.0,8.0,20.0,12.0,11637481771.0,7034359.0,兰州市城关区,兰州市城关区靖远路街道,20.0,30.0,25.0,20.0,95.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,草场街街道,103.8318227,36.0707663,41.0,234.0,161.0,125.0,425.0,1229.0,12.0,917.0,464.0,65.0,5.0,50.0,28.0,58.0,39.0,60.0,18.0,6.0,152.0,513.0,120.0,24.0,9.0,6.0,18.0,25.0,4925.0,204.0,51.0,55.0,506.0,152.0,135.0,34.0,27.0,24.0,7.0,54.0,29.0,11.0,57.0,84.0,0.0,114.0,51.0,5.0,1.0,0.0,1.0,1.0,5.0,9.0,1.0,0.0,2.0,7.0,19.0,1.0,2.0,0.0,5.0,6.0,608.0,12.0,0.0,12.0,15.0,17.0,3.0,6.0,17.0,11.0,11637224142.0,7034358.0,兰州市城关区,兰州市城关区草场街街道,20.0,30.0,28.0,20.0,98.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,火车站街道,103.8654886,36.0261705,18.0,42.0,76.0,86.0,248.0,837.0,2.0,323.0,351.0,28.0,8.0,17.0,22.0,48.0,27.0,53.0,3.0,2.0,68.0,319.0,96.0,6.0,11.0,5.0,13.0,23.0,3483.0,35.0,30.0,22.0,280.0,81.0,89.0,30.0,26.0,23.0,6.0,0.0,9.0,4.0,12.0,89.0,0.0,9.0,24.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,10.0,9.0,0.0,3.0,0.0,1.0,1.0,328.0,2.0,5.0,1.0,10.0,8.0,1.0,7.0,12.0,10.0,11701051109.0,7034354.0,兰州市城关区,兰州市城关区火车站街道,20.0,30.0,21.0,20.0,91.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,拱星墩街道,103.9037049,36.0394505,37.0,30.0,88.0,73.0,334.0,661.0,2.0,130.0,207.0,12.0,11.0,6.0,9.0,16.0,18.0,38.0,1.0,4.0,27.0,97.0,104.0,21.0,32.0,5.0,24.0,12.0,2776.0,21.0,18.0,14.0,109.0,52.0,24.0,21.0,26.0,17.0,8.0,13.0,12.0,13.0,55.0,108.0,0.0,41.0,37.0,4.0,3.0,1.0,4.0,8.0,3.0,9.0,0.0,0.0,4.0,31.0,31.0,5.0,9.0,2.0,6.0,2.0,559.0,6.0,2.0,5.0,8.0,12.0,5.0,10.0,15.0,14.0,11701051120.0,7034368.0,兰州市城关区,兰州市城关区拱星墩街道,20.0,30.0,23.0,20.0,93.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,东岗街道,103.9105865,36.0474537,37.0,34.0,86.0,83.0,326.0,589.0,2.0,104.0,202.0,10.0,13.0,6.0,8.0,13.0,20.0,37.0,1.0,3.0,20.0,63.0,96.0,22.0,31.0,3.0,22.0,14.0,2382.0,18.0,22.0,13.0,88.0,50.0,20.0,20.0,26.0,18.0,4.0,12.0,17.0,24.0,60.0,71.0,0.0,28.0,41.0,2.0,3.0,2.0,3.0,6.0,5.0,11.0,1.0,0.0,4.0,23.0,27.0,5.0,5.0,0.0,12.0,2.0,382.0,6.0,13.0,1.0,7.0,13.0,5.0,4.0,15.0,11.0,5643817730.0,7034367.0,兰州市城关区,兰州市城关区东岗街道,20.0,30.0,28.0,20.0,98.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,团结新村街道,103.8650705,36.0385735,17.0,62.0,140.0,133.0,432.0,1348.0,9.0,468.0,526.0,53.0,9.0,37.0,31.0,67.0,42.0,79.0,8.0,6.0,124.0,520.0,145.0,24.0,16.0,8.0,15.0,28.0,5433.0,72.0,53.0,27.0,492.0,151.0,130.0,31.0,26.0,21.0,0.0,10.0,19.0,30.0,58.0,254.0,2.0,45.0,72.0,11.0,1.0,4.0,6.0,13.0,6.0,15.0,0.0,1.0,17.0,100.0,26.0,1.0,4.0,3.0,3.0,5.0,843.0,4.0,12.0,2.0,62.0,12.0,19.0,9.0,16.0,15.0,11701051110.0,7034369.0,兰州市城关区,兰州市城关区团结新村街道,20.0,30.0,25.0,20.0,95.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,东岗西路街道,103.8483457,36.0477617,33.0,134.0,213.0,180.0,511.0,1797.0,9.0,1143.0,649.0,81.0,7.0,64.0,42.0,93.0,61.0,101.0,20.0,7.0,209.0,752.0,158.0,27.0,9.0,10.0,16.0,39.0,6992.0,183.0,68.0,49.0,720.0,197.0,192.0,38.0,26.0,25.0,0.0,40.0,25.0,37.0,58.0,266.0,3.0,106.0,129.0,12.0,0.0,17.0,10.0,22.0,13.0,22.0,2.0,1.0,47.0,217.0,18.0,6.0,0.0,1.0,2.0,7.0,1019.0,25.0,12.0,7.0,156.0,52.0,53.0,11.0,19.0,14.0,5643817729.0,7034366.0,兰州市城关区,兰州市城关区东岗西路街道,20.0,30.0,30.0,20.0,100.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,铁路东村街道,103.8395902,36.0367915,37.0,91.0,162.0,146.0,385.0,1360.0,6.0,971.0,535.0,66.0,4.0,55.0,39.0,86.0,51.0,78.0,14.0,6.0,177.0,605.0,111.0,19.0,5.0,8.0,11.0,37.0,5515.0,121.0,43.0,31.0,596.0,151.0,164.0,37.0,28.0,28.0,10.0,3.0,33.0,19.0,68.0,199.0,0.0,143.0,93.0,4.0,1.0,6.0,4.0,9.0,10.0,12.0,1.0,1.0,28.0,94.0,32.0,3.0,1.0,1.0,4.0,8.0,895.0,13.0,9.0,6.0,59.0,12.0,29.0,14.0,21.0,13.0,11637481792.0,7034364.0,兰州市城关区,兰州市城关区铁路东村街道,20.0,30.0,30.0,20.0,100.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,铁路西村街道,103.8309862,36.0357604,98.0,100.0,142.0,120.0,376.0,1255.0,5.0,929.0,471.0,57.0,3.0,54.0,35.0,77.0,50.0,75.0,14.0,6.0,170.0,635.0,123.0,19.0,6.0,7.0,10.0,37.0,5063.0,124.0,37.0,31.0,528.0,139.0,161.0,35.0,27.0,29.0,14.0,2.0,20.0,10.0,63.0,144.0,0.0,296.0,50.0,3.0,0.0,7.0,2.0,7.0,9.0,10.0,1.0,0.0,10.0,36.0,21.0,3.0,0.0,1.0,0.0,10.0,807.0,1.0,8.0,5.0,32.0,16.0,13.0,7.0,17.0,15.0,11637481791.0,7034365.0,兰州市城关区,兰州市城关区铁路西村街道,20.0,30.0,28.0,20.0,98.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,渭源路街道,103.8641249,36.0559333,4.0,140.0,205.0,163.0,594.0,1632.0,11.0,718.0,567.0,79.0,6.0,45.0,33.0,71.0,53.0,92.0,10.0,7.0,166.0,588.0,169.0,32.0,14.0,8.0,15.0,25.0,6162.0,131.0,185.0,39.0,586.0,187.0,155.0,34.0,26.0,20.0,0.0,15.0,36.0,30.0,69.0,239.0,4.0,101.0,103.0,11.0,2.0,2.0,5.0,7.0,8.0,17.0,1.0,0.0,15.0,55.0,20.0,4.0,1.0,3.0,1.0,4.0,887.0,23.0,6.0,1.0,131.0,23.0,12.0,9.0,14.0,14.0,11701051111.0,7034363.0,兰州市城关区,兰州市城关区渭源路街道,20.0,30.0,28.0,20.0,98.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,盐场路街道,103.8367343,36.0705771,24.0,235.0,161.0,121.0,421.0,1302.0,8.0,892.0,477.0,66.0,4.0,52.0,28.0,57.0,41.0,62.0,17.0,5.0,158.0,530.0,117.0,25.0,10.0,6.0,16.0,26.0,5097.0,210.0,54.0,50.0,527.0,152.0,144.0,36.0,28.0,24.0,4.0,45.0,26.0,10.0,53.0,91.0,1.0,112.0,44.0,7.0,1.0,1.0,1.0,2.0,4.0,8.0,0.0,0.0,4.0,7.0,20.0,2.0,2.0,0.0,3.0,5.0,602.0,19.0,1.0,13.0,18.0,18.0,4.0,6.0,17.0,11.0,9690096929.0,7034357.0,兰州市城关区,兰州市城关区盐场路街道,20.0,30.0,23.0,20.0,93.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,嘉峪关路街道,103.8780651,36.0395707,18.0,60.0,145.0,127.0,439.0,1247.0,7.0,327.0,446.0,40.0,12.0,16.0,27.0,55.0,31.0,70.0,3.0,4.0,84.0,371.0,143.0,23.0,24.0,8.0,17.0,26.0,4833.0,69.0,37.0,21.0,368.0,111.0,102.0,29.0,26.0,23.0,0.0,5.0,15.0,17.0,57.0,173.0,0.0,35.0,64.0,3.0,1.0,2.0,2.0,4.0,7.0,15.0,0.0,1.0,10.0,50.0,28.0,0.0,3.0,3.0,5.0,3.0,791.0,3.0,4.0,2.0,45.0,11.0,7.0,7.0,15.0,13.0,11701051119.0,7034356.0,兰州市城关区,兰州市城关区嘉峪关路街道,20.0,30.0,25.0,20.0,95.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,焦家湾街道,103.8960041,36.0389873,29.0,38.0,99.0,107.0,363.0,836.0,4.0,160.0,286.0,19.0,12.0,7.0,16.0,28.0,22.0,49.0,2.0,4.0,36.0,133.0,121.0,22.0,27.0,6.0,24.0,13.0,3340.0,30.0,26.0,13.0,151.0,67.0,27.0,26.0,27.0,18.0,7.0,7.0,13.0,9.0,42.0,136.0,0.0,40.0,43.0,3.0,4.0,1.0,3.0,5.0,3.0,8.0,0.0,0.0,2.0,18.0,27.0,4.0,8.0,1.0,3.0,3.0,595.0,3.0,2.0,5.0,14.0,14.0,5.0,9.0,13.0,13.0,11701051121.0,7034362.0,兰州市城关区,兰州市城关区焦家湾街道,20.0,30.0,23.0,20.0,93.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,青白石街道,103.9028205,36.0716825,22.0,74.0,103.0,81.0,357.0,462.0,2.0,106.0,141.0,15.0,5.0,3.0,2.0,4.0,18.0,27.0,2.0,3.0,24.0,38.0,85.0,19.0,21.0,2.0,15.0,13.0,1653.0,29.0,143.0,11.0,77.0,30.0,13.0,8.0,27.0,18.0,0.0,20.0,10.0,9.0,33.0,40.0,0.0,5.0,27.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,6.0,1.0,3.0,0.0,1.0,2.0,134.0,0.0,0.0,1.0,5.0,5.0,0.0,4.0,17.0,10.0,9690096927.0,7034355.0,兰州市城关区,兰州市城关区青白石街道,20.0,30.0,16.0,20.0,86.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,城关区,雁园街道,103.8824981,36.0662245,10.0,130.0,135.0,117.0,464.0,1031.0,8.0,335.0,329.0,37.0,8.0,9.0,12.0,22.0,30.0,53.0,5.0,5.0,52.0,170.0,133.0,29.0,19.0,6.0,14.0,17.0,3552.0,81.0,168.0,10.0,262.0,87.0,40.0,20.0,27.0,18.0,0.0,16.0,26.0,5.0,96.0,162.0,0.0,27.0,40.0,10.0,1.0,1.0,1.0,1.0,5.0,8.0,1.0,0.0,5.0,5.0,21.0,3.0,3.0,1.0,0.0,3.0,507.0,17.0,126.0,0.0,20.0,10.0,0.0,2.0,15.0,9.0,11637481793.0,17205650.0,兰州市城关区,兰州市城关区雁园街道,20.0,30.0,27.0,20.0,97.0,96.76,74.52743362831859,46.79183823529412
甘肃省,兰州市,七里河区,西园街道,103.793553,36.060683,164.0,162.0,75.0,118.0,451.0,1030.0,8.0,693.0,387.0,49.0,5.0,23.0,26.0,50.0,38.0,55.0,15.0,5.0,76.0,414.0,145.0,8.0,11.0,7.0,13.0,45.0,4201.0,167.0,57.0,55.0,342.0,111.0,91.0,46.0,28.0,26.0,28.0,29.0,4.0,29.0,74.0,187.0,0.0,93.0,57.0,10.0,0.0,3.0,9.0,16.0,4.0,7.0,3.0,3.0,11.0,48.0,21.0,1.0,1.0,0.0,1.0,11.0,823.0,18.0,1.0,13.0,51.0,17.0,16.0,18.0,17.0,14.0,-1.0,7065632.0,兰州市七里河区,兰州市七里河区西园街道,20.0,30.0,30.0,20.0,100.0,88.36,74.52743362831859,46.79183823529412
甘肃省,兰州市,七里河区,西湖街道,103.785026,36.064516,145.0,148.0,52.0,107.0,503.0,917.0,8.0,587.0,379.0,43.0,6.0,13.0,23.0,44.0,34.0,52.0,10.0,4.0,52.0,346.0,143.0,6.0,14.0,6.0,16.0,45.0,3946.0,133.0,97.0,49.0,264.0,108.0,66.0,42.0,28.0,24.0,27.0,35.0,0.0,36.0,90.0,200.0,0.0,70.0,62.0,17.0,0.0,5.0,8.0,17.0,6.0,8.0,3.0,1.0,16.0,67.0,25.0,2.0,0.0,0.0,1.0,8.0,755.0,31.0,1.0,4.0,67.0,25.0,14.0,18.0,17.0,12.0,-1.0,7065622.0,兰州市七里河区,兰州市七里河区西湖街道,20.0,30.0,30.0,20.0,100.0,88.36,74.52743362831859,46.79183823529412
甘肃省,兰州市,七里河区,建兰路街道,103.7701771,36.0708761,91.0,82.0,69.0,108.0,523.0,844.0,11.0,524.0,396.0,38.0,10.0,9.0,14.0,31.0,39.0,57.0,8.0,4.0,39.0,277.0,139.0,6.0,15.0,4.0,17.0,45.0,3940.0,81.0,85.0,42.0,229.0,123.0,43.0,41.0,26.0,22.0,10.0,21.0,17.0,41.0,78.0,214.0,0.0,107.0,100.0,14.0,2.0,3.0,5.0,11.0,12.0,15.0,4.0,1.0,17.0,153.0,41.0,3.0,0.0,2.0,5.0,14.0,846.0,37.0,34.0,8.0,101.0,25.0,17.0,22.0,19.0,13.0,2292219437.0,7065631.0,兰州市七里河区,兰州市七里河区建兰路街道,20.0,30.0,30.0,20.0,100.0,88.36,74.52743362831859,46.79183823529412
甘肃省,兰州市,七里河区,敦煌路街道,103.765299,36.075299,95.0,85.0,68.0,112.0,507.0,822.0,7.0,509.0,385.0,40.0,9.0,5.0,17.0,37.0,39.0,62.0,8.0,2.0,38.0,286.0,141.0,6.0,17.0,5.0,20.0,39.0,3802.0,88.0,87.0,36.0,240.0,134.0,41.0,39.0,26.0,22.0,10.0,16.0,24.0,24.0,111.0,190.0,0.0,113.0,87.0,11.0,1.0,0.0,6.0,13.0,11.0,14.0,2.0,1.0,14.0,156.0,33.0,3.0,1.0,2.0,6.0,13.0,780.0,36.0,63.0,3.0,86.0,24.0,11.0,11.0,19.0,12.0,-1.0,7065623.0,兰州市七里河区,兰州市七里河区敦煌路街道,20.0,30.0,30.0,20.0,100.0,88.36,74.52743362831859,46.79183823529412
