addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
广东省,广州市,荔湾区,沙面街道,113.2429491,23.1099395,138.0,355.0,324.0,288.0,586.0,930.0,13.0,2335.0,1810.0,106.0,5.0,56.0,45.0,60.0,146.0,183.0,26.0,5.0,77.0,483.0,286.0,48.0,23.0,12.0,47.0,63.0,5153.0,64.0,2380.0,76.0,156.0,184.0,141.0,159.0,26.0,26.0,20.0,55.0,56.0,45.0,55.0,85.0,4.0,370.0,261.0,11.0,0.0,8.0,4.0,4.0,19.0,23.0,5.0,3.0,8.0,71.0,28.0,2.0,0.0,1.0,6.0,9.0,530.0,13.0,302.0,25.0,23.0,23.0,33.0,42.0,23.0,12.0,6384507893.0,9460176.0,广州市荔湾区,广州市荔湾区沙面街道,20.0,30.0,30.0,20.0,100.0,94.31818181818181,84.46704545454546,56.92664596273291
广东省,广州市,荔湾区,岭南街道,113.242414,23.1127136,144.0,365.0,334.0,292.0,533.0,896.0,13.0,2325.0,1860.0,104.0,5.0,63.0,45.0,60.0,148.0,186.0,27.0,5.0,80.0,485.0,269.0,47.0,22.0,11.0,46.0,61.0,5143.0,64.0,2242.0,78.0,159.0,176.0,146.0,162.0,26.0,24.0,19.0,55.0,51.0,59.0,56.0,82.0,4.0,332.0,259.0,13.0,0.0,5.0,5.0,5.0,14.0,16.0,4.0,3.0,7.0,81.0,37.0,3.0,0.0,1.0,4.0,8.0,489.0,13.0,268.0,14.0,20.0,18.0,36.0,46.0,22.0,12.0,6384507872.0,9460175.0,广州市荔湾区,广州市荔湾区岭南街道,20.0,30.0,30.0,20.0,100.0,94.31818181818181,84.46704545454546,56.92664596273291
广东省,广州市,荔湾区,华林街道,113.243446,23.11782,139.0,383.0,332.0,311.0,501.0,897.0,13.0,2402.0,1897.0,109.0,7.0,70.0,49.0,66.0,147.0,189.0,25.0,7.0,85.0,519.0,250.0,46.0,20.0,8.0,48.0,58.0,5318.0,65.0,2099.0,79.0,188.0,193.0,170.0,189.0,26.0,25.0,8.0,51.0,41.0,74.0,57.0,120.0,3.0,296.0,262.0,5.0,0.0,0.0,10.0,17.0,22.0,23.0,3.0,3.0,12.0,101.0,49.0,3.0,0.0,0.0,5.0,4.0,395.0,12.0,173.0,2.0,19.0,16.0,29.0,39.0,22.0,9.0,-1.0,9460174.0,广州市荔湾区,广州市荔湾区华林街道,20.0,30.0,30.0,20.0,100.0,94.31818181818181,84.46704545454546,56.92664596273291
广东省,广州市,荔湾区,多宝街道,113.2348478,23.115755,162.0,321.0,278.0,275.0,519.0,773.0,14.0,1971.0,1616.0,87.0,6.0,41.0,40.0,54.0,134.0,165.0,21.0,5.0,59.0,344.0,241.0,39.0,23.0,8.0,43.0,52.0,4238.0,42.0,1999.0,72.0,125.0,169.0,132.0,141.0,27.0,23.0,30.0,27.0,6.0,63.0,47.0,110.0,0.0,310.0,230.0,10.0,0.0,9.0,9.0,13.0,25.0,28.0,3.0,1.0,6.0,83.0,50.0,2.0,3.0,2.0,3.0,3.0,443.0,13.0,203.0,10.0,22.0,32.0,41.0,34.0,21.0,16.0,6384507856.0,9460173.0,广州市荔湾区,广州市荔湾区多宝街道,20.0,30.0,30.0,20.0,100.0,94.31818181818181,84.46704545454546,56.92664596273291
广东省,广州市,荔湾区,昌华街道,113.2304352,23.1181703,164.0,271.0,229.0,280.0,564.0,669.0,5.0,1719.0,1538.0,63.0,6.0,31.0,36.0,49.0,130.0,154.0,16.0,5.0,53.0,319.0,203.0,32.0,22.0,8.0,39.0,46.0,3376.0,40.0,1615.0,69.0,95.0,149.0,116.0,120.0,27.0,22.0,35.0,8.0,17.0,58.0,39.0,89.0,0.0,271.0,187.0,6.0,0.0,9.0,6.0,9.0,22.0,25.0,1.0,1.0,1.0,53.0,51.0,2.0,5.0,2.0,2.0,3.0,348.0,12.0,166.0,5.0,19.0,19.0,28.0,25.0,20.0,16.0,6384507803.0,9460165.0,广州市荔湾区,广州市荔湾区昌华街道,20.0,30.0,30.0,20.0,100.0,94.31818181818181,84.46704545454546,56.92664596273291
广东省,广州市,荔湾区,逢源街道,113.2375646,23.1261527,147.0,365.0,276.0,319.0,481.0,688.0,13.0,2125.0,1746.0,68.0,4.0,54.0,42.0,56.0,140.0,165.0,22.0,6.0,69.0,462.0,161.0,30.0,13.0,6.0,41.0,47.0,3879.0,54.0,1511.0,73.0,157.0,172.0,149.0,181.0,27.0,21.0,0.0,41.0,16.0,44.0,52.0,135.0,0.0,391.0,237.0,8.0,1.0,5.0,6.0,8.0,26.0,31.0,2.0,1.0,11.0,77.0,52.0,9.0,0.0,2.0,1.0,10.0,434.0,4.0,117.0,3.0,10.0,21.0,21.0,26.0,19.0,10.0,6384507804.0,9460166.0,广州市荔湾区,广州市荔湾区逢源街道,20.0,30.0,30.0,20.0,100.0,94.31818181818181,84.46704545454546,56.92664596273291
广东省,广州市,荔湾区,龙津街道,113.243283,23.1254374,150.0,391.0,307.0,315.0,451.0,836.0,13.0,2416.0,1852.0,81.0,5.0,61.0,47.0,65.0,157.0,193.0,28.0,7.0,88.0,510.0,178.0,32.0,13.0,6.0,44.0,54.0,4725.0,60.0,1792.0,78.0,187.0,201.0,178.0,204.0,27.0,25.0,0.0,47.0,41.0,48.0,41.0,139.0,0.0,410.0,232.0,14.0,1.0,2.0,12.0,21.0,30.0,31.0,3.0,1.0,24.0,134.0,55.0,6.0,0.0,2.0,1.0,7.0,479.0,2.0,137.0,0.0,15.0,18.0,21.0,29.0,18.0,12.0,6384507805.0,9460167.0,广州市荔湾区,广州市荔湾区龙津街道,20.0,30.0,30.0,20.0,100.0,94.31818181818181,84.46704545454546,56.92664596273291
广东省,广州市,荔湾区,金花街道,113.2443988,23.1303213,179.0,400.0,312.0,339.0,467.0,796.0,13.0,2316.0,1883.0,73.0,4.0,56.0,46.0,64.0,157.0,197.0,30.0,7.0,91.0,515.0,163.0,29.0,11.0,5.0,28.0,58.0,4993.0,63.0,1829.0,62.0,175.0,209.0,176.0,212.0,27.0,24.0,11.0,58.0,44.0,24.0,43.0,126.0,0.0,442.0,259.0,12.0,1.0,4.0,12.0,21.0,28.0,34.0,3.0,2.0,28.0,124.0,38.0,7.0,0.0,2.0,3.0,7.0,558.0,4.0,127.0,5.0,26.0,23.0,31.0,28.0,21.0,12.0,6384507806.0,9460168.0,广州市荔湾区,广州市荔湾区金花街道,20.0,30.0,30.0,20.0,100.0,94.31818181818181,84.46704545454546,56.92664596273291
广东省,广州市,荔湾区,彩虹街道,113.2326883,23.1317667,117.0,356.0,168.0,282.0,486.0,522.0,3.0,1649.0,1528.0,54.0,4.0,42.0,34.0,47.0,117.0,132.0,15.0,6.0,55.0,345.0,134.0,19.0,14.0,5.0,30.0,38.0,3012.0,37.0,1105.0,48.0,97.0,153.0,126.0,146.0,26.0,21.0,22.0,56.0,32.0,21.0,91.0,77.0,0.0,258.0,252.0,7.0,2.0,2.0,3.0,3.0,21.0,24.0,0.0,1.0,7.0,51.0,21.0,8.0,2.0,2.0,2.0,10.0,415.0,0.0,115.0,3.0,5.0,18.0,10.0,26.0,20.0,11.0,6384507807.0,9460169.0,广州市荔湾区,广州市荔湾区彩虹街道,20.0,30.0,25.0,20.0,95.0,94.31818181818181,84.46704545454546,56.92664596273291
广东省,广州市,荔湾区,南源街道,113.2292631,23.1404438,106.0,336.0,140.0,294.0,491.0,487.0,3.0,1269.0,1367.0,36.0,4.0,11.0,27.0,40.0,104.0,118.0,8.0,5.0,37.0,268.0,151.0,19.0,15.0,3.0,22.0,28.0,2506.0,18.0,822.0,35.0,76.0,120.0,80.0,105.0,28.0,18.0,20.0,62.0,10.0,17.0,88.0,49.0,0.0,69.0,156.0,3.0,1.0,1.0,0.0,0.0,19.0,21.0,0.0,0.0,0.0,14.0,10.0,3.0,4.0,0.0,2.0,6.0,323.0,0.0,123.0,3.0,2.0,23.0,1.0,20.0,17.0,10.0,6384507808.0,9460170.0,广州市荔湾区,广州市荔湾区南源街道,20.0,30.0,16.0,20.0,86.0,94.31818181818181,84.46704545454546,56.92664596273291
