addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
广西壮族自治区,南宁市,兴宁区,民生街道,108.334744,22.8397936,52.0,108.0,83.0,65.0,222.0,180.0,0.0,242.0,395.0,29.0,10.0,3.0,17.0,64.0,19.0,50.0,1.0,9.0,60.0,324.0,66.0,9.0,4.0,12.0,6.0,6.0,341.0,9.0,72.0,13.0,29.0,226.0,62.0,25.0,23.0,23.0,6.0,11.0,3.0,9.0,25.0,16.0,0.0,20.0,13.0,3.0,3.0,0.0,1.0,3.0,1.0,5.0,0.0,1.0,0.0,14.0,12.0,1.0,1.0,0.0,2.0,1.0,17.0,0.0,9.0,1.0,0.0,23.0,3.0,6.0,17.0,11.0,8005520634.0,-1.0,南宁市兴宁区,南宁市兴宁区民生街道,12.0,30.0,23.0,20.0,85.0,62.48333333333333,42.150393700787404,38.14581005586592
广西壮族自治区,南宁市,兴宁区,朝阳街道,108.3160114,22.8253965,28.0,143.0,88.0,52.0,228.0,272.0,5.0,235.0,397.0,39.0,7.0,7.0,17.0,63.0,23.0,57.0,1.0,11.0,68.0,355.0,66.0,11.0,4.0,11.0,13.0,10.0,687.0,12.0,104.0,5.0,48.0,194.0,77.0,37.0,24.0,20.0,11.0,47.0,17.0,21.0,47.0,22.0,0.0,84.0,125.0,9.0,0.0,2.0,6.0,24.0,6.0,9.0,0.0,5.0,12.0,150.0,4.0,3.0,0.0,5.0,2.0,2.0,100.0,11.0,53.0,2.0,8.0,34.0,33.0,17.0,17.0,15.0,8005520633.0,-1.0,南宁市兴宁区,南宁市兴宁区朝阳街道,12.0,30.0,25.0,20.0,87.0,62.48333333333333,42.150393700787404,38.14581005586592
广西壮族自治区,南宁市,兴宁区,兴东街道,108.3434944,22.8665647,41.0,52.0,96.0,56.0,165.0,135.0,0.0,91.0,157.0,18.0,8.0,2.0,8.0,12.0,6.0,17.0,1.0,0.0,1.0,40.0,70.0,3.0,7.0,4.0,7.0,4.0,96.0,0.0,1.0,5.0,9.0,148.0,10.0,5.0,20.0,20.0,9.0,2.0,13.0,10.0,30.0,30.0,0.0,8.0,12.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,5.0,24.0,1.0,2.0,13.0,6.0,8005520632.0,-1.0,南宁市兴宁区,南宁市兴宁区兴东街道,11.0,30.0,16.0,14.600000000000001,71.6,62.48333333333333,42.150393700787404,38.14581005586592
广西壮族自治区,南宁市,兴宁区,三塘镇,108.4150875,22.8806753,6.0,8.0,41.0,31.0,61.0,20.0,0.0,0.0,38.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,4.0,22.0,3.0,11.0,5.0,2.0,2.0,121.0,0.0,0.0,1.0,1.0,31.0,1.0,3.0,15.0,17.0,4.0,0.0,14.0,4.0,9.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,10.0,12.0,1710350886.0,-1.0,南宁市兴宁区,南宁市兴宁区三塘镇,9.0,30.0,12.0,16.700000000000003,67.7,62.48333333333333,42.150393700787404,38.14581005586592
广西壮族自治区,南宁市,兴宁区,五塘镇,108.5449047,22.9424707,13.0,0.0,4.0,24.0,5.0,2.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,7.0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3633721338.0,-1.0,南宁市兴宁区,南宁市兴宁区五塘镇,10.0,19.6,5.0,3.7,38.300000000000004,62.48333333333333,42.150393700787404,38.14581005586592
广西壮族自治区,南宁市,兴宁区,昆仑镇,108.6829942,23.0638077,4.0,0.0,5.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,4.0,0.0,5.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,5082157919.0,-1.0,南宁市兴宁区,南宁市兴宁区昆仑镇,8.0,15.8,0.0,1.5,25.3,62.48333333333333,42.150393700787404,38.14581005586592
广西壮族自治区,南宁市,青秀区,新竹街道,108.3410392,22.8206838,50.0,151.0,127.0,72.0,251.0,446.0,8.0,330.0,441.0,47.0,10.0,18.0,16.0,61.0,28.0,62.0,1.0,10.0,77.0,362.0,79.0,23.0,4.0,13.0,8.0,9.0,861.0,21.0,101.0,25.0,82.0,205.0,93.0,33.0,26.0,23.0,2.0,12.0,4.0,7.0,30.0,64.0,0.0,18.0,36.0,4.0,0.0,0.0,3.0,13.0,4.0,13.0,0.0,3.0,20.0,60.0,8.0,0.0,0.0,0.0,1.0,1.0,85.0,0.0,11.0,1.0,12.0,19.0,7.0,3.0,13.0,7.0,4565141664.0,6809463.0,南宁市青秀区,南宁市青秀区新竹街道,20.0,30.0,25.0,20.0,95.0,64.27777777777777,42.150393700787404,38.14581005586592
广西壮族自治区,南宁市,青秀区,中山街道,108.3481401,22.7961196,32.0,109.0,102.0,58.0,202.0,462.0,28.0,251.0,276.0,43.0,9.0,16.0,9.0,10.0,18.0,37.0,2.0,3.0,27.0,64.0,79.0,16.0,0.0,6.0,5.0,4.0,808.0,7.0,52.0,14.0,64.0,121.0,32.0,23.0,22.0,18.0,10.0,28.0,21.0,15.0,13.0,92.0,3.0,8.0,28.0,4.0,2.0,1.0,5.0,5.0,3.0,6.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,2.0,0.0,1.0,125.0,4.0,25.0,0.0,4.0,25.0,1.0,9.0,15.0,9.0,4565141665.0,6809464.0,南宁市青秀区,南宁市青秀区中山街道,19.0,30.0,18.0,20.0,87.0,64.27777777777777,42.150393700787404,38.14581005586592
广西壮族自治区,南宁市,青秀区,建政街道,108.3539163,22.8365307,82.0,62.0,122.0,80.0,191.0,230.0,4.0,249.0,266.0,30.0,9.0,8.0,12.0,35.0,16.0,35.0,1.0,4.0,47.0,151.0,79.0,19.0,2.0,4.0,5.0,6.0,252.0,17.0,78.0,40.0,46.0,187.0,36.0,14.0,26.0,23.0,15.0,10.0,20.0,14.0,30.0,13.0,0.0,29.0,31.0,2.0,1.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,6.0,2.0,36.0,0.0,6.0,18.0,10.0,8004398713.0,-1.0,南宁市青秀区,南宁市青秀区建政街道,12.0,30.0,20.0,20.0,82.0,64.27777777777777,42.150393700787404,38.14581005586592
广西壮族自治区,南宁市,青秀区,南湖街道,108.3688724,22.8273742,104.0,46.0,142.0,108.0,197.0,299.0,4.0,255.0,279.0,38.0,5.0,10.0,6.0,11.0,25.0,39.0,0.0,1.0,21.0,72.0,90.0,27.0,1.0,7.0,3.0,5.0,297.0,43.0,82.0,39.0,47.0,165.0,44.0,13.0,27.0,23.0,6.0,14.0,37.0,1.0,36.0,56.0,1.0,21.0,15.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,12.0,9.0,9.0,0.0,2.0,0.0,1.0,42.0,12.0,19.0,16.0,11.0,7.0,7.0,2.0,17.0,9.0,8004398712.0,-1.0,南宁市青秀区,南宁市青秀区南湖街道,12.0,30.0,21.0,20.0,83.0,64.27777777777777,42.150393700787404,38.14581005586592
