addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
贵州省,贵阳市,南明区,新华路街道,106.708202,26.550093,121.0,54.0,84.0,76.0,167.0,32.0,0.0,142.0,72.0,5.0,0.0,3.0,6.0,7.0,4.0,5.0,2.0,1.0,3.0,33.0,31.0,4.0,1.0,2.0,5.0,3.0,202.0,8.0,59.0,5.0,1.0,20.0,15.0,19.0,22.0,18.0,4.0,0.0,15.0,7.0,26.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,7.0,-1.0,-1.0,贵阳市南明区,贵阳市南明区新华路街道,3.0,28.0,5.0,20.0,56.0,57.839130434782604,44.28767123287671,31.97549668874172
贵州省,贵阳市,南明区,西湖路街道,106.708202,26.550093,121.0,54.0,84.0,76.0,167.0,32.0,0.0,142.0,72.0,5.0,0.0,3.0,6.0,7.0,4.0,5.0,2.0,1.0,3.0,33.0,31.0,4.0,1.0,2.0,5.0,3.0,202.0,8.0,59.0,5.0,1.0,20.0,15.0,19.0,22.0,18.0,4.0,0.0,15.0,7.0,26.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,7.0,-1.0,-1.0,贵阳市南明区,贵阳市南明区西湖路街道,3.0,28.0,5.0,20.0,56.0,57.839130434782604,44.28767123287671,31.97549668874172
贵州省,贵阳市,南明区,水口寺街道,106.708202,26.550093,121.0,54.0,84.0,76.0,167.0,32.0,0.0,142.0,72.0,5.0,0.0,3.0,6.0,7.0,4.0,5.0,2.0,1.0,3.0,33.0,31.0,4.0,1.0,2.0,5.0,3.0,202.0,8.0,59.0,5.0,1.0,20.0,15.0,19.0,22.0,18.0,4.0,0.0,15.0,7.0,26.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,7.0,-1.0,-1.0,贵阳市南明区,贵阳市南明区水口寺街道,3.0,28.0,5.0,20.0,56.0,57.839130434782604,44.28767123287671,31.97549668874172
贵州省,贵阳市,南明区,中华南路街道,106.708202,26.550093,121.0,54.0,84.0,76.0,167.0,32.0,0.0,142.0,72.0,5.0,0.0,3.0,6.0,7.0,4.0,5.0,2.0,1.0,3.0,33.0,31.0,4.0,1.0,2.0,5.0,3.0,202.0,8.0,59.0,5.0,1.0,20.0,15.0,19.0,22.0,18.0,4.0,0.0,15.0,7.0,26.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,7.0,-1.0,-1.0,贵阳市南明区,贵阳市南明区中华南路街道,3.0,28.0,5.0,20.0,56.0,57.839130434782604,44.28767123287671,31.97549668874172
贵州省,贵阳市,南明区,河滨街道,106.70168,26.568806,125.0,140.0,131.0,103.0,205.0,79.0,0.0,272.0,181.0,12.0,2.0,5.0,10.0,18.0,17.0,22.0,2.0,4.0,22.0,92.0,36.0,5.0,0.0,3.0,6.0,14.0,427.0,20.0,71.0,10.0,11.0,37.0,43.0,20.0,22.0,17.0,40.0,26.0,14.0,26.0,24.0,2.0,0.0,83.0,25.0,5.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,19.0,6.0,2.0,0.0,2.0,4.0,2.0,95.0,7.0,42.0,4.0,0.0,5.0,6.0,7.0,19.0,14.0,-1.0,-1.0,贵阳市南明区,贵阳市南明区河滨街道,5.0,30.0,28.0,20.0,83.0,57.839130434782604,44.28767123287671,31.97549668874172
贵州省,贵阳市,南明区,遵义路街道,106.708202,26.550093,121.0,54.0,84.0,76.0,167.0,32.0,0.0,142.0,72.0,5.0,0.0,3.0,6.0,7.0,4.0,5.0,2.0,1.0,3.0,33.0,31.0,4.0,1.0,2.0,5.0,3.0,202.0,8.0,59.0,5.0,1.0,20.0,15.0,19.0,22.0,18.0,4.0,0.0,15.0,7.0,26.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,7.0,-1.0,-1.0,贵阳市南明区,贵阳市南明区遵义路街道,3.0,28.0,5.0,20.0,56.0,57.839130434782604,44.28767123287671,31.97549668874172
贵州省,贵阳市,南明区,兴关路街道,106.712531,26.563235,136.0,103.0,105.0,84.0,179.0,70.0,0.0,244.0,117.0,10.0,1.0,4.0,10.0,17.0,15.0,19.0,2.0,4.0,18.0,84.0,26.0,4.0,0.0,2.0,6.0,10.0,310.0,18.0,64.0,4.0,7.0,27.0,37.0,23.0,23.0,16.0,13.0,6.0,8.0,11.0,27.0,16.0,0.0,48.0,2.0,4.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,14.0,1.0,2.0,0.0,1.0,1.0,0.0,50.0,4.0,22.0,0.0,0.0,2.0,2.0,2.0,16.0,12.0,-1.0,-1.0,贵阳市南明区,贵阳市南明区兴关路街道,5.0,30.0,26.0,20.0,81.0,57.839130434782604,44.28767123287671,31.97549668874172
贵州省,贵阳市,南明区,沙冲路街道,106.691245,26.543099,92.0,22.0,70.0,82.0,142.0,19.0,0.0,18.0,109.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,19.0,40.0,4.0,4.0,1.0,6.0,0.0,205.0,2.0,82.0,10.0,5.0,23.0,5.0,17.0,20.0,15.0,6.0,0.0,4.0,10.0,17.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,11.0,7.0,-1.0,-1.0,贵阳市南明区,贵阳市南明区沙冲路街道,0.0,28.0,5.0,20.0,53.0,57.839130434782604,44.28767123287671,31.97549668874172
贵州省,贵阳市,南明区,望城街道,106.708202,26.550093,121.0,54.0,84.0,76.0,167.0,32.0,0.0,142.0,72.0,5.0,0.0,3.0,6.0,7.0,4.0,5.0,2.0,1.0,3.0,33.0,31.0,4.0,1.0,2.0,5.0,3.0,202.0,8.0,59.0,5.0,1.0,20.0,15.0,19.0,22.0,18.0,4.0,0.0,15.0,7.0,26.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,7.0,-1.0,-1.0,贵阳市南明区,贵阳市南明区望城街道,3.0,28.0,5.0,20.0,56.0,57.839130434782604,44.28767123287671,31.97549668874172
贵州省,贵阳市,南明区,太慈桥街道,106.708202,26.550093,121.0,54.0,84.0,76.0,167.0,32.0,0.0,142.0,72.0,5.0,0.0,3.0,6.0,7.0,4.0,5.0,2.0,1.0,3.0,33.0,31.0,4.0,1.0,2.0,5.0,3.0,202.0,8.0,59.0,5.0,1.0,20.0,15.0,19.0,22.0,18.0,4.0,0.0,15.0,7.0,26.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,7.0,-1.0,-1.0,贵阳市南明区,贵阳市南明区太慈桥街道,3.0,28.0,5.0,20.0,56.0,57.839130434782604,44.28767123287671,31.97549668874172
