addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
海南省,海口市,秀英区,秀英街道,110.2641347,20.0059782,35.0,31.0,71.0,62.0,149.0,73.0,0.0,42.0,60.0,2.0,1.0,1.0,1.0,1.0,10.0,12.0,0.0,1.0,0.0,9.0,97.0,15.0,42.0,0.0,4.0,4.0,216.0,0.0,2.0,29.0,0.0,56.0,16.0,11.0,20.0,16.0,3.0,2.0,13.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,8.0,5.0,12361353789.0,18311857.0,海口市秀英区,海口市秀英区秀英街道,19.0,30.0,10.0,20.0,79.0,64.25,66.12558139534885,40.486363636363635
海南省,海口市,秀英区,海秀街道,110.2605915,20.0140204,15.0,27.0,54.0,56.0,133.0,87.0,0.0,17.0,54.0,2.0,1.0,1.0,1.0,1.0,5.0,7.0,0.0,1.0,0.0,6.0,81.0,14.0,32.0,0.0,1.0,2.0,214.0,1.0,7.0,25.0,1.0,49.0,1.0,8.0,19.0,15.0,0.0,2.0,17.0,20.0,16.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,2.0,1.0,0.0,0.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.0,12361353788.0,18311858.0,海口市秀英区,海口市秀英区海秀街道,17.0,30.0,10.0,20.0,77.0,64.25,66.12558139534885,40.486363636363635
海南省,海口市,秀英区,长流镇,110.202214,20.014491,11.0,20.0,34.0,47.0,131.0,14.0,0.0,49.0,20.0,0.0,0.0,0.0,2.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,39.0,3.0,5.0,0.0,16.0,1.0,22.0,16.0,15.0,0.0,1.0,34.0,0.0,4.0,22.0,14.0,0.0,7.0,5.0,5.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,7.0,5363735396.0,18311855.0,海口市秀英区,海口市秀英区长流镇,16.0,26.0,10.0,6.4,58.4,64.25,66.12558139534885,40.486363636363635
海南省,海口市,秀英区,西秀镇,110.1663755,20.0056745,12.0,20.0,6.0,24.0,96.0,96.0,0.0,21.0,6.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,30.0,0.0,9.0,0.0,2.0,1.0,90.0,0.0,0.0,1.0,0.0,20.0,0.0,6.0,19.0,12.0,0.0,11.0,0.0,1.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,8.0,7.0,12361353787.0,18311854.0,海口市秀英区,海口市秀英区西秀镇,16.0,30.0,15.0,14.3,75.3,64.25,66.12558139534885,40.486363636363635
海南省,海口市,秀英区,海秀镇,110.2844846,19.9946135,36.0,10.0,69.0,59.0,178.0,67.0,0.0,36.0,52.0,1.0,3.0,2.0,1.0,1.0,11.0,13.0,0.0,1.0,0.0,7.0,109.0,7.0,35.0,0.0,3.0,4.0,80.0,0.0,1.0,7.0,0.0,60.0,18.0,11.0,20.0,16.0,11.0,0.0,14.0,11.0,15.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,5.0,8.0,5.0,12361352621.0,18311856.0,海口市秀英区,海口市秀英区海秀镇,19.0,30.0,10.0,12.8,71.8,64.25,66.12558139534885,40.486363636363635
海南省,海口市,秀英区,石山镇,110.2052742,19.9392711,0.0,0.0,14.0,6.0,81.0,14.0,0.0,29.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,2.0,0.0,0.0,9.0,14.0,0.0,0.0,5.0,0.0,14.0,27.0,5.0,17.0,14.0,0.0,0.0,2.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,5.0,6.0,1875783506.0,18311853.0,海口市秀英区,海口市秀英区石山镇,20.0,30.0,0.0,5.9,55.9,64.25,66.12558139534885,40.486363636363635
海南省,海口市,秀英区,永兴镇,110.2631979,19.8936046,4.0,1.0,0.0,6.0,85.0,31.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,0.0,0.0,3.0,18.0,0.0,0.0,8.0,0.0,42.0,1.0,2.0,12.0,9.0,2.0,1.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,2.0,2284335898.0,18311852.0,海口市秀英区,海口市秀英区永兴镇,18.0,26.0,0.0,6.6,50.6,64.25,66.12558139534885,40.486363636363635
海南省,海口市,秀英区,东山镇,110.2348052,19.7515732,1.0,0.0,2.0,8.0,28.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,11.0,1.0,6.0,7.0,11.0,0.0,0.0,2.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,2.0,4.0,6.0,3926652800.0,18311851.0,海口市秀英区,海口市秀英区东山镇,16.0,25.5,0.0,4.5,46.0,64.25,66.12558139534885,40.486363636363635
海南省,海口市,龙华区,中山街道,110.3411275,20.0402563,56.0,79.0,123.0,98.0,824.0,48.0,8.0,267.0,124.0,17.0,2.0,13.0,3.0,4.0,14.0,22.0,3.0,2.0,9.0,77.0,142.0,13.0,1.0,16.0,5.0,24.0,359.0,0.0,16.0,4.0,11.0,140.0,30.0,22.0,26.0,15.0,0.0,15.0,19.0,18.0,45.0,1.0,2.0,59.0,25.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,1.0,2.0,11.0,0.0,1.0,0.0,0.0,19.0,10.0,7.0,15.0,8.0,12361353795.0,18311869.0,海口市龙华区,海口市龙华区中山街道,20.0,30.0,16.0,20.0,86.0,69.26363636363637,66.12558139534885,40.486363636363635
海南省,海口市,龙华区,滨海街道,110.3210807,20.038495,62.0,35.0,127.0,128.0,726.0,72.0,9.0,415.0,109.0,32.0,4.0,8.0,2.0,3.0,9.0,17.0,1.0,2.0,11.0,74.0,108.0,18.0,1.0,17.0,7.0,10.0,412.0,0.0,19.0,32.0,19.0,151.0,33.0,19.0,24.0,14.0,51.0,3.0,14.0,24.0,105.0,7.0,0.0,34.0,18.0,3.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,12.0,2.0,0.0,1.0,0.0,3.0,46.0,0.0,0.0,0.0,3.0,15.0,2.0,5.0,13.0,10.0,12361353794.0,18311867.0,海口市龙华区,海口市龙华区滨海街道,20.0,30.0,14.0,20.0,84.0,69.26363636363637,66.12558139534885,40.486363636363635
