addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
河北省,石家庄市,长安区,建北街道,114.5160318,38.0635524,31.0,79.0,81.0,64.0,181.0,62.0,3.0,35.0,31.0,6.0,1.0,6.0,6.0,6.0,26.0,36.0,1.0,0.0,4.0,35.0,116.0,42.0,8.0,5.0,4.0,14.0,1062.0,22.0,53.0,7.0,72.0,57.0,10.0,37.0,21.0,16.0,0.0,6.0,4.0,9.0,12.0,13.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,8.0,1.0,3.0,1.0,576.0,1.0,2.0,2.0,32.0,8.0,0.0,9.0,5.0,8.0,6634193036.0,9818656.0,石家庄市长安区,石家庄市长安区建北街道,20.0,30.0,5.0,20.0,75.0,79.2125,48.061956521739134,45.45894924309884
河北省,石家庄市,长安区,青园街道,114.5112035,38.0439737,45.0,82.0,60.0,75.0,140.0,71.0,15.0,74.0,35.0,7.0,0.0,11.0,9.0,9.0,34.0,44.0,0.0,0.0,5.0,49.0,163.0,79.0,8.0,6.0,4.0,19.0,1106.0,50.0,86.0,8.0,75.0,55.0,12.0,43.0,18.0,16.0,0.0,14.0,3.0,17.0,19.0,11.0,0.0,18.0,20.0,2.0,0.0,6.0,3.0,3.0,7.0,12.0,0.0,0.0,3.0,27.0,24.0,28.0,0.0,3.0,1.0,3.0,206.0,14.0,30.0,1.0,23.0,11.0,7.0,17.0,12.0,9.0,6634193037.0,9818658.0,石家庄市长安区,石家庄市长安区青园街道,20.0,28.0,23.0,20.0,91.0,79.2125,48.061956521739134,45.45894924309884
河北省,石家庄市,长安区,广安街道,114.51979,38.0468936,34.0,73.0,58.0,74.0,138.0,50.0,15.0,36.0,29.0,4.0,1.0,11.0,11.0,11.0,40.0,49.0,0.0,0.0,6.0,58.0,197.0,62.0,8.0,10.0,4.0,19.0,1102.0,40.0,75.0,7.0,77.0,58.0,11.0,39.0,17.0,15.0,0.0,11.0,2.0,11.0,21.0,11.0,0.0,16.0,8.0,0.0,0.0,1.0,3.0,3.0,9.0,11.0,0.0,0.0,2.0,13.0,16.0,10.0,0.0,0.0,3.0,2.0,156.0,6.0,13.0,0.0,9.0,14.0,7.0,6.0,12.0,9.0,6634193033.0,9818653.0,石家庄市长安区,石家庄市长安区广安街道,20.0,30.0,23.0,20.0,93.0,79.2125,48.061956521739134,45.45894924309884
河北省,石家庄市,长安区,育才街道,114.5304254,38.0526563,22.0,67.0,44.0,66.0,117.0,41.0,0.0,25.0,33.0,4.0,2.0,10.0,12.0,12.0,41.0,51.0,0.0,0.0,4.0,41.0,218.0,60.0,8.0,13.0,4.0,13.0,986.0,26.0,45.0,6.0,71.0,50.0,8.0,33.0,19.0,15.0,0.0,14.0,3.0,9.0,19.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,0.0,0.0,0.0,1.0,9.0,1.0,4.0,0.0,1.0,1.0,52.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,8.0,7.0,6634193040.0,9818663.0,石家庄市长安区,石家庄市长安区育才街道,20.0,30.0,16.0,20.0,86.0,79.2125,48.061956521739134,45.45894924309884
河北省,石家庄市,长安区,跃进街道,114.5497448,38.0544235,31.0,58.0,36.0,52.0,92.0,24.0,0.0,7.0,16.0,0.0,6.0,6.0,9.0,9.0,31.0,37.0,0.0,0.0,0.0,17.0,172.0,43.0,9.0,22.0,2.0,8.0,318.0,5.0,8.0,5.0,13.0,28.0,1.0,23.0,17.0,13.0,0.0,2.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,24.0,4.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,4.0,5.0,6634193041.0,9818664.0,石家庄市长安区,石家庄市长安区跃进街道,20.0,28.0,16.0,20.0,84.0,79.2125,48.061956521739134,45.45894924309884
河北省,石家庄市,长安区,河东街道,114.5450689,38.0411376,58.0,48.0,28.0,53.0,110.0,30.0,0.0,11.0,15.0,2.0,4.0,9.0,11.0,11.0,38.0,50.0,0.0,0.0,3.0,48.0,205.0,64.0,8.0,24.0,4.0,10.0,303.0,60.0,32.0,5.0,24.0,40.0,12.0,24.0,15.0,16.0,0.0,6.0,7.0,16.0,16.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,3.0,5.0,7.0,0.0,0.0,0.0,7.0,42.0,10.0,0.0,1.0,0.0,1.0,10.0,3.0,2.0,0.0,3.0,5.0,0.0,8.0,6.0,7.0,6634193034.0,9818654.0,石家庄市长安区,石家庄市长安区河东街道,20.0,30.0,21.0,20.0,91.0,79.2125,48.061956521739134,45.45894924309884
河北省,石家庄市,长安区,长丰街道,114.5428222,38.0688712,25.0,38.0,41.0,49.0,101.0,19.0,0.0,6.0,7.0,1.0,2.0,0.0,3.0,3.0,15.0,16.0,0.0,0.0,0.0,10.0,89.0,9.0,9.0,6.0,3.0,5.0,562.0,0.0,5.0,5.0,21.0,16.0,0.0,16.0,16.0,10.0,6.0,6.0,5.0,6.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,9.0,5.0,6634193031.0,9818650.0,石家庄市长安区,石家庄市长安区长丰街道,20.0,30.0,8.0,20.0,78.0,79.2125,48.061956521739134,45.45894924309884
河北省,石家庄市,长安区,谈固街道,114.5688644,38.0502137,91.0,30.0,46.0,50.0,73.0,15.0,3.0,11.0,22.0,0.0,7.0,4.0,7.0,7.0,26.0,34.0,0.0,0.0,0.0,12.0,145.0,36.0,6.0,23.0,1.0,4.0,77.0,0.0,1.0,0.0,12.0,18.0,1.0,19.0,20.0,11.0,14.0,6.0,4.0,6.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,19.0,8.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,7.0,8.0,6634193039.0,9818660.0,石家庄市长安区,石家庄市长安区谈固街道,19.0,28.0,10.0,11.7,68.7,79.2125,48.061956521739134,45.45894924309884
河北省,石家庄市,长安区,中山东路街道,114.4990852,38.0456134,37.0,88.0,92.0,79.0,144.0,80.0,15.0,76.0,53.0,7.0,0.0,12.0,8.0,8.0,37.0,46.0,1.0,0.0,6.0,42.0,128.0,89.0,5.0,4.0,4.0,16.0,1067.0,56.0,103.0,5.0,86.0,73.0,14.0,47.0,19.0,15.0,4.0,16.0,13.0,19.0,31.0,9.0,3.0,15.0,15.0,2.0,0.0,3.0,2.0,2.0,10.0,13.0,0.0,0.0,2.0,18.0,28.0,23.0,0.0,3.0,0.0,4.0,142.0,15.0,34.0,1.0,21.0,10.0,1.0,15.0,14.0,8.0,6634193042.0,9818665.0,石家庄市长安区,石家庄市长安区中山东路街道,20.0,28.0,23.0,20.0,91.0,79.2125,48.061956521739134,45.45894924309884
河北省,石家庄市,长安区,阜康街道,114.4923667,38.0587177,31.0,88.0,103.0,89.0,182.0,65.0,17.0,82.0,67.0,11.0,1.0,7.0,5.0,5.0,28.0,38.0,0.0,0.0,6.0,33.0,109.0,79.0,7.0,4.0,4.0,14.0,1118.0,44.0,87.0,5.0,80.0,59.0,12.0,47.0,21.0,16.0,7.0,7.0,17.0,7.0,12.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,3.0,16.0,0.0,2.0,0.0,2.0,7.0,0.0,10.0,11.0,4.0,6634193032.0,9818651.0,石家庄市长安区,石家庄市长安区阜康街道,20.0,30.0,10.0,20.0,80.0,79.2125,48.061956521739134,45.45894924309884
