addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
黑龙江省,哈尔滨市,道里区,兆麟街道,126.6230895,45.7690121,110.0,132.0,177.0,342.0,164.0,255.0,9.0,372.0,379.0,66.0,1.0,8.0,23.0,31.0,54.0,62.0,1.0,1.0,30.0,307.0,290.0,111.0,5.0,4.0,1.0,30.0,3813.0,5.0,89.0,39.0,88.0,217.0,125.0,63.0,22.0,23.0,8.0,32.0,55.0,33.0,37.0,33.0,0.0,72.0,31.0,8.0,0.0,3.0,7.0,11.0,11.0,12.0,0.0,1.0,20.0,139.0,44.0,51.0,1.0,2.0,0.0,5.0,449.0,0.0,55.0,7.0,37.0,47.0,49.0,17.0,16.0,15.0,6356453537.0,10784833.0,哈尔滨市道里区,哈尔滨市道里区兆麟街道,20.0,30.0,25.0,20.0,95.0,82.27826086956522,51.571617161716176,45.25672862453532
黑龙江省,哈尔滨市,道里区,新阳路街道,126.6118314,45.7570034,157.0,128.0,202.0,321.0,200.0,320.0,8.0,290.0,388.0,76.0,0.0,7.0,23.0,30.0,50.0,59.0,2.0,1.0,30.0,309.0,301.0,113.0,6.0,4.0,4.0,26.0,4250.0,5.0,96.0,39.0,92.0,220.0,112.0,59.0,22.0,24.0,19.0,27.0,59.0,63.0,31.0,26.0,0.0,22.0,47.0,2.0,0.0,0.0,3.0,4.0,8.0,9.0,0.0,0.0,1.0,30.0,76.0,7.0,1.0,0.0,1.0,7.0,692.0,0.0,1.0,4.0,4.0,8.0,13.0,9.0,14.0,10.0,6356453536.0,10784827.0,哈尔滨市道里区,哈尔滨市道里区新阳路街道,20.0,28.0,23.0,20.0,91.0,82.27826086956522,51.571617161716176,45.25672862453532
黑龙江省,哈尔滨市,道里区,抚顺街道,126.6095258,45.7558612,159.0,127.0,202.0,309.0,214.0,317.0,5.0,265.0,386.0,73.0,0.0,7.0,22.0,29.0,50.0,60.0,2.0,1.0,31.0,310.0,292.0,112.0,6.0,4.0,4.0,26.0,4248.0,5.0,96.0,44.0,94.0,219.0,112.0,59.0,22.0,25.0,17.0,19.0,50.0,67.0,29.0,25.0,0.0,14.0,47.0,2.0,0.0,0.0,0.0,2.0,5.0,6.0,0.0,0.0,2.0,28.0,69.0,1.0,1.0,0.0,1.0,8.0,698.0,0.0,1.0,4.0,1.0,3.0,8.0,9.0,12.0,10.0,9912837469.0,14389221.0,哈尔滨市道里区,哈尔滨市道里区抚顺街道,20.0,28.0,18.0,20.0,86.0,82.27826086956522,51.571617161716176,45.25672862453532
黑龙江省,哈尔滨市,道里区,共乐街道,126.6048799,45.7488353,170.0,133.0,239.0,289.0,253.0,308.0,4.0,163.0,348.0,54.0,1.0,3.0,15.0,21.0,52.0,63.0,2.0,1.0,31.0,279.0,294.0,101.0,12.0,4.0,5.0,24.0,4332.0,0.0,16.0,36.0,79.0,198.0,99.0,53.0,24.0,24.0,15.0,17.0,56.0,70.0,20.0,16.0,0.0,12.0,48.0,2.0,0.0,0.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,11.0,6.0,0.0,1.0,0.0,1.0,5.0,654.0,0.0,7.0,4.0,2.0,4.0,4.0,7.0,11.0,7.0,6356453525.0,10784821.0,哈尔滨市道里区,哈尔滨市道里区共乐街道,20.0,30.0,21.0,20.0,91.0,82.27826086956522,51.571617161716176,45.25672862453532
黑龙江省,哈尔滨市,道里区,新华街道,126.583908,45.7326935,118.0,89.0,231.0,169.0,145.0,162.0,3.0,219.0,149.0,12.0,3.0,1.0,7.0,8.0,25.0,34.0,1.0,0.0,5.0,58.0,167.0,16.0,8.0,1.0,8.0,13.0,3726.0,0.0,16.0,62.0,20.0,125.0,19.0,31.0,23.0,19.0,39.0,25.0,33.0,8.0,30.0,18.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,11.0,29.0,1.0,2.0,0.0,0.0,2.0,325.0,0.0,0.0,1.0,1.0,7.0,1.0,4.0,13.0,9.0,6356453535.0,10784819.0,哈尔滨市道里区,哈尔滨市道里区新华街道,20.0,30.0,23.0,20.0,93.0,82.27826086956522,51.571617161716176,45.25672862453532
黑龙江省,哈尔滨市,道里区,城乡路街道,126.5745026,45.72271,83.0,89.0,234.0,78.0,109.0,173.0,0.0,250.0,97.0,15.0,8.0,2.0,5.0,5.0,17.0,26.0,1.0,0.0,5.0,57.0,181.0,28.0,8.0,2.0,12.0,9.0,2921.0,0.0,12.0,37.0,20.0,122.0,21.0,29.0,20.0,20.0,11.0,16.0,25.0,2.0,9.0,3.0,0.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,0.0,1.0,1.0,250.0,0.0,1.0,6.0,2.0,11.0,1.0,4.0,10.0,9.0,6356453522.0,10784817.0,哈尔滨市道里区,哈尔滨市道里区城乡路街道,20.0,30.0,20.0,20.0,90.0,82.27826086956522,51.571617161716176,45.25672862453532
黑龙江省,哈尔滨市,道里区,工农街道,126.5547034,45.7354757,66.0,68.0,138.0,53.0,91.0,130.0,8.0,417.0,42.0,15.0,6.0,2.0,4.0,4.0,11.0,12.0,0.0,0.0,4.0,29.0,139.0,35.0,3.0,1.0,9.0,7.0,2258.0,0.0,6.0,84.0,20.0,104.0,20.0,20.0,25.0,19.0,0.0,4.0,17.0,6.0,5.0,27.0,0.0,80.0,8.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,9.0,17.0,10.0,1.0,0.0,0.0,1.0,290.0,0.0,2.0,3.0,6.0,22.0,4.0,4.0,13.0,10.0,6356453526.0,10784818.0,哈尔滨市道里区,哈尔滨市道里区工农街道,20.0,30.0,18.0,20.0,88.0,82.27826086956522,51.571617161716176,45.25672862453532
黑龙江省,哈尔滨市,道里区,尚志街道,126.6169034,45.7682853,111.0,126.0,174.0,330.0,173.0,265.0,10.0,408.0,382.0,66.0,0.0,7.0,24.0,32.0,47.0,56.0,1.0,1.0,30.0,305.0,256.0,106.0,5.0,3.0,2.0,27.0,3548.0,5.0,91.0,42.0,88.0,202.0,133.0,59.0,23.0,23.0,10.0,23.0,50.0,44.0,40.0,19.0,0.0,69.0,30.0,3.0,0.0,2.0,5.0,10.0,12.0,13.0,0.0,1.0,23.0,166.0,84.0,55.0,1.0,2.0,1.0,5.0,520.0,0.0,13.0,4.0,42.0,24.0,62.0,17.0,14.0,16.0,6356453531.0,10784832.0,哈尔滨市道里区,哈尔滨市道里区尚志街道,20.0,28.0,25.0,20.0,93.0,82.27826086956522,51.571617161716176,45.25672862453532
黑龙江省,哈尔滨市,道里区,斯大林街道,126.6221379,45.7771908,66.0,118.0,141.0,275.0,146.0,208.0,9.0,412.0,296.0,50.0,1.0,7.0,21.0,28.0,44.0,49.0,1.0,1.0,28.0,301.0,245.0,98.0,3.0,3.0,1.0,29.0,2952.0,5.0,85.0,40.0,79.0,168.0,131.0,57.0,22.0,23.0,5.0,8.0,27.0,33.0,29.0,25.0,6.0,126.0,35.0,8.0,0.0,2.0,3.0,6.0,7.0,8.0,0.0,1.0,10.0,84.0,15.0,32.0,0.0,1.0,0.0,4.0,416.0,0.0,77.0,8.0,24.0,30.0,30.0,12.0,16.0,11.0,6356453532.0,10784834.0,哈尔滨市道里区,哈尔滨市道里区斯大林街道,20.0,30.0,25.0,20.0,95.0,82.27826086956522,51.571617161716176,45.25672862453532
黑龙江省,哈尔滨市,道里区,通江街道,126.6092878,45.7735121,83.0,92.0,156.0,281.0,168.0,235.0,10.0,482.0,323.0,43.0,0.0,6.0,19.0,27.0,32.0,36.0,1.0,1.0,28.0,287.0,203.0,94.0,4.0,3.0,1.0,25.0,2690.0,5.0,87.0,53.0,73.0,138.0,141.0,49.0,24.0,24.0,2.0,13.0,18.0,29.0,40.0,27.0,3.0,107.0,65.0,9.0,0.0,3.0,2.0,4.0,11.0,12.0,1.0,1.0,14.0,159.0,64.0,43.0,0.0,0.0,0.0,3.0,417.0,0.0,1.0,14.0,47.0,19.0,53.0,8.0,14.0,11.0,6356453533.0,10784831.0,哈尔滨市道里区,哈尔滨市道里区通江街道,20.0,28.0,30.0,20.0,98.0,82.27826086956522,51.571617161716176,45.25672862453532
