addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
河南省,郑州市,中原区,林山寨街道,113.6127743,34.7371591,8.0,61.0,11.0,80.0,120.0,593.0,4.0,264.0,1106.0,24.0,1.0,16.0,16.0,17.0,45.0,65.0,6.0,1.0,18.0,42.0,52.0,29.0,1.0,1.0,10.0,19.0,1375.0,0.0,24.0,4.0,17.0,197.0,14.0,40.0,19.0,16.0,2.0,12.0,4.0,20.0,5.0,66.0,0.0,6.0,129.0,2.0,1.0,0.0,2.0,2.0,7.0,10.0,0.0,0.0,1.0,9.0,4.0,0.0,0.0,0.0,1.0,1.0,123.0,0.0,1.0,0.0,1.0,28.0,1.0,9.0,11.0,8.0,6823410652.0,-1.0,郑州市中原区,郑州市中原区林山寨街道,12.0,30.0,23.0,20.0,85.0,77.11428571428571,58.52849162011174,42.70449939197406
河南省,郑州市,中原区,建设路街道,113.6064776,34.7553305,20.0,59.0,45.0,80.0,148.0,687.0,3.0,346.0,904.0,27.0,1.0,12.0,11.0,12.0,39.0,57.0,7.0,1.0,19.0,35.0,58.0,22.0,1.0,1.0,13.0,15.0,1360.0,0.0,41.0,7.0,6.0,224.0,13.0,42.0,19.0,16.0,0.0,12.0,0.0,8.0,24.0,120.0,0.0,28.0,145.0,5.0,0.0,2.0,4.0,5.0,12.0,18.0,0.0,1.0,4.0,5.0,9.0,6.0,0.0,0.0,6.0,3.0,239.0,0.0,0.0,0.0,0.0,38.0,1.0,9.0,9.0,7.0,6823410651.0,-1.0,郑州市中原区,郑州市中原区建设路街道,12.0,30.0,24.0,20.0,86.0,77.11428571428571,58.52849162011174,42.70449939197406
河南省,郑州市,中原区,棉纺路街道,113.6146979,34.7609238,28.0,57.0,50.0,88.0,187.0,717.0,4.0,318.0,818.0,32.0,1.0,12.0,13.0,15.0,45.0,64.0,7.0,1.0,16.0,38.0,66.0,22.0,3.0,2.0,12.0,15.0,1326.0,0.0,39.0,9.0,5.0,213.0,13.0,41.0,19.0,17.0,0.0,10.0,11.0,13.0,34.0,44.0,0.0,53.0,110.0,4.0,0.0,0.0,3.0,3.0,10.0,13.0,1.0,1.0,6.0,7.0,11.0,3.0,0.0,1.0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,28.0,1.0,11.0,11.0,10.0,6823410654.0,-1.0,郑州市中原区,郑州市中原区棉纺路街道,12.0,30.0,30.0,20.0,92.0,77.11428571428571,58.52849162011174,42.70449939197406
河南省,郑州市,中原区,秦岭路街道,113.6000238,34.7637384,26.0,43.0,54.0,86.0,150.0,576.0,3.0,450.0,775.0,19.0,1.0,10.0,7.0,8.0,34.0,47.0,6.0,1.0,13.0,22.0,58.0,20.0,1.0,1.0,14.0,11.0,1123.0,0.0,39.0,5.0,1.0,176.0,10.0,31.0,18.0,16.0,0.0,8.0,2.0,9.0,29.0,54.0,0.0,4.0,78.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,4.0,11.0,3.0,1.0,0.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,15.0,1.0,6.0,8.0,7.0,6823410655.0,-1.0,郑州市中原区,郑州市中原区秦岭路街道,12.0,30.0,14.0,20.0,76.0,77.11428571428571,58.52849162011174,42.70449939197406
河南省,郑州市,中原区,桐柏路街道,113.6094445,34.7698489,34.0,36.0,60.0,87.0,179.0,524.0,3.0,391.0,702.0,19.0,1.0,11.0,5.0,6.0,34.0,46.0,6.0,1.0,12.0,29.0,64.0,21.0,4.0,2.0,14.0,10.0,959.0,0.0,30.0,10.0,2.0,155.0,10.0,37.0,20.0,17.0,2.0,6.0,10.0,9.0,40.0,22.0,0.0,5.0,85.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,15.0,3.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,12.0,7.0,6823410659.0,-1.0,郑州市中原区,郑州市中原区桐柏路街道,12.0,30.0,17.0,20.0,79.0,77.11428571428571,58.52849162011174,42.70449939197406
河南省,郑州市,中原区,三官庙街道,113.5892929,34.7554535,41.0,41.0,53.0,76.0,156.0,488.0,6.0,299.0,785.0,20.0,2.0,10.0,7.0,8.0,28.0,40.0,5.0,1.0,14.0,25.0,52.0,18.0,1.0,1.0,13.0,13.0,1061.0,0.0,41.0,0.0,3.0,170.0,5.0,31.0,19.0,12.0,4.0,12.0,1.0,8.0,20.0,123.0,0.0,6.0,70.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,5.0,18.0,4.0,0.0,0.0,5.0,2.0,338.0,0.0,25.0,0.0,0.0,16.0,0.0,5.0,13.0,6.0,6823410657.0,-1.0,郑州市中原区,郑州市中原区三官庙街道,12.0,30.0,15.0,20.0,77.0,77.11428571428571,58.52849162011174,42.70449939197406
河南省,郑州市,中原区,绿东村街道,113.5941412,34.7419092,35.0,59.0,23.0,80.0,160.0,544.0,5.0,253.0,814.0,17.0,2.0,12.0,7.0,8.0,31.0,46.0,6.0,1.0,18.0,32.0,41.0,19.0,1.0,1.0,12.0,12.0,1238.0,0.0,44.0,3.0,8.0,164.0,10.0,31.0,19.0,15.0,2.0,4.0,0.0,10.0,23.0,96.0,0.0,6.0,157.0,1.0,0.0,1.0,2.0,2.0,4.0,5.0,0.0,0.0,2.0,8.0,12.0,5.0,0.0,0.0,4.0,3.0,373.0,0.0,14.0,0.0,0.0,11.0,1.0,4.0,9.0,6.0,6823410653.0,-1.0,郑州市中原区,郑州市中原区绿东村街道,12.0,30.0,23.0,20.0,85.0,77.11428571428571,58.52849162011174,42.70449939197406
河南省,郑州市,中原区,汝河路街道,113.5907364,34.7296304,30.0,31.0,31.0,79.0,135.0,352.0,5.0,45.0,672.0,6.0,1.0,3.0,4.0,5.0,19.0,27.0,0.0,0.0,4.0,23.0,26.0,8.0,1.0,0.0,8.0,9.0,902.0,0.0,17.0,0.0,8.0,111.0,3.0,21.0,16.0,11.0,6.0,6.0,0.0,18.0,19.0,3.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,6.0,9.0,4.0,6887462728.0,-1.0,郑州市中原区,郑州市中原区汝河路街道,12.0,30.0,10.0,20.0,72.0,77.11428571428571,58.52849162011174,42.70449939197406
河南省,郑州市,中原区,航海西路街道,113.6003387,34.734449,22.0,42.0,20.0,79.0,108.0,538.0,2.0,198.0,935.0,18.0,1.0,13.0,9.0,10.0,36.0,52.0,5.0,1.0,18.0,30.0,38.0,18.0,1.0,1.0,10.0,11.0,1244.0,0.0,36.0,3.0,14.0,155.0,9.0,31.0,19.0,15.0,2.0,8.0,4.0,12.0,10.0,11.0,0.0,1.0,157.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,4.0,11.0,5.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,5.0,0.0,3.0,6.0,2.0,7.0,10.0,3.0,6887462727.0,-1.0,郑州市中原区,郑州市中原区航海西路街道,12.0,30.0,23.0,20.0,85.0,77.11428571428571,58.52849162011174,42.70449939197406
河南省,郑州市,中原区,中原西路街道,113.5948523,34.7474865,34.0,51.0,35.0,85.0,150.0,580.0,5.0,387.0,848.0,20.0,2.0,11.0,8.0,9.0,35.0,51.0,7.0,1.0,18.0,35.0,50.0,20.0,1.0,1.0,12.0,13.0,1232.0,0.0,43.0,3.0,4.0,186.0,11.0,34.0,19.0,15.0,0.0,4.0,0.0,6.0,18.0,170.0,0.0,12.0,139.0,1.0,0.0,1.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,7.0,14.0,6.0,0.0,0.0,5.0,3.0,594.0,0.0,14.0,0.0,0.0,15.0,0.0,3.0,8.0,6.0,6823410663.0,-1.0,郑州市中原区,郑州市中原区中原西路街道,12.0,30.0,16.0,20.0,78.0,77.11428571428571,58.52849162011174,42.70449939197406
