addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
湖北省,武汉市,江岸区,大智街道,114.2847432,30.5880406,0.0,141.0,116.0,160.0,267.0,186.0,7.0,572.0,228.0,37.0,1.0,40.0,22.0,23.0,93.0,103.0,9.0,6.0,40.0,132.0,387.0,64.0,2.0,77.0,5.0,38.0,1200.0,50.0,244.0,38.0,74.0,165.0,68.0,95.0,19.0,21.0,0.0,28.0,22.0,48.0,62.0,23.0,0.0,69.0,50.0,4.0,0.0,10.0,8.0,8.0,19.0,22.0,2.0,2.0,16.0,43.0,159.0,17.0,0.0,31.0,0.0,12.0,297.0,4.0,7.0,1.0,18.0,17.0,31.0,36.0,16.0,10.0,-2.0,3117595.0,武汉市江岸区,武汉市江岸区大智街道,13.0,30.0,30.0,20.0,93.0,84.9875,70.06419753086419,40.77752184273233
湖北省,武汉市,江岸区,一元街道,114.2937555,30.5926758,15.0,127.0,101.0,159.0,270.0,146.0,3.0,483.0,202.0,24.0,1.0,35.0,17.0,18.0,78.0,89.0,9.0,5.0,38.0,116.0,353.0,63.0,3.0,63.0,4.0,34.0,1120.0,37.0,296.0,32.0,67.0,148.0,62.0,91.0,22.0,23.0,0.0,37.0,20.0,42.0,41.0,51.0,0.0,86.0,35.0,6.0,0.0,11.0,3.0,3.0,14.0,18.0,3.0,0.0,9.0,15.0,134.0,21.0,0.0,16.0,0.0,13.0,319.0,0.0,10.0,6.0,21.0,22.0,29.0,33.0,16.0,10.0,-2.0,3117596.0,武汉市江岸区,武汉市江岸区一元街道,13.0,30.0,28.0,20.0,91.0,84.9875,70.06419753086419,40.77752184273233
湖北省,武汉市,江岸区,车站街道,113.92437,30.9506938,17.0,12.0,16.0,48.0,151.0,28.0,0.0,13.0,24.0,1.0,0.0,0.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,6.0,29.0,0.0,12.0,0.0,0.0,2.0,226.0,0.0,0.0,3.0,0.0,57.0,1.0,6.0,13.0,9.0,0.0,0.0,0.0,13.0,34.0,2.0,0.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,6.0,4.0,5873574593.0,8632230.0,武汉市江岸区,武汉市江岸区车站街道,17.0,28.0,0.0,20.0,65.0,84.9875,70.06419753086419,40.77752184273233
湖北省,武汉市,江岸区,四唯街道,114.3007046,30.6029178,21.0,98.0,80.0,122.0,237.0,106.0,6.0,328.0,165.0,19.0,3.0,27.0,19.0,20.0,61.0,75.0,7.0,5.0,34.0,97.0,367.0,44.0,2.0,41.0,3.0,40.0,950.0,10.0,275.0,31.0,54.0,119.0,52.0,77.0,22.0,23.0,0.0,36.0,32.0,20.0,26.0,13.0,0.0,72.0,40.0,4.0,0.0,7.0,2.0,2.0,16.0,17.0,1.0,1.0,2.0,11.0,46.0,9.0,0.0,6.0,1.0,5.0,126.0,1.0,20.0,6.0,6.0,42.0,2.0,17.0,17.0,12.0,-2.0,3117598.0,武汉市江岸区,武汉市江岸区四唯街道,13.0,30.0,30.0,20.0,93.0,84.9875,70.06419753086419,40.77752184273233
湖北省,武汉市,江岸区,永清街道,114.3034308,30.6058368,26.0,108.0,81.0,114.0,213.0,104.0,6.0,324.0,150.0,16.0,3.0,28.0,16.0,17.0,57.0,71.0,8.0,5.0,24.0,63.0,351.0,42.0,2.0,33.0,3.0,43.0,834.0,9.0,243.0,28.0,44.0,115.0,43.0,74.0,22.0,23.0,7.0,35.0,27.0,14.0,26.0,6.0,0.0,78.0,36.0,2.0,0.0,4.0,2.0,2.0,14.0,15.0,2.0,1.0,2.0,10.0,29.0,7.0,0.0,3.0,1.0,2.0,132.0,1.0,49.0,8.0,2.0,40.0,1.0,15.0,17.0,12.0,-2.0,3117601.0,武汉市江岸区,武汉市江岸区永清街道,13.0,30.0,30.0,20.0,93.0,84.9875,70.06419753086419,40.77752184273233
湖北省,武汉市,江岸区,西马街道,114.2844107,30.5983059,0.0,148.0,113.0,158.0,307.0,179.0,4.0,559.0,235.0,35.0,1.0,40.0,23.0,24.0,98.0,109.0,10.0,6.0,41.0,130.0,430.0,59.0,1.0,77.0,3.0,51.0,1164.0,50.0,247.0,28.0,75.0,163.0,71.0,91.0,21.0,21.0,0.0,29.0,9.0,28.0,57.0,11.0,0.0,82.0,25.0,4.0,0.0,10.0,5.0,6.0,16.0,19.0,1.0,0.0,7.0,18.0,132.0,16.0,0.0,11.0,0.0,4.0,121.0,4.0,52.0,2.0,7.0,19.0,10.0,20.0,15.0,10.0,-2.0,3117608.0,武汉市江岸区,武汉市江岸区西马街道,13.0,30.0,28.0,20.0,91.0,84.9875,70.06419753086419,40.77752184273233
湖北省,武汉市,江岸区,球场街道,114.2940537,30.6015894,21.0,111.0,88.0,136.0,264.0,122.0,3.0,368.0,167.0,21.0,3.0,33.0,22.0,23.0,65.0,78.0,9.0,6.0,36.0,110.0,391.0,53.0,2.0,43.0,3.0,47.0,999.0,47.0,330.0,27.0,65.0,141.0,62.0,85.0,22.0,22.0,0.0,43.0,23.0,28.0,29.0,39.0,0.0,80.0,38.0,6.0,0.0,13.0,4.0,4.0,16.0,21.0,4.0,1.0,2.0,10.0,88.0,10.0,0.0,4.0,1.0,9.0,129.0,0.0,2.0,0.0,6.0,29.0,6.0,21.0,17.0,10.0,-2.0,3117609.0,武汉市江岸区,武汉市江岸区球场街道,13.0,30.0,30.0,20.0,93.0,84.9875,70.06419753086419,40.77752184273233
湖北省,武汉市,江岸区,劳动街道,114.2928493,30.6042112,35.0,129.0,87.0,129.0,257.0,121.0,3.0,368.0,166.0,20.0,4.0,33.0,23.0,24.0,67.0,80.0,11.0,8.0,35.0,108.0,409.0,49.0,1.0,41.0,4.0,48.0,971.0,43.0,332.0,25.0,65.0,143.0,61.0,87.0,24.0,22.0,0.0,38.0,20.0,19.0,32.0,12.0,0.0,126.0,21.0,6.0,0.0,7.0,4.0,4.0,16.0,19.0,3.0,1.0,2.0,8.0,69.0,8.0,0.0,2.0,1.0,4.0,89.0,0.0,4.0,0.0,3.0,27.0,1.0,15.0,14.0,11.0,-2.0,3117610.0,武汉市江岸区,武汉市江岸区劳动街道,13.0,30.0,30.0,20.0,93.0,84.9875,70.06419753086419,40.77752184273233
湖北省,武汉市,江岸区,二七街道,114.3064413,30.6300372,47.0,94.0,52.0,59.0,208.0,59.0,0.0,173.0,87.0,6.0,4.0,17.0,11.0,11.0,40.0,54.0,8.0,3.0,6.0,23.0,249.0,10.0,9.0,4.0,2.0,43.0,803.0,1.0,475.0,12.0,5.0,72.0,8.0,38.0,21.0,15.0,4.0,22.0,2.0,15.0,17.0,5.0,0.0,4.0,13.0,0.0,0.0,5.0,3.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,42.0,2.0,2.0,0.0,0.0,14.0,51.0,0.0,36.0,0.0,1.0,4.0,0.0,12.0,13.0,8.0,-2.0,3117613.0,武汉市江岸区,武汉市江岸区二七街道,13.0,30.0,15.0,20.0,78.0,84.9875,70.06419753086419,40.77752184273233
湖北省,武汉市,江岸区,新村街道,114.3139611,30.6313828,37.0,73.0,44.0,49.0,166.0,52.0,1.0,103.0,65.0,3.0,1.0,9.0,8.0,8.0,31.0,41.0,4.0,1.0,5.0,15.0,215.0,8.0,9.0,4.0,2.0,39.0,798.0,1.0,508.0,15.0,5.0,43.0,6.0,39.0,22.0,15.0,8.0,16.0,10.0,10.0,23.0,6.0,0.0,8.0,9.0,1.0,0.0,4.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,0.0,11.0,35.0,0.0,8.0,0.0,0.0,7.0,1.0,8.0,14.0,7.0,-2.0,3117616.0,武汉市江岸区,武汉市江岸区新村街道,13.0,30.0,15.0,20.0,78.0,84.9875,70.06419753086419,40.77752184273233
