addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
湖南省,长沙市,芙蓉区,文艺路街道,112.9865741,28.1936148,10.0,139.0,111.0,123.0,480.0,190.0,1.0,209.0,272.0,29.0,0.0,17.0,37.0,43.0,61.0,82.0,6.0,4.0,28.0,183.0,406.0,251.0,15.0,35.0,14.0,24.0,5378.0,6.0,189.0,10.0,88.0,118.0,69.0,76.0,21.0,19.0,0.0,39.0,14.0,41.0,53.0,37.0,1.0,52.0,48.0,3.0,0.0,1.0,10.0,12.0,11.0,15.0,1.0,2.0,11.0,24.0,63.0,51.0,0.0,3.0,1.0,3.0,1587.0,1.0,26.0,0.0,27.0,12.0,14.0,20.0,15.0,8.0,8529450723.0,12458528.0,长沙市芙蓉区,长沙市芙蓉区文艺路街道,20.0,28.0,30.0,20.0,98.0,91.07692307692308,65.44529411764707,38.45138603696099
湖南省,长沙市,芙蓉区,朝阳街街道,112.9976462,28.1932366,21.0,137.0,103.0,131.0,583.0,146.0,1.0,181.0,247.0,21.0,0.0,22.0,39.0,43.0,61.0,79.0,5.0,3.0,29.0,179.0,409.0,237.0,10.0,40.0,12.0,20.0,5457.0,2.0,71.0,6.0,130.0,127.0,62.0,69.0,20.0,19.0,0.0,35.0,8.0,12.0,44.0,10.0,0.0,17.0,58.0,1.0,0.0,0.0,8.0,8.0,9.0,14.0,1.0,0.0,5.0,25.0,53.0,42.0,0.0,8.0,3.0,1.0,876.0,0.0,7.0,0.0,13.0,10.0,13.0,17.0,13.0,7.0,8529450722.0,12458527.0,长沙市芙蓉区,长沙市芙蓉区朝阳街街道,20.0,28.0,28.0,20.0,96.0,91.07692307692308,65.44529411764707,38.45138603696099
湖南省,长沙市,芙蓉区,韭菜园街道,112.9921531,28.2039024,10.0,113.0,119.0,133.0,575.0,196.0,1.0,198.0,200.0,30.0,0.0,14.0,35.0,42.0,61.0,81.0,5.0,3.0,26.0,169.0,395.0,227.0,5.0,31.0,15.0,26.0,4736.0,2.0,167.0,12.0,86.0,125.0,63.0,68.0,21.0,20.0,0.0,15.0,14.0,16.0,34.0,19.0,0.0,18.0,36.0,3.0,0.0,2.0,1.0,1.0,8.0,11.0,4.0,1.0,4.0,20.0,38.0,24.0,0.0,1.0,2.0,2.0,270.0,0.0,14.0,1.0,14.0,17.0,10.0,10.0,15.0,12.0,8529450724.0,12458526.0,长沙市芙蓉区,长沙市芙蓉区韭菜园街道,20.0,28.0,30.0,20.0,98.0,91.07692307692308,65.44529411764707,38.45138603696099
湖南省,长沙市,芙蓉区,五里牌街道,113.0072593,28.1976997,25.0,120.0,75.0,118.0,535.0,95.0,1.0,149.0,194.0,11.0,0.0,19.0,25.0,28.0,47.0,60.0,6.0,2.0,21.0,93.0,350.0,155.0,6.0,26.0,9.0,17.0,4481.0,2.0,47.0,5.0,98.0,98.0,39.0,50.0,18.0,19.0,6.0,26.0,26.0,16.0,36.0,9.0,0.0,23.0,40.0,2.0,0.0,0.0,2.0,2.0,5.0,7.0,1.0,0.0,5.0,17.0,36.0,30.0,0.0,7.0,3.0,2.0,475.0,0.0,0.0,0.0,1.0,4.0,8.0,11.0,14.0,9.0,8529450721.0,12458525.0,长沙市芙蓉区,长沙市芙蓉区五里牌街道,20.0,28.0,28.0,20.0,96.0,91.07692307692308,65.44529411764707,38.45138603696099
湖南省,长沙市,芙蓉区,火星街道,113.0224513,28.2042806,22.0,87.0,83.0,75.0,475.0,62.0,7.0,126.0,123.0,7.0,3.0,13.0,9.0,9.0,28.0,34.0,4.0,0.0,7.0,51.0,240.0,73.0,9.0,23.0,17.0,12.0,1706.0,1.0,4.0,5.0,60.0,82.0,19.0,39.0,18.0,21.0,6.0,11.0,22.0,10.0,107.0,3.0,0.0,0.0,12.0,1.0,0.0,1.0,2.0,2.0,6.0,8.0,2.0,0.0,2.0,4.0,52.0,9.0,0.0,1.0,1.0,1.0,198.0,0.0,2.0,0.0,13.0,9.0,2.0,9.0,11.0,7.0,8529450718.0,16244342.0,长沙市芙蓉区,长沙市芙蓉区火星街道,20.0,30.0,26.0,20.0,96.0,91.07692307692308,65.44529411764707,38.45138603696099
湖南省,长沙市,芙蓉区,马王堆街道,113.0239963,28.2137351,45.0,71.0,93.0,95.0,476.0,95.0,9.0,157.0,91.0,14.0,4.0,17.0,7.0,8.0,26.0,31.0,4.0,0.0,7.0,32.0,213.0,53.0,11.0,13.0,23.0,15.0,1267.0,1.0,4.0,5.0,30.0,80.0,11.0,43.0,19.0,22.0,10.0,7.0,16.0,17.0,140.0,3.0,0.0,11.0,6.0,1.0,0.0,1.0,1.0,1.0,7.0,9.0,2.0,0.0,0.0,0.0,43.0,5.0,0.0,0.0,2.0,1.0,157.0,0.0,3.0,0.0,0.0,19.0,0.0,8.0,12.0,7.0,8529450719.0,16244340.0,长沙市芙蓉区,长沙市芙蓉区马王堆街道,20.0,30.0,20.0,20.0,90.0,91.07692307692308,65.44529411764707,38.45138603696099
湖南省,长沙市,芙蓉区,东屯渡街道,113.0328368,28.1927827,36.0,91.0,92.0,94.0,364.0,45.0,5.0,54.0,124.0,5.0,1.0,9.0,6.0,6.0,24.0,29.0,2.0,0.0,3.0,40.0,236.0,38.0,8.0,23.0,10.0,9.0,1645.0,1.0,8.0,4.0,55.0,58.0,11.0,38.0,22.0,21.0,2.0,15.0,13.0,13.0,40.0,8.0,4.0,4.0,28.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,31.0,1.0,0.0,0.0,0.0,2.0,79.0,1.0,1.0,1.0,10.0,5.0,2.0,14.0,13.0,8.0,8529447316.0,16244339.0,长沙市芙蓉区,长沙市芙蓉区东屯渡街道,20.0,30.0,21.0,20.0,91.0,91.07692307692308,65.44529411764707,38.45138603696099
湖南省,长沙市,芙蓉区,湘湖街道,113.0072593,28.2106341,34.0,112.0,82.0,133.0,545.0,116.0,3.0,167.0,158.0,19.0,2.0,6.0,17.0,20.0,38.0,50.0,6.0,2.0,17.0,70.0,283.0,130.0,6.0,17.0,25.0,14.0,2499.0,1.0,34.0,9.0,65.0,109.0,32.0,53.0,21.0,21.0,4.0,2.0,15.0,9.0,119.0,10.0,0.0,30.0,4.0,0.0,0.0,2.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,49.0,17.0,0.0,7.0,3.0,1.0,424.0,0.0,0.0,1.0,1.0,18.0,1.0,11.0,11.0,11.0,8529450720.0,16244341.0,长沙市芙蓉区,长沙市芙蓉区湘湖街道,20.0,30.0,16.0,20.0,86.0,91.07692307692308,65.44529411764707,38.45138603696099
湖南省,长沙市,芙蓉区,定王台街道,112.9761886,28.1959599,0.0,130.0,106.0,114.0,434.0,187.0,1.0,249.0,252.0,29.0,0.0,15.0,37.0,42.0,64.0,86.0,8.0,4.0,28.0,183.0,389.0,237.0,12.0,28.0,17.0,21.0,4345.0,8.0,255.0,10.0,92.0,120.0,71.0,77.0,19.0,18.0,0.0,33.0,25.0,44.0,108.0,58.0,1.0,89.0,44.0,8.0,0.0,2.0,4.0,6.0,11.0,15.0,1.0,2.0,13.0,86.0,71.0,68.0,0.0,11.0,2.0,4.0,1306.0,2.0,19.0,1.0,41.0,12.0,27.0,23.0,16.0,9.0,8529450726.0,12458529.0,长沙市芙蓉区,长沙市芙蓉区定王台街道,20.0,28.0,30.0,20.0,98.0,91.07692307692308,65.44529411764707,38.45138603696099
湖南省,长沙市,芙蓉区,荷花园街道,113.0168723,28.1951278,35.0,106.0,71.0,89.0,491.0,51.0,5.0,93.0,158.0,4.0,0.0,16.0,15.0,17.0,35.0,46.0,5.0,1.0,8.0,62.0,299.0,91.0,3.0,25.0,8.0,13.0,3446.0,1.0,16.0,3.0,76.0,78.0,25.0,44.0,19.0,18.0,8.0,24.0,23.0,17.0,72.0,1.0,0.0,13.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,12.0,36.0,8.0,0.0,2.0,0.0,2.0,176.0,0.0,1.0,0.0,15.0,1.0,3.0,13.0,13.0,7.0,8529450717.0,12458524.0,长沙市芙蓉区,长沙市芙蓉区荷花园街道,20.0,28.0,18.0,20.0,86.0,91.07692307692308,65.44529411764707,38.45138603696099
