addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
江苏省,南京市,玄武区,梅园新村街道,118.8091014,32.047963,49.0,125.0,53.0,74.0,198.0,406.0,8.0,573.0,357.0,58.0,3.0,11.0,12.0,17.0,42.0,67.0,10.0,4.0,42.0,263.0,66.0,24.0,0.0,2.0,7.0,19.0,3951.0,73.0,230.0,16.0,101.0,163.0,84.0,50.0,23.0,22.0,6.0,21.0,5.0,6.0,7.0,49.0,0.0,39.0,31.0,1.0,0.0,2.0,2.0,3.0,4.0,5.0,0.0,1.0,1.0,15.0,5.0,1.0,0.0,0.0,3.0,1.0,119.0,10.0,17.0,0.0,7.0,13.0,9.0,9.0,16.0,12.0,10016086253.0,14568453.0,南京市玄武区,南京市玄武区梅园新村街道,20.0,30.0,25.0,20.0,95.0,91.85714285714286,75.45940594059405,56.4695
江苏省,南京市,玄武区,新街口街道,118.7839384,32.0557056,47.0,143.0,73.0,89.0,275.0,441.0,10.0,724.0,333.0,79.0,4.0,11.0,21.0,28.0,54.0,85.0,9.0,7.0,59.0,344.0,37.0,22.0,0.0,2.0,7.0,20.0,3445.0,87.0,283.0,17.0,164.0,199.0,100.0,54.0,24.0,22.0,0.0,37.0,18.0,20.0,29.0,122.0,0.0,187.0,58.0,17.0,0.0,3.0,5.0,6.0,7.0,14.0,2.0,2.0,11.0,68.0,9.0,3.0,0.0,1.0,0.0,3.0,606.0,10.0,47.0,4.0,35.0,63.0,16.0,14.0,16.0,17.0,10015466540.0,14567603.0,南京市玄武区,南京市玄武区新街口街道,20.0,30.0,30.0,20.0,100.0,91.85714285714286,75.45940594059405,56.4695
江苏省,南京市,玄武区,玄武门街道,118.7810357,32.0624183,74.0,159.0,84.0,100.0,241.0,449.0,12.0,787.0,326.0,80.0,3.0,10.0,21.0,26.0,43.0,80.0,9.0,7.0,61.0,321.0,36.0,19.0,0.0,2.0,4.0,19.0,2728.0,76.0,332.0,18.0,159.0,194.0,91.0,56.0,24.0,22.0,0.0,34.0,2.0,21.0,25.0,99.0,1.0,142.0,32.0,15.0,0.0,1.0,4.0,4.0,3.0,11.0,1.0,2.0,4.0,22.0,2.0,0.0,0.0,1.0,0.0,3.0,287.0,9.0,22.0,3.0,26.0,46.0,12.0,14.0,16.0,15.0,10018192630.0,14571680.0,南京市玄武区,南京市玄武区玄武门街道,20.0,30.0,30.0,20.0,100.0,91.85714285714286,75.45940594059405,56.4695
江苏省,南京市,玄武区,锁金村街道,118.8113046,32.0738665,60.0,98.0,50.0,87.0,114.0,368.0,15.0,552.0,162.0,32.0,2.0,4.0,6.0,6.0,21.0,59.0,3.0,1.0,4.0,54.0,62.0,1.0,1.0,3.0,12.0,34.0,1084.0,4.0,49.0,20.0,22.0,106.0,30.0,29.0,25.0,24.0,9.0,18.0,7.0,1.0,12.0,61.0,0.0,70.0,19.0,4.0,1.0,2.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,2.0,13.0,1.0,0.0,1.0,2.0,3.0,453.0,0.0,1.0,0.0,2.0,22.0,2.0,9.0,18.0,14.0,10021721124.0,14576085.0,南京市玄武区,南京市玄武区锁金村街道,20.0,30.0,12.0,20.0,82.0,91.85714285714286,75.45940594059405,56.4695
江苏省,南京市,玄武区,红山街道,118.8244078,32.104482,74.0,50.0,55.0,123.0,186.0,638.0,1.0,342.0,172.0,54.0,4.0,0.0,11.0,14.0,27.0,58.0,7.0,1.0,11.0,96.0,188.0,18.0,16.0,14.0,21.0,14.0,2038.0,0.0,2.0,42.0,24.0,111.0,21.0,23.0,22.0,21.0,0.0,10.0,10.0,23.0,38.0,20.0,0.0,2.0,15.0,4.0,1.0,0.0,1.0,1.0,6.0,11.0,1.0,0.0,1.0,1.0,38.0,3.0,3.0,2.0,6.0,1.0,150.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,11.0,9.0,10023818532.0,14578371.0,南京市玄武区,南京市玄武区红山街道,20.0,30.0,18.0,20.0,88.0,91.85714285714286,75.45940594059405,56.4695
江苏省,南京市,玄武区,孝陵卫街道,118.8551769,32.0357982,30.0,73.0,48.0,93.0,179.0,299.0,1.0,301.0,220.0,31.0,1.0,1.0,8.0,12.0,10.0,37.0,1.0,3.0,17.0,72.0,50.0,18.0,8.0,2.0,5.0,13.0,786.0,0.0,10.0,15.0,11.0,66.0,41.0,31.0,27.0,22.0,5.0,12.0,0.0,10.0,25.0,46.0,0.0,42.0,34.0,3.0,0.0,0.0,2.0,2.0,3.0,12.0,0.0,1.0,3.0,17.0,5.0,3.0,1.0,2.0,1.0,2.0,191.0,0.0,1.0,0.0,3.0,8.0,3.0,5.0,15.0,12.0,10023839250.0,14578411.0,南京市玄武区,南京市玄武区孝陵卫街道,20.0,30.0,25.0,20.0,95.0,91.85714285714286,75.45940594059405,56.4695
江苏省,南京市,玄武区,玄武湖街道,118.8186917,32.074782,58.0,80.0,32.0,73.0,102.0,325.0,8.0,492.0,154.0,27.0,2.0,3.0,3.0,3.0,18.0,54.0,3.0,0.0,1.0,35.0,59.0,2.0,1.0,2.0,12.0,32.0,904.0,2.0,35.0,13.0,20.0,64.0,33.0,28.0,24.0,20.0,0.0,0.0,3.0,6.0,8.0,34.0,0.0,13.0,10.0,3.0,1.0,2.0,3.0,3.0,0.0,13.0,0.0,0.0,0.0,3.0,11.0,1.0,0.0,1.0,1.0,3.0,419.0,0.0,1.0,1.0,2.0,15.0,1.0,5.0,11.0,12.0,10023833328.0,14578395.0,南京市玄武区,南京市玄武区玄武湖街道,20.0,30.0,13.0,20.0,83.0,91.85714285714286,75.45940594059405,56.4695
江苏省,南京市,秦淮区,秦虹街道,118.7958546,32.0067164,71.0,116.0,103.0,138.0,247.0,305.0,18.0,531.0,298.0,29.0,4.0,6.0,8.0,12.0,35.0,43.0,8.0,2.0,13.0,115.0,130.0,13.0,8.0,3.0,40.0,14.0,3697.0,55.0,573.0,5.0,78.0,105.0,43.0,39.0,26.0,29.0,24.0,27.0,3.0,16.0,55.0,39.0,0.0,13.0,28.0,3.0,0.0,0.0,2.0,3.0,7.0,9.0,2.0,1.0,1.0,6.0,30.0,1.0,3.0,0.0,9.0,2.0,545.0,1.0,65.0,0.0,5.0,11.0,0.0,7.0,16.0,12.0,10023197004.0,14577871.0,南京市秦淮区,南京市秦淮区秦虹街道,20.0,30.0,30.0,20.0,100.0,93.91666666666667,75.45940594059405,56.4695
江苏省,南京市,秦淮区,夫子庙街道,118.7773852,32.0157931,85.0,137.0,141.0,122.0,338.0,387.0,19.0,624.0,305.0,44.0,5.0,7.0,15.0,22.0,54.0,66.0,15.0,4.0,22.0,232.0,130.0,21.0,8.0,2.0,12.0,18.0,5568.0,70.0,776.0,5.0,134.0,126.0,71.0,36.0,24.0,26.0,8.0,25.0,20.0,10.0,73.0,28.0,13.0,152.0,30.0,8.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,26.0,8.0,3.0,2.0,0.0,4.0,6.0,807.0,39.0,290.0,0.0,34.0,20.0,11.0,11.0,18.0,16.0,10015708734.0,14568042.0,南京市秦淮区,南京市秦淮区夫子庙街道,20.0,30.0,23.0,20.0,93.0,93.91666666666667,75.45940594059405,56.4695
江苏省,南京市,秦淮区,红花街道,118.8078782,32.012607,69.0,112.0,92.0,132.0,254.0,248.0,15.0,319.0,271.0,19.0,5.0,4.0,8.0,10.0,32.0,46.0,3.0,3.0,20.0,107.0,108.0,12.0,4.0,2.0,42.0,12.0,3997.0,57.0,406.0,2.0,49.0,120.0,31.0,37.0,26.0,24.0,14.0,14.0,11.0,11.0,37.0,42.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,8.0,1.0,526.0,0.0,2.0,0.0,1.0,4.0,0.0,6.0,13.0,6.0,10023520115.0,14578184.0,南京市秦淮区,南京市秦淮区红花街道,20.0,30.0,13.0,20.0,83.0,93.91666666666667,75.45940594059405,56.4695
