addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
江西省,南昌市,东湖区,滕王阁街道,115.8808094,28.6815509,94.0,102.0,147.0,162.0,260.0,1201.0,149.0,831.0,639.0,148.0,2.0,194.0,59.0,77.0,71.0,111.0,19.0,7.0,59.0,284.0,404.0,90.0,15.0,23.0,5.0,305.0,5005.0,12.0,81.0,77.0,71.0,371.0,187.0,63.0,29.0,27.0,16.0,22.0,32.0,26.0,24.0,264.0,26.0,210.0,85.0,30.0,0.0,25.0,13.0,17.0,14.0,23.0,2.0,2.0,17.0,74.0,59.0,18.0,0.0,5.0,0.0,66.0,929.0,8.0,4.0,26.0,24.0,37.0,60.0,18.0,20.0,17.0,2470715299.0,3227184.0,南昌市东湖区,南昌市东湖区滕王阁街道,20.0,30.0,30.0,20.0,100.0,95.375,77.58260869565217,43.88177215189873
江西省,南昌市,东湖区,百花洲街道,115.8850454,28.6847023,81.0,102.0,157.0,168.0,266.0,1224.0,134.0,836.0,667.0,151.0,1.0,158.0,59.0,78.0,76.0,118.0,19.0,7.0,61.0,282.0,413.0,84.0,18.0,23.0,6.0,310.0,5231.0,12.0,82.0,79.0,69.0,382.0,190.0,60.0,30.0,27.0,20.0,23.0,15.0,21.0,18.0,217.0,33.0,216.0,112.0,30.0,0.0,31.0,18.0,22.0,20.0,32.0,5.0,1.0,15.0,76.0,47.0,20.0,2.0,5.0,0.0,84.0,994.0,8.0,4.0,35.0,23.0,57.0,66.0,20.0,21.0,17.0,2470715300.0,3227170.0,南昌市东湖区,南昌市东湖区百花洲街道,20.0,30.0,30.0,20.0,100.0,95.375,77.58260869565217,43.88177215189873
江西省,南昌市,东湖区,墩子塘街道,115.8944918,28.6882675,68.0,116.0,160.0,155.0,247.0,1010.0,113.0,707.0,682.0,133.0,0.0,129.0,55.0,74.0,80.0,122.0,20.0,7.0,61.0,274.0,456.0,67.0,18.0,17.0,4.0,318.0,4799.0,12.0,88.0,79.0,64.0,341.0,181.0,61.0,31.0,26.0,11.0,8.0,16.0,20.0,35.0,105.0,17.0,109.0,129.0,24.0,0.0,16.0,27.0,28.0,17.0,24.0,5.0,0.0,10.0,25.0,48.0,9.0,3.0,1.0,1.0,47.0,488.0,2.0,1.0,16.0,14.0,70.0,39.0,16.0,18.0,17.0,2470715298.0,3227169.0,南昌市东湖区,南昌市东湖区墩子塘街道,20.0,28.0,28.0,20.0,96.0,95.375,77.58260869565217,43.88177215189873
江西省,南昌市,东湖区,大院街道,115.9071448,28.677669,77.0,169.0,176.0,140.0,297.0,1105.0,141.0,645.0,800.0,139.0,2.0,123.0,71.0,84.0,100.0,148.0,25.0,9.0,63.0,292.0,598.0,72.0,29.0,18.0,4.0,399.0,5832.0,12.0,101.0,56.0,102.0,333.0,145.0,63.0,32.0,26.0,18.0,10.0,12.0,27.0,46.0,102.0,10.0,107.0,80.0,13.0,0.0,42.0,3.0,6.0,6.0,9.0,1.0,0.0,7.0,70.0,62.0,16.0,2.0,4.0,0.0,37.0,909.0,2.0,16.0,6.0,8.0,53.0,10.0,21.0,18.0,16.0,2470715507.0,3227143.0,南昌市东湖区,南昌市东湖区大院街道,20.0,30.0,28.0,20.0,98.0,95.375,77.58260869565217,43.88177215189873
江西省,南昌市,东湖区,豫章街道,115.8890897,28.692823,73.0,101.0,120.0,149.0,248.0,851.0,100.0,666.0,588.0,124.0,0.0,120.0,49.0,65.0,71.0,111.0,16.0,5.0,52.0,251.0,382.0,64.0,14.0,15.0,4.0,269.0,3903.0,12.0,24.0,75.0,61.0,309.0,159.0,55.0,30.0,26.0,17.0,15.0,14.0,19.0,26.0,118.0,23.0,99.0,112.0,18.0,0.0,21.0,19.0,19.0,19.0,26.0,6.0,0.0,9.0,16.0,42.0,7.0,4.0,3.0,1.0,51.0,542.0,0.0,0.0,10.0,15.0,59.0,30.0,14.0,19.0,19.0,2470715301.0,3227192.0,南昌市东湖区,南昌市东湖区豫章街道,20.0,28.0,28.0,20.0,96.0,95.375,77.58260869565217,43.88177215189873
江西省,南昌市,东湖区,董家窑街道,115.9000559,28.6954485,66.0,93.0,116.0,121.0,233.0,668.0,101.0,614.0,564.0,99.0,0.0,107.0,48.0,61.0,71.0,106.0,16.0,2.0,41.0,215.0,371.0,61.0,13.0,10.0,6.0,269.0,3570.0,12.0,57.0,82.0,54.0,278.0,141.0,56.0,29.0,28.0,8.0,6.0,26.0,23.0,23.0,49.0,13.0,35.0,93.0,6.0,0.0,11.0,14.0,14.0,14.0,18.0,0.0,0.0,7.0,6.0,71.0,1.0,6.0,0.0,2.0,35.0,279.0,0.0,0.0,0.0,5.0,28.0,5.0,11.0,20.0,18.0,2470714569.0,3227136.0,南昌市东湖区,南昌市东湖区董家窑街道,20.0,28.0,23.0,20.0,91.0,95.375,77.58260869565217,43.88177215189873
江西省,南昌市,东湖区,彭家桥街道,115.9139827,28.7134284,22.0,53.0,101.0,68.0,204.0,191.0,18.0,89.0,356.0,19.0,2.0,31.0,19.0,20.0,24.0,37.0,4.0,1.0,9.0,17.0,242.0,13.0,17.0,2.0,3.0,132.0,629.0,0.0,4.0,25.0,11.0,90.0,22.0,27.0,26.0,23.0,12.0,13.0,19.0,12.0,29.0,35.0,3.0,0.0,68.0,3.0,0.0,6.0,2.0,2.0,4.0,10.0,1.0,0.0,1.0,3.0,40.0,3.0,1.0,0.0,2.0,17.0,107.0,0.0,0.0,8.0,3.0,18.0,3.0,9.0,16.0,15.0,2470714568.0,3227139.0,南昌市东湖区,南昌市东湖区彭家桥街道,20.0,30.0,25.0,20.0,95.0,95.375,77.58260869565217,43.88177215189873
江西省,南昌市,东湖区,扬子洲镇,115.9113573,28.7254989,22.0,27.0,80.0,36.0,214.0,125.0,8.0,31.0,205.0,12.0,2.0,23.0,11.0,12.0,13.0,24.0,3.0,1.0,4.0,7.0,134.0,10.0,14.0,0.0,3.0,110.0,388.0,0.0,3.0,23.0,11.0,51.0,10.0,19.0,24.0,24.0,6.0,4.0,5.0,3.0,27.0,0.0,0.0,0.0,36.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,20.0,22.0,0.0,0.0,9.0,0.0,2.0,0.0,5.0,11.0,10.0,2447975119.0,3328254.0,南昌市东湖区,南昌市东湖区扬子洲镇,20.0,30.0,17.0,20.0,87.0,95.375,77.58260869565217,43.88177215189873
江西省,南昌市,西湖区,南浦街道,115.8862538,28.6710262,107.0,131.0,166.0,138.0,266.0,1288.0,159.0,784.0,710.0,155.0,2.0,160.0,63.0,80.0,79.0,125.0,24.0,8.0,60.0,299.0,431.0,87.0,20.0,22.0,6.0,338.0,5574.0,12.0,76.0,71.0,67.0,366.0,188.0,65.0,30.0,26.0,0.0,18.0,31.0,27.0,41.0,384.0,37.0,177.0,142.0,46.0,0.0,30.0,9.0,15.0,24.0,34.0,8.0,3.0,16.0,76.0,100.0,21.0,1.0,5.0,3.0,86.0,1414.0,9.0,44.0,9.0,9.0,74.0,40.0,17.0,19.0,19.0,2481072648.0,4676918.0,南昌市西湖区,南昌市西湖区南浦街道,20.0,30.0,30.0,20.0,100.0,97.5,77.58260869565217,43.88177215189873
江西省,南昌市,西湖区,朝阳洲街道,115.8719795,28.6646322,79.0,97.0,142.0,104.0,233.0,1151.0,155.0,735.0,493.0,130.0,3.0,112.0,39.0,52.0,54.0,90.0,14.0,7.0,41.0,211.0,355.0,75.0,13.0,20.0,5.0,253.0,4610.0,10.0,76.0,62.0,47.0,271.0,164.0,57.0,27.0,25.0,22.0,8.0,31.0,20.0,78.0,369.0,26.0,151.0,68.0,26.0,1.0,43.0,5.0,9.0,6.0,16.0,2.0,3.0,10.0,34.0,83.0,11.0,5.0,6.0,2.0,33.0,916.0,0.0,33.0,8.0,7.0,78.0,21.0,11.0,21.0,19.0,2481079763.0,4659758.0,南昌市西湖区,南昌市西湖区朝阳洲街道,20.0,30.0,30.0,20.0,100.0,97.5,77.58260869565217,43.88177215189873
