addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
吉林省,长春市,南关区,南岭街道,125.3298584,43.8534058,27.0,48.0,43.0,99.0,181.0,410.0,2.0,345.0,76.0,46.0,5.0,8.0,18.0,20.0,39.0,70.0,1.0,3.0,32.0,111.0,83.0,0.0,3.0,5.0,11.0,30.0,1892.0,0.0,308.0,4.0,26.0,233.0,40.0,30.0,23.0,19.0,8.0,8.0,4.0,12.0,38.0,122.0,0.0,34.0,1.0,12.0,2.0,4.0,1.0,1.0,3.0,12.0,0.0,1.0,0.0,7.0,21.0,0.0,1.0,1.0,2.0,1.0,196.0,0.0,10.0,0.0,3.0,66.0,5.0,9.0,12.0,13.0,6423665172.0,9512460.0,长春市南关区,长春市南关区南岭街道,20.0,30.0,23.0,20.0,93.0,89.92857142857143,51.43423423423423,46.871929824561406
吉林省,长春市,南关区,自强街道,125.3234694,43.8877162,18.0,77.0,140.0,208.0,247.0,406.0,4.0,311.0,154.0,48.0,7.0,4.0,28.0,32.0,56.0,80.0,1.0,8.0,58.0,190.0,17.0,2.0,8.0,14.0,14.0,50.0,2695.0,0.0,29.0,6.0,16.0,145.0,80.0,51.0,20.0,18.0,0.0,13.0,13.0,40.0,61.0,76.0,1.0,54.0,32.0,12.0,0.0,3.0,3.0,5.0,7.0,7.0,0.0,1.0,19.0,54.0,2.0,1.0,0.0,4.0,3.0,10.0,479.0,0.0,0.0,1.0,3.0,16.0,21.0,15.0,9.0,11.0,6423665182.0,9512467.0,长春市南关区,长春市南关区自强街道,20.0,30.0,25.0,20.0,95.0,89.92857142857143,51.43423423423423,46.871929824561406
吉林省,长春市,南关区,民康街道,125.3278251,43.8792007,16.0,46.0,105.0,198.0,275.0,523.0,4.0,362.0,103.0,60.0,9.0,8.0,32.0,36.0,59.0,89.0,1.0,7.0,59.0,207.0,34.0,2.0,4.0,14.0,15.0,55.0,2924.0,0.0,32.0,7.0,33.0,226.0,88.0,42.0,22.0,18.0,0.0,9.0,8.0,33.0,29.0,82.0,2.0,74.0,32.0,12.0,0.0,2.0,7.0,8.0,11.0,15.0,0.0,0.0,9.0,12.0,4.0,0.0,0.0,2.0,4.0,14.0,328.0,0.0,0.0,1.0,2.0,17.0,9.0,15.0,11.0,9.0,6423665170.0,15875648.0,长春市南关区,长春市南关区民康街道,20.0,30.0,23.0,20.0,93.0,89.92857142857143,51.43423423423423,46.871929824561406
吉林省,长春市,南关区,新春街道,125.3309829,43.8938764,26.0,87.0,119.0,204.0,241.0,363.0,2.0,260.0,132.0,39.0,7.0,3.0,20.0,22.0,48.0,61.0,0.0,3.0,32.0,133.0,37.0,1.0,8.0,13.0,15.0,50.0,2247.0,0.0,30.0,7.0,12.0,115.0,71.0,47.0,21.0,18.0,2.0,11.0,16.0,30.0,71.0,63.0,0.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,10.0,10.0,0.0,0.0,2.0,29.0,3.0,1.0,0.0,4.0,2.0,4.0,348.0,0.0,0.0,0.0,2.0,11.0,13.0,6.0,9.0,9.0,6423665176.0,9512463.0,长春市南关区,长春市南关区新春街道,20.0,30.0,23.0,20.0,93.0,89.92857142857143,51.43423423423423,46.871929824561406
吉林省,长春市,南关区,长通街道,125.3494401,43.8991729,40.0,94.0,88.0,173.0,212.0,306.0,1.0,122.0,109.0,20.0,4.0,2.0,11.0,12.0,27.0,29.0,0.0,2.0,15.0,90.0,38.0,1.0,8.0,11.0,12.0,37.0,1325.0,0.0,29.0,6.0,9.0,62.0,44.0,41.0,20.0,17.0,0.0,3.0,36.0,36.0,23.0,14.0,0.0,15.0,14.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,4.0,1.0,4.0,99.0,0.0,16.0,1.0,2.0,18.0,4.0,12.0,11.0,10.0,6423665163.0,9512453.0,长春市南关区,长春市南关区长通街道,20.0,30.0,21.0,20.0,91.0,89.92857142857143,51.43423423423423,46.871929824561406
吉林省,长春市,南关区,全安街道,125.3382242,43.8844593,24.0,64.0,106.0,206.0,241.0,377.0,2.0,285.0,120.0,47.0,6.0,6.0,18.0,20.0,54.0,73.0,1.0,4.0,39.0,152.0,24.0,1.0,8.0,13.0,17.0,53.0,2313.0,0.0,35.0,5.0,14.0,147.0,81.0,46.0,20.0,19.0,6.0,13.0,12.0,31.0,49.0,73.0,0.0,12.0,9.0,2.0,0.0,0.0,4.0,5.0,5.0,5.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,2.0,2.0,12.0,136.0,0.0,0.0,0.0,2.0,5.0,4.0,11.0,14.0,10.0,6423665173.0,9512461.0,长春市南关区,长春市南关区全安街道,20.0,30.0,23.0,20.0,93.0,89.92857142857143,51.43423423423423,46.871929824561406
吉林省,长春市,南关区,曙光街道,125.3265112,43.8695539,16.0,44.0,54.0,160.0,250.0,502.0,4.0,405.0,94.0,65.0,5.0,12.0,28.0,32.0,52.0,80.0,1.0,5.0,59.0,190.0,54.0,1.0,6.0,9.0,15.0,47.0,2480.0,0.0,20.0,5.0,34.0,230.0,65.0,43.0,21.0,19.0,0.0,6.0,9.0,29.0,11.0,69.0,1.0,41.0,12.0,11.0,0.0,0.0,4.0,4.0,8.0,14.0,0.0,1.0,5.0,19.0,6.0,0.0,1.0,1.0,2.0,7.0,369.0,0.0,3.0,1.0,1.0,17.0,12.0,11.0,11.0,12.0,6423665174.0,9512462.0,长春市南关区,长春市南关区曙光街道,20.0,30.0,25.0,20.0,95.0,89.92857142857143,51.43423423423423,46.871929824561406
吉林省,长春市,南关区,永吉街道,125.3414951,43.8700564,24.0,51.0,59.0,151.0,247.0,420.0,2.0,285.0,93.0,51.0,3.0,10.0,17.0,21.0,46.0,69.0,1.0,4.0,46.0,142.0,49.0,1.0,6.0,9.0,13.0,50.0,1891.0,0.0,22.0,4.0,25.0,175.0,51.0,39.0,22.0,17.0,6.0,9.0,7.0,18.0,16.0,36.0,0.0,23.0,6.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,1.0,1.0,6.0,52.0,0.0,0.0,1.0,1.0,31.0,3.0,12.0,14.0,12.0,6423665179.0,9512465.0,长春市南关区,长春市南关区永吉街道,20.0,30.0,17.0,20.0,87.0,89.92857142857143,51.43423423423423,46.871929824561406
吉林省,长春市,南关区,桃源街道,125.3481878,43.8892857,40.0,77.0,88.0,184.0,219.0,290.0,2.0,192.0,104.0,32.0,4.0,3.0,16.0,18.0,39.0,47.0,0.0,3.0,26.0,105.0,25.0,1.0,9.0,13.0,16.0,45.0,1302.0,0.0,24.0,4.0,9.0,101.0,56.0,40.0,20.0,17.0,6.0,6.0,39.0,34.0,38.0,28.0,0.0,14.0,11.0,2.0,0.0,0.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0,15.0,0.0,1.0,0.0,2.0,8.0,0.0,12.0,14.0,7.0,6423665175.0,15875647.0,长春市南关区,长春市南关区桃源街道,20.0,30.0,16.0,20.0,86.0,89.92857142857143,51.43423423423423,46.871929824561406
吉林省,长春市,南关区,鸿城街道,125.3447474,43.8479457,40.0,71.0,45.0,94.0,126.0,333.0,1.0,314.0,84.0,35.0,4.0,8.0,5.0,5.0,15.0,34.0,0.0,2.0,8.0,35.0,88.0,1.0,3.0,5.0,8.0,16.0,987.0,0.0,305.0,4.0,22.0,193.0,21.0,26.0,24.0,18.0,2.0,7.0,2.0,20.0,7.0,26.0,0.0,35.0,0.0,9.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,21.0,0.0,2.0,0.0,2.0,2.0,48.0,0.0,5.0,0.0,0.0,7.0,1.0,4.0,12.0,9.0,6423665165.0,9512455.0,长春市南关区,长春市南关区鸿城街道,20.0,30.0,12.0,20.0,82.0,89.92857142857143,51.43423423423423,46.871929824561406
