addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
辽宁省,沈阳市,和平区,浑河湾街道,123.3775783,41.7584042,40.0,31.0,58.0,115.0,204.0,29.0,31.0,544.0,41.0,8.0,5.0,2.0,4.0,4.0,15.0,23.0,1.0,2.0,1.0,29.0,92.0,26.0,5.0,1.0,0.0,6.0,532.0,0.0,25.0,1.0,21.0,99.0,9.0,32.0,23.0,14.0,20.0,7.0,6.0,20.0,18.0,3.0,1.0,56.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,61.0,0.0,0.0,0.0,0.0,11.0,1.0,14.0,15.0,5.0,6480340038.0,9597403.0,沈阳市和平区,沈阳市和平区浑河湾街道,20.0,30.0,5.0,20.0,75.0,87.46000000000001,45.9878453038674,39.60348923533779
辽宁省,沈阳市,和平区,新华街道,123.383988,41.7751369,37.0,28.0,68.0,101.0,300.0,27.0,10.0,293.0,56.0,11.0,4.0,4.0,8.0,8.0,19.0,26.0,3.0,3.0,5.0,71.0,55.0,7.0,0.0,0.0,1.0,9.0,733.0,2.0,31.0,3.0,32.0,96.0,29.0,48.0,22.0,17.0,0.0,10.0,12.0,7.0,59.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,121.0,0.0,0.0,0.0,0.0,5.0,1.0,10.0,11.0,3.0,6480340046.0,9597411.0,沈阳市和平区,沈阳市和平区新华街道,20.0,30.0,12.0,20.0,82.0,87.46000000000001,45.9878453038674,39.60348923533779
辽宁省,沈阳市,和平区,马路湾街道,123.4046193,41.7764813,37.0,63.0,96.0,70.0,394.0,82.0,19.0,398.0,108.0,12.0,5.0,7.0,14.0,14.0,32.0,43.0,4.0,3.0,15.0,99.0,32.0,7.0,0.0,1.0,2.0,8.0,1184.0,2.0,42.0,3.0,38.0,117.0,38.0,53.0,22.0,18.0,0.0,7.0,21.0,5.0,59.0,2.0,5.0,52.0,2.0,3.0,0.0,2.0,3.0,3.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,0.0,9.0,1.0,11.0,27.0,3.0,7.0,13.0,9.0,6480340041.0,9597406.0,沈阳市和平区,沈阳市和平区马路湾街道,20.0,30.0,20.0,20.0,90.0,87.46000000000001,45.9878453038674,39.60348923533779
辽宁省,沈阳市,和平区,南湖街道,123.4166375,41.7595995,57.0,62.0,93.0,69.0,270.0,84.0,24.0,621.0,101.0,13.0,3.0,3.0,13.0,13.0,25.0,38.0,4.0,2.0,14.0,81.0,62.0,23.0,0.0,0.0,0.0,7.0,850.0,1.0,23.0,3.0,35.0,118.0,23.0,34.0,23.0,14.0,10.0,1.0,8.0,10.0,60.0,6.0,3.0,98.0,13.0,1.0,0.0,1.0,1.0,1.0,3.0,11.0,1.0,0.0,5.0,27.0,5.0,1.0,0.0,0.0,0.0,1.0,249.0,1.0,2.0,0.0,4.0,28.0,2.0,6.0,17.0,10.0,6480340042.0,9597407.0,沈阳市和平区,沈阳市和平区南湖街道,20.0,30.0,28.0,20.0,98.0,87.46000000000001,45.9878453038674,39.60348923533779
辽宁省,沈阳市,和平区,长白街道,123.3845889,41.7418166,57.0,24.0,51.0,92.0,97.0,25.0,29.0,561.0,56.0,7.0,4.0,0.0,3.0,3.0,17.0,24.0,1.0,0.0,4.0,16.0,112.0,31.0,3.0,1.0,1.0,4.0,277.0,0.0,4.0,3.0,6.0,68.0,4.0,26.0,23.0,12.0,10.0,8.0,19.0,16.0,9.0,7.0,21.0,240.0,8.0,0.0,1.0,0.0,1.0,1.0,5.0,6.0,0.0,0.0,1.0,7.0,31.0,13.0,0.0,1.0,0.0,2.0,13.0,0.0,3.0,0.0,4.0,24.0,1.0,3.0,19.0,7.0,6480340037.0,9597402.0,沈阳市和平区,沈阳市和平区长白街道,19.0,30.0,18.0,20.0,87.0,87.46000000000001,45.9878453038674,39.60348923533779
辽宁省,沈阳市,和平区,太原街街道,123.3979624,41.7901184,19.0,29.0,109.0,74.0,389.0,71.0,9.0,172.0,71.0,7.0,3.0,8.0,13.0,14.0,29.0,33.0,4.0,3.0,9.0,77.0,36.0,3.0,1.0,2.0,2.0,10.0,1122.0,1.0,45.0,3.0,36.0,88.0,38.0,58.0,20.0,21.0,5.0,2.0,20.0,6.0,76.0,7.0,0.0,32.0,25.0,4.0,0.0,0.0,3.0,3.0,6.0,7.0,1.0,1.0,3.0,29.0,3.0,0.0,0.0,0.0,1.0,1.0,135.0,1.0,4.0,2.0,8.0,17.0,16.0,23.0,12.0,11.0,6480340045.0,9597410.0,沈阳市和平区,沈阳市和平区太原街街道,20.0,30.0,30.0,20.0,100.0,87.46000000000001,45.9878453038674,39.60348923533779
辽宁省,沈阳市,和平区,北市场街道,123.4186405,41.8067975,50.0,52.0,123.0,131.0,392.0,80.0,1.0,133.0,135.0,11.0,3.0,9.0,14.0,16.0,36.0,42.0,1.0,2.0,11.0,83.0,10.0,4.0,3.0,4.0,3.0,16.0,1155.0,1.0,39.0,3.0,38.0,87.0,38.0,58.0,19.0,20.0,6.0,9.0,21.0,17.0,56.0,15.0,0.0,23.0,12.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,2.0,114.0,0.0,3.0,0.0,3.0,11.0,3.0,20.0,13.0,12.0,6480340036.0,9597401.0,沈阳市和平区,沈阳市和平区北市场街道,20.0,30.0,20.0,20.0,90.0,87.46000000000001,45.9878453038674,39.60348923533779
辽宁省,沈阳市,和平区,南市场街道,123.413032,41.7815599,38.0,63.0,99.0,61.0,440.0,98.0,12.0,286.0,124.0,11.0,1.0,9.0,16.0,17.0,37.0,48.0,3.0,3.0,12.0,110.0,21.0,4.0,0.0,1.0,2.0,12.0,1659.0,2.0,42.0,3.0,48.0,109.0,41.0,59.0,22.0,19.0,0.0,1.0,27.0,4.0,57.0,11.0,1.0,17.0,8.0,0.0,1.0,1.0,4.0,4.0,5.0,6.0,1.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,3.0,68.0,0.0,2.0,0.0,9.0,18.0,4.0,13.0,12.0,10.0,6480340043.0,9597408.0,沈阳市和平区,沈阳市和平区南市场街道,20.0,30.0,28.0,20.0,98.0,87.46000000000001,45.9878453038674,39.60348923533779
辽宁省,沈阳市,和平区,沈水湾街道,123.4028165,41.7442079,73.0,23.0,65.0,80.0,174.0,33.0,40.0,687.0,82.0,10.0,5.0,1.0,5.0,5.0,19.0,30.0,1.0,2.0,8.0,55.0,107.0,35.0,2.0,1.0,1.0,5.0,431.0,1.0,17.0,1.0,20.0,93.0,15.0,29.0,25.0,14.0,0.0,8.0,12.0,7.0,15.0,5.0,0.0,65.0,23.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,4.0,36.0,13.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,8.0,14.0,5.0,6480340044.0,9597409.0,沈阳市和平区,沈阳市和平区沈水湾街道,20.0,30.0,19.0,20.0,89.0,87.46000000000001,45.9878453038674,39.60348923533779
辽宁省,沈阳市,和平区,浑河站西街道,123.3538313,41.721128,16.0,26.0,28.0,42.0,55.0,50.0,3.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,25.0,1.0,4.0,0.0,0.0,1.0,140.0,0.0,0.0,5.0,2.0,17.0,0.0,15.0,21.0,10.0,0.0,2.0,8.0,9.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,8.0,3.0,6480340039.0,9597404.0,沈阳市和平区,沈阳市和平区浑河站西街道,16.0,26.0,5.0,18.6,65.6,87.46000000000001,45.9878453038674,39.60348923533779
