addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
内蒙古自治区,呼和浩特市,新城区,海拉尔东路街道,111.6519445,40.8387997,55.0,48.0,38.0,57.0,227.0,90.0,0.0,56.0,481.0,2.0,2.0,3.0,2.0,2.0,17.0,29.0,2.0,0.0,1.0,19.0,16.0,3.0,1.0,8.0,0.0,11.0,406.0,0.0,0.0,2.0,8.0,98.0,9.0,30.0,18.0,14.0,10.0,8.0,0.0,13.0,43.0,1.0,0.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,104.0,0.0,0.0,0.0,0.0,24.0,1.0,10.0,12.0,6.0,6274419404.0,10415512.0,呼和浩特市新城区,呼和浩特市新城区海拉尔东路街道,20.0,30.0,10.0,20.0,80.0,72.55555555555556,57.38947368421053,48.770841487279846
内蒙古自治区,呼和浩特市,新城区,锡林北路街道,111.6583657,40.8324646,31.0,59.0,38.0,60.0,238.0,105.0,1.0,53.0,538.0,2.0,1.0,5.0,7.0,7.0,26.0,40.0,2.0,0.0,2.0,25.0,18.0,4.0,1.0,11.0,0.0,13.0,462.0,0.0,4.0,4.0,8.0,120.0,14.0,39.0,21.0,16.0,10.0,10.0,11.0,12.0,17.0,0.0,0.0,5.0,89.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,30.0,0.0,0.0,0.0,1.0,11.0,1.0,13.0,13.0,7.0,-2.0,10415515.0,呼和浩特市新城区,呼和浩特市新城区锡林北路街道,13.0,30.0,17.0,20.0,80.0,72.55555555555556,57.38947368421053,48.770841487279846
内蒙古自治区,呼和浩特市,新城区,中山东路街道,111.67182,40.818109,31.0,49.0,47.0,84.0,298.0,140.0,1.0,76.0,679.0,7.0,0.0,4.0,9.0,9.0,52.0,73.0,2.0,0.0,2.0,32.0,53.0,8.0,1.0,17.0,0.0,18.0,462.0,0.0,39.0,5.0,17.0,114.0,17.0,45.0,20.0,18.0,1.0,13.0,4.0,14.0,33.0,10.0,0.0,10.0,75.0,0.0,0.0,2.0,1.0,1.0,6.0,10.0,0.0,0.0,1.0,12.0,11.0,2.0,0.0,4.0,0.0,1.0,132.0,0.0,0.0,0.0,2.0,16.0,5.0,11.0,13.0,7.0,-1.0,-1.0,呼和浩特市新城区,呼和浩特市新城区中山东路街道,5.0,28.0,23.0,20.0,76.0,72.55555555555556,57.38947368421053,48.770841487279846
内蒙古自治区,呼和浩特市,新城区,东街街道,111.6860752,40.8222243,19.0,35.0,35.0,53.0,268.0,147.0,0.0,65.0,656.0,7.0,0.0,5.0,10.0,10.0,34.0,57.0,2.0,0.0,2.0,32.0,47.0,10.0,2.0,16.0,0.0,15.0,393.0,0.0,35.0,1.0,13.0,142.0,17.0,30.0,19.0,15.0,4.0,17.0,0.0,15.0,36.0,12.0,0.0,9.0,54.0,0.0,0.0,0.0,3.0,3.0,9.0,15.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,65.0,0.0,0.0,0.0,2.0,12.0,4.0,7.0,13.0,6.0,6274419403.0,10415517.0,呼和浩特市新城区,呼和浩特市新城区东街街道,20.0,28.0,19.0,20.0,87.0,72.55555555555556,57.38947368421053,48.770841487279846
内蒙古自治区,呼和浩特市,新城区,西街街道,111.6683354,40.8283498,29.0,47.0,40.0,68.0,250.0,140.0,1.0,56.0,582.0,2.0,0.0,4.0,8.0,8.0,35.0,50.0,2.0,0.0,2.0,30.0,26.0,6.0,1.0,15.0,0.0,16.0,510.0,0.0,24.0,2.0,11.0,135.0,17.0,39.0,20.0,16.0,10.0,16.0,14.0,11.0,25.0,12.0,0.0,3.0,94.0,1.0,0.0,2.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,2.0,33.0,0.0,0.0,0.0,1.0,11.0,3.0,13.0,14.0,6.0,6274419406.0,10415513.0,呼和浩特市新城区,呼和浩特市新城区西街街道,20.0,28.0,19.0,20.0,87.0,72.55555555555556,57.38947368421053,48.770841487279846
内蒙古自治区,呼和浩特市,新城区,东风路街道,111.6933325,40.8313974,19.0,29.0,31.0,60.0,221.0,132.0,0.0,68.0,551.0,6.0,0.0,5.0,7.0,7.0,25.0,50.0,2.0,0.0,2.0,17.0,56.0,7.0,2.0,8.0,0.0,20.0,362.0,0.0,35.0,3.0,13.0,114.0,17.0,26.0,20.0,13.0,2.0,15.0,6.0,12.0,39.0,6.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,6.0,0.0,1.0,31.0,0.0,0.0,0.0,1.0,8.0,2.0,8.0,12.0,7.0,6274419402.0,10415518.0,呼和浩特市新城区,呼和浩特市新城区东风路街道,20.0,28.0,14.0,20.0,82.0,72.55555555555556,57.38947368421053,48.770841487279846
内蒙古自治区,呼和浩特市,新城区,迎新路街道,111.719608,40.8354704,7.0,56.0,37.0,83.0,185.0,11.0,0.0,5.0,484.0,5.0,0.0,4.0,2.0,2.0,15.0,26.0,0.0,0.0,1.0,7.0,68.0,6.0,1.0,7.0,0.0,25.0,216.0,0.0,3.0,2.0,7.0,81.0,12.0,17.0,17.0,16.0,0.0,2.0,4.0,11.0,46.0,1.0,0.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,1.0,0.0,2.0,27.0,0.0,0.0,0.0,1.0,22.0,5.0,8.0,9.0,4.0,6274419409.0,10415516.0,呼和浩特市新城区,呼和浩特市新城区迎新路街道,20.0,28.0,15.0,20.0,83.0,72.55555555555556,57.38947368421053,48.770841487279846
内蒙古自治区,呼和浩特市,新城区,成吉思汗大街街道,111.692547,40.875258,40.0,10.0,15.0,46.0,36.0,10.0,0.0,10.0,162.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,14.0,18.0,0.0,0.0,1.0,0.0,36.0,1.0,10.0,17.0,10.0,0.0,2.0,4.0,6.0,5.0,1.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,7.0,1.0,-1.0,-1.0,呼和浩特市新城区,呼和浩特市新城区成吉思汗大街街道,5.0,26.7,0.0,5.9,37.6,72.55555555555556,57.38947368421053,48.770841487279846
内蒙古自治区,呼和浩特市,新城区,保合少镇,111.937,40.9165,2.0,3.0,0.0,21.0,19.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,10.0,5.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,6274419400.0,10415520.0,呼和浩特市新城区,呼和浩特市新城区保合少镇,16.0,20.4,0.0,4.0,40.4,72.55555555555556,57.38947368421053,48.770841487279846
内蒙古自治区,呼和浩特市,回民区,新华西路街道,111.6448704,40.8178689,22.0,45.0,68.0,80.0,297.0,39.0,1.0,38.0,513.0,3.0,1.0,6.0,3.0,3.0,42.0,49.0,1.0,0.0,1.0,29.0,20.0,4.0,2.0,10.0,0.0,16.0,572.0,0.0,5.0,9.0,15.0,95.0,12.0,38.0,20.0,16.0,4.0,10.0,6.0,9.0,46.0,7.0,1.0,0.0,54.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,30.0,0.0,4.0,3.0,3.0,18.0,1.0,11.0,9.0,7.0,6274656206.0,10401813.0,呼和浩特市回民区,呼和浩特市回民区新华西路街道,20.0,30.0,17.0,20.0,87.0,82.25,57.38947368421053,48.770841487279846
