addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
宁夏回族自治区,银川市,兴庆区,凤凰北街街道,106.2586681,38.4802533,0.0,28.0,87.0,57.0,181.0,29.0,0.0,55.0,655.0,3.0,4.0,7.0,3.0,3.0,17.0,19.0,0.0,0.0,2.0,13.0,20.0,4.0,4.0,1.0,0.0,12.0,599.0,1.0,9.0,13.0,7.0,43.0,6.0,22.0,16.0,11.0,0.0,2.0,6.0,7.0,24.0,2.0,0.0,17.0,48.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,0.0,1.0,2.0,7.0,0.0,7.0,10.0,5.0,5928834098.0,8737310.0,银川市兴庆区,银川市兴庆区凤凰北街街道,20.0,30.0,10.0,20.0,80.0,73.3375,60.32363636363637,46.06748971193416
宁夏回族自治区,银川市,兴庆区,解放西街街道,106.2675942,38.4704104,17.0,14.0,98.0,67.0,206.0,21.0,0.0,57.0,740.0,2.0,4.0,3.0,2.0,2.0,21.0,21.0,0.0,0.0,1.0,18.0,12.0,3.0,1.0,2.0,0.0,11.0,684.0,0.0,13.0,5.0,7.0,42.0,8.0,20.0,18.0,10.0,0.0,3.0,10.0,19.0,55.0,2.0,0.0,19.0,88.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0,0.0,2.0,1.0,2.0,12.0,0.0,7.0,10.0,4.0,5928840418.0,8737345.0,银川市兴庆区,银川市兴庆区解放西街街道,20.0,30.0,15.0,20.0,85.0,73.3375,60.32363636363637,46.06748971193416
宁夏回族自治区,银川市,兴庆区,文化街街道,106.2811457,38.4706984,21.0,3.0,90.0,67.0,210.0,19.0,0.0,50.0,707.0,2.0,3.0,1.0,1.0,1.0,26.0,26.0,0.0,0.0,1.0,11.0,6.0,1.0,1.0,2.0,0.0,11.0,671.0,0.0,5.0,5.0,6.0,42.0,6.0,20.0,18.0,10.0,0.0,2.0,11.0,13.0,45.0,0.0,0.0,3.0,125.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,30.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,8.0,3.0,5928846901.0,8737360.0,银川市兴庆区,银川市兴庆区文化街街道,20.0,30.0,11.0,20.0,81.0,73.3375,60.32363636363637,46.06748971193416
宁夏回族自治区,银川市,兴庆区,富宁街街道,106.2635481,38.4663348,16.0,15.0,97.0,65.0,212.0,17.0,0.0,58.0,720.0,4.0,4.0,3.0,2.0,2.0,24.0,24.0,0.0,0.0,1.0,18.0,12.0,3.0,3.0,2.0,0.0,12.0,698.0,0.0,13.0,7.0,7.0,40.0,8.0,20.0,18.0,10.0,0.0,0.0,23.0,22.0,52.0,2.0,0.0,12.0,102.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,141.0,0.0,2.0,1.0,2.0,10.0,0.0,7.0,8.0,4.0,5928859050.0,8737799.0,银川市兴庆区,银川市兴庆区富宁街街道,20.0,30.0,15.0,20.0,85.0,73.3375,60.32363636363637,46.06748971193416
宁夏回族自治区,银川市,兴庆区,新华街街道,106.2778952,38.4631227,23.0,3.0,96.0,66.0,223.0,17.0,0.0,44.0,720.0,2.0,3.0,1.0,1.0,1.0,25.0,26.0,0.0,0.0,1.0,12.0,9.0,1.0,1.0,1.0,0.0,10.0,626.0,0.0,5.0,3.0,6.0,36.0,6.0,18.0,17.0,10.0,4.0,0.0,22.0,29.0,57.0,5.0,0.0,9.0,152.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,4.0,267.0,0.0,2.0,1.0,2.0,5.0,4.0,9.0,11.0,4.0,5928859051.0,8737802.0,银川市兴庆区,银川市兴庆区新华街街道,20.0,30.0,23.0,20.0,93.0,73.3375,60.32363636363637,46.06748971193416
宁夏回族自治区,银川市,兴庆区,玉皇阁北街街道,106.2855418,38.4760759,23.0,9.0,75.0,70.0,194.0,21.0,0.0,49.0,688.0,2.0,6.0,1.0,1.0,1.0,23.0,24.0,0.0,0.0,1.0,11.0,6.0,1.0,1.0,2.0,0.0,11.0,627.0,0.0,2.0,6.0,6.0,39.0,5.0,17.0,18.0,11.0,0.0,2.0,14.0,5.0,31.0,6.0,0.0,1.0,122.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,8.0,3.0,5929045975.0,8737804.0,银川市兴庆区,银川市兴庆区玉皇阁北街街道,20.0,30.0,10.0,20.0,80.0,73.3375,60.32363636363637,46.06748971193416
宁夏回族自治区,银川市,兴庆区,前进街街道,106.2709643,38.4650785,19.0,12.0,94.0,65.0,225.0,21.0,0.0,55.0,728.0,4.0,5.0,2.0,1.0,1.0,22.0,23.0,0.0,0.0,1.0,15.0,10.0,2.0,1.0,1.0,0.0,10.0,630.0,0.0,13.0,4.0,7.0,38.0,8.0,20.0,17.0,10.0,0.0,0.0,16.0,23.0,62.0,2.0,0.0,11.0,126.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,210.0,0.0,2.0,0.0,2.0,8.0,0.0,8.0,10.0,4.0,5929045974.0,8737800.0,银川市兴庆区,银川市兴庆区前进街街道,20.0,30.0,19.0,20.0,89.0,73.3375,60.32363636363637,46.06748971193416
宁夏回族自治区,银川市,兴庆区,中山南街街道,106.2860917,38.462343,23.0,5.0,86.0,61.0,208.0,17.0,0.0,36.0,724.0,3.0,2.0,1.0,1.0,1.0,26.0,27.0,0.0,0.0,1.0,11.0,4.0,1.0,1.0,2.0,0.0,10.0,625.0,0.0,5.0,4.0,3.0,37.0,6.0,17.0,17.0,10.0,8.0,0.0,16.0,19.0,43.0,4.0,0.0,6.0,124.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,183.0,0.0,0.0,1.0,0.0,4.0,4.0,5.0,13.0,4.0,5929088039.0,8737805.0,银川市兴庆区,银川市兴庆区中山南街街道,20.0,30.0,18.0,20.0,88.0,73.3375,60.32363636363637,46.06748971193416
宁夏回族自治区,银川市,兴庆区,银古路街道,106.2897569,38.4522926,23.0,2.0,69.0,64.0,236.0,14.0,0.0,14.0,644.0,4.0,3.0,0.0,1.0,1.0,25.0,26.0,1.0,0.0,1.0,12.0,6.0,1.0,2.0,2.0,0.0,11.0,685.0,0.0,7.0,4.0,3.0,25.0,7.0,18.0,17.0,8.0,18.0,0.0,21.0,10.0,21.0,1.0,0.0,3.0,86.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,108.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,12.0,5.0,5929088038.0,8737803.0,银川市兴庆区,银川市兴庆区银古路街道,20.0,30.0,10.0,20.0,80.0,73.3375,60.32363636363637,46.06748971193416
宁夏回族自治区,银川市,兴庆区,胜利街街道,106.2698707,38.4312486,22.0,0.0,49.0,52.0,96.0,3.0,0.0,12.0,379.0,3.0,4.0,0.0,0.0,0.0,13.0,15.0,0.0,0.0,1.0,7.0,3.0,0.0,3.0,0.0,0.0,2.0,426.0,0.0,3.0,4.0,1.0,16.0,5.0,13.0,15.0,8.0,0.0,0.0,9.0,12.0,4.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,6.0,4.0,5929088037.0,8737801.0,银川市兴庆区,银川市兴庆区胜利街街道,17.0,30.0,6.0,20.0,73.0,73.3375,60.32363636363637,46.06748971193416
