addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
青海省,西宁市,城东区,东关大街街道,101.7973223,36.6214376,64.0,35.0,64.0,51.0,247.0,227.0,0.0,208.0,70.0,29.0,2.0,4.0,8.0,9.0,20.0,21.0,1.0,4.0,7.0,61.0,12.0,2.0,1.0,1.0,2.0,17.0,1139.0,12.0,5.0,27.0,24.0,51.0,52.0,36.0,24.0,25.0,6.0,5.0,14.0,16.0,49.0,17.0,0.0,35.0,14.0,3.0,0.0,1.0,7.0,7.0,9.0,9.0,0.0,2.0,2.0,9.0,2.0,1.0,0.0,0.0,1.0,3.0,159.0,0.0,1.0,5.0,2.0,5.0,9.0,16.0,13.0,12.0,6139005298.0,9108822.0,西宁市城东区,西宁市城东区东关大街街道,20.0,30.0,25.0,20.0,95.0,83.44444444444444,51.61333333333334,39.064108910891086
青海省,西宁市,城东区,清真巷街道,101.7906168,36.6080166,79.0,23.0,79.0,50.0,267.0,182.0,0.0,181.0,76.0,22.0,2.0,4.0,8.0,9.0,22.0,23.0,1.0,4.0,7.0,64.0,26.0,2.0,0.0,2.0,2.0,15.0,1090.0,12.0,5.0,25.0,25.0,52.0,52.0,34.0,24.0,24.0,7.0,0.0,3.0,9.0,34.0,9.0,0.0,3.0,9.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,1.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,159.0,5.0,1.0,2.0,13.0,9.0,4.0,8.0,12.0,6.0,6139005302.0,9108825.0,西宁市城东区,西宁市城东区清真巷街道,20.0,30.0,28.0,20.0,98.0,83.44444444444444,51.61333333333334,39.064108910891086
青海省,西宁市,城东区,大众街街道,101.7963409,36.5975196,48.0,14.0,47.0,33.0,225.0,99.0,0.0,76.0,51.0,17.0,4.0,1.0,8.0,9.0,17.0,17.0,1.0,3.0,6.0,50.0,36.0,1.0,0.0,4.0,2.0,11.0,783.0,9.0,3.0,6.0,20.0,38.0,34.0,30.0,22.0,20.0,16.0,3.0,9.0,9.0,33.0,10.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,0.0,0.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,9.0,6.0,6139005297.0,9108821.0,西宁市城东区,西宁市城东区大众街街道,20.0,30.0,13.0,20.0,83.0,83.44444444444444,51.61333333333334,39.064108910891086
青海省,西宁市,城东区,周家泉街道,101.8067295,36.6147638,37.0,14.0,52.0,37.0,255.0,165.0,0.0,139.0,56.0,26.0,2.0,4.0,8.0,9.0,18.0,19.0,1.0,4.0,6.0,54.0,28.0,2.0,1.0,2.0,2.0,15.0,977.0,11.0,4.0,24.0,21.0,45.0,44.0,29.0,23.0,23.0,10.0,10.0,24.0,8.0,38.0,53.0,0.0,64.0,25.0,16.0,1.0,0.0,7.0,7.0,5.0,5.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,1.0,1.0,237.0,0.0,3.0,5.0,1.0,4.0,6.0,13.0,14.0,13.0,6139005304.0,9108827.0,西宁市城东区,西宁市城东区周家泉街道,20.0,30.0,21.0,20.0,91.0,83.44444444444444,51.61333333333334,39.064108910891086
青海省,西宁市,城东区,火车站街道,101.8269403,36.6178693,12.0,10.0,36.0,25.0,149.0,108.0,0.0,107.0,35.0,25.0,2.0,1.0,7.0,7.0,10.0,10.0,0.0,2.0,0.0,18.0,13.0,2.0,0.0,0.0,2.0,5.0,608.0,0.0,4.0,26.0,2.0,15.0,21.0,24.0,22.0,21.0,0.0,0.0,6.0,0.0,21.0,10.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,69.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,12.0,8.0,6139005299.0,-1.0,西宁市城东区,西宁市城东区火车站街道,12.0,30.0,6.0,20.0,68.0,83.44444444444444,51.61333333333334,39.064108910891086
青海省,西宁市,城东区,八一路街道,101.8071536,36.5832234,25.0,11.0,25.0,32.0,149.0,38.0,0.0,10.0,12.0,1.0,4.0,0.0,0.0,1.0,8.0,8.0,0.0,0.0,2.0,20.0,47.0,0.0,0.0,4.0,0.0,3.0,454.0,0.0,1.0,0.0,3.0,20.0,13.0,16.0,20.0,13.0,8.0,0.0,9.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,9.0,5.0,6139005296.0,9108820.0,西宁市城东区,西宁市城东区八一路街道,18.0,30.0,6.0,20.0,74.0,83.44444444444444,51.61333333333334,39.064108910891086
青海省,西宁市,城东区,林家崖街道,101.8020438,36.6264396,35.0,25.0,63.0,47.0,216.0,192.0,0.0,185.0,62.0,28.0,2.0,4.0,8.0,8.0,18.0,19.0,1.0,3.0,6.0,52.0,9.0,2.0,1.0,1.0,2.0,14.0,953.0,12.0,5.0,27.0,22.0,47.0,41.0,34.0,23.0,22.0,10.0,2.0,18.0,12.0,34.0,32.0,0.0,70.0,15.0,11.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,2.0,91.0,0.0,1.0,16.0,1.0,4.0,10.0,15.0,18.0,13.0,6139005301.0,9108824.0,西宁市城东区,西宁市城东区林家崖街道,20.0,30.0,23.0,20.0,93.0,83.44444444444444,51.61333333333334,39.064108910891086
青海省,西宁市,城东区,乐家湾镇,101.8717227,36.5654231,17.0,10.0,11.0,18.0,109.0,94.0,0.0,15.0,4.0,0.0,7.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,22.0,23.0,1.0,7.0,4.0,0.0,3.0,591.0,0.0,1.0,5.0,2.0,13.0,2.0,13.0,21.0,13.0,6.0,3.0,7.0,2.0,24.0,13.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,18.0,8.0,0.0,6.0,1.0,0.0,2.0,152.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,11.0,7.0,6139005300.0,9108823.0,西宁市城东区,西宁市城东区乐家湾镇,18.0,28.0,11.0,20.0,77.0,83.44444444444444,51.61333333333334,39.064108910891086
青海省,西宁市,城东区,韵家口镇,101.8685174,36.580567,10.0,10.0,21.0,22.0,117.0,104.0,0.0,18.0,4.0,0.0,5.0,0.0,1.0,1.0,11.0,11.0,0.0,0.0,0.0,23.0,28.0,2.0,7.0,5.0,0.0,4.0,665.0,0.0,1.0,5.0,2.0,20.0,2.0,16.0,23.0,14.0,6.0,3.0,6.0,11.0,50.0,21.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,237.0,0.0,0.0,2.0,0.0,8.0,1.0,8.0,15.0,8.0,6139005303.0,9108826.0,西宁市城东区,西宁市城东区韵家口镇,19.0,28.0,5.0,20.0,72.0,83.44444444444444,51.61333333333334,39.064108910891086
青海省,西宁市,城中区,人民街街道,101.7754677,36.6187824,88.0,40.0,55.0,62.0,233.0,188.0,0.0,196.0,57.0,15.0,1.0,4.0,10.0,10.0,22.0,25.0,1.0,4.0,6.0,49.0,12.0,1.0,1.0,2.0,1.0,18.0,1158.0,40.0,4.0,20.0,25.0,57.0,42.0,37.0,22.0,22.0,19.0,9.0,25.0,6.0,51.0,32.0,0.0,40.0,22.0,1.0,0.0,3.0,1.0,1.0,4.0,4.0,0.0,1.0,3.0,24.0,1.0,0.0,0.0,1.0,0.0,6.0,236.0,12.0,1.0,1.0,9.0,18.0,12.0,16.0,14.0,8.0,6138535442.0,9108077.0,西宁市城中区,西宁市城中区人民街街道,20.0,30.0,25.0,20.0,95.0,78.05,51.61333333333334,39.064108910891086
