addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
陕西省,西安市,新城区,西一路街道,108.9546015,34.2636312,0.0,215.0,167.0,162.0,449.0,459.0,34.0,1138.0,1365.0,46.0,1.0,9.0,24.0,35.0,50.0,69.0,9.0,7.0,60.0,559.0,122.0,5.0,2.0,10.0,3.0,111.0,31956.0,26.0,48.0,23.0,512.0,216.0,169.0,62.0,20.0,22.0,0.0,10.0,33.0,24.0,91.0,78.0,0.0,108.0,165.0,9.0,0.0,2.0,3.0,8.0,5.0,5.0,0.0,0.0,6.0,112.0,8.0,1.0,0.0,3.0,1.0,11.0,2296.0,3.0,3.0,1.0,82.0,16.0,27.0,16.0,15.0,13.0,3079707887.0,17687514.0,西安市新城区,西安市新城区西一路街道,20.0,30.0,23.0,20.0,93.0,93.77777777777777,56.3453488372093,37.89567526555387
陕西省,西安市,新城区,长乐中路街道,108.9975746,34.2720417,40.0,116.0,104.0,90.0,363.0,183.0,22.0,729.0,1028.0,34.0,8.0,1.0,8.0,11.0,36.0,55.0,1.0,0.0,33.0,164.0,174.0,3.0,40.0,14.0,9.0,42.0,17805.0,2.0,20.0,18.0,156.0,97.0,9.0,28.0,23.0,17.0,5.0,4.0,13.0,18.0,37.0,0.0,0.0,60.0,143.0,2.0,0.0,1.0,2.0,3.0,8.0,13.0,1.0,0.0,12.0,31.0,48.0,1.0,1.0,5.0,0.0,4.0,2969.0,0.0,1.0,1.0,47.0,8.0,2.0,8.0,16.0,8.0,11233404688.0,17688993.0,西安市新城区,西安市新城区长乐中路街道,20.0,30.0,28.0,20.0,98.0,93.77777777777777,56.3453488372093,37.89567526555387
陕西省,西安市,新城区,中山门街道,108.9638157,34.2732721,15.0,191.0,151.0,134.0,429.0,333.0,30.0,1173.0,1218.0,46.0,1.0,6.0,23.0,35.0,44.0,63.0,7.0,6.0,59.0,547.0,161.0,6.0,3.0,14.0,2.0,79.0,26949.0,18.0,25.0,18.0,474.0,181.0,144.0,55.0,24.0,23.0,0.0,54.0,32.0,31.0,74.0,26.0,8.0,147.0,194.0,8.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,1.0,10.0,65.0,13.0,0.0,1.0,1.0,0.0,5.0,3154.0,2.0,4.0,3.0,78.0,19.0,11.0,17.0,18.0,13.0,11250452164.0,17688990.0,西安市新城区,西安市新城区中山门街道,20.0,30.0,25.0,20.0,95.0,93.77777777777777,56.3453488372093,37.89567526555387
陕西省,西安市,新城区,韩森寨街道,109.0042972,34.2571328,38.0,72.0,114.0,85.0,360.0,211.0,7.0,812.0,966.0,30.0,4.0,1.0,11.0,14.0,39.0,63.0,1.0,0.0,27.0,157.0,161.0,3.0,21.0,12.0,6.0,42.0,15367.0,0.0,25.0,12.0,132.0,114.0,13.0,26.0,24.0,20.0,0.0,19.0,20.0,17.0,43.0,6.0,2.0,50.0,189.0,2.0,0.0,0.0,3.0,3.0,10.0,12.0,0.0,0.0,0.0,1.0,20.0,0.0,1.0,1.0,0.0,2.0,2018.0,0.0,7.0,1.0,5.0,30.0,0.0,7.0,15.0,5.0,3079728730.0,17688994.0,西安市新城区,西安市新城区韩森寨街道,20.0,30.0,16.0,20.0,86.0,93.77777777777777,56.3453488372093,37.89567526555387
陕西省,西安市,新城区,解放门街道,108.9616887,34.2755012,13.0,189.0,139.0,132.0,408.0,325.0,28.0,1091.0,1194.0,44.0,1.0,7.0,23.0,35.0,43.0,60.0,6.0,6.0,58.0,558.0,173.0,5.0,3.0,14.0,2.0,81.0,27089.0,16.0,22.0,17.0,511.0,172.0,138.0,55.0,24.0,22.0,0.0,57.0,16.0,28.0,79.0,30.0,11.0,147.0,238.0,7.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,2.0,8.0,58.0,7.0,0.0,1.0,0.0,0.0,4.0,2563.0,1.0,4.0,3.0,75.0,15.0,13.0,19.0,18.0,14.0,11250452163.0,17687515.0,西安市新城区,西安市新城区解放门街道,20.0,30.0,25.0,20.0,95.0,93.77777777777777,56.3453488372093,37.89567526555387
陕西省,西安市,新城区,自强路街道,108.9473184,34.2829334,0.0,173.0,115.0,157.0,392.0,347.0,37.0,828.0,1205.0,45.0,5.0,7.0,20.0,30.0,33.0,48.0,9.0,6.0,51.0,469.0,187.0,5.0,3.0,8.0,2.0,69.0,28843.0,10.0,22.0,22.0,541.0,131.0,137.0,52.0,20.0,23.0,0.0,33.0,12.0,16.0,42.0,14.0,5.0,57.0,151.0,1.0,0.0,0.0,5.0,5.0,9.0,15.0,1.0,3.0,8.0,22.0,45.0,0.0,0.0,1.0,1.0,8.0,2920.0,1.0,2.0,3.0,76.0,10.0,14.0,15.0,17.0,12.0,11250452169.0,17688988.0,西安市新城区,西安市新城区自强路街道,20.0,30.0,30.0,20.0,100.0,93.77777777777777,56.3453488372093,37.89567526555387
陕西省,西安市,新城区,太华路街道,108.970706,34.2894585,41.0,99.0,108.0,140.0,338.0,168.0,27.0,659.0,1102.0,39.0,3.0,3.0,9.0,12.0,36.0,53.0,6.0,4.0,41.0,238.0,209.0,3.0,11.0,22.0,5.0,26.0,16781.0,7.0,10.0,12.0,299.0,68.0,32.0,32.0,22.0,23.0,0.0,3.0,13.0,15.0,33.0,17.0,5.0,120.0,91.0,4.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1385.0,0.0,0.0,1.0,1.0,5.0,2.0,9.0,17.0,8.0,3079707879.0,17688989.0,西安市新城区,西安市新城区太华路街道,20.0,30.0,16.0,20.0,86.0,93.77777777777777,56.3453488372093,37.89567526555387
陕西省,西安市,新城区,长乐西路街道,108.97763,34.269115,32.0,140.0,167.0,143.0,379.0,350.0,34.0,1031.0,1267.0,54.0,1.0,3.0,12.0,20.0,43.0,65.0,5.0,2.0,42.0,283.0,145.0,4.0,8.0,14.0,6.0,60.0,20803.0,13.0,30.0,19.0,248.0,141.0,52.0,40.0,23.0,21.0,0.0,20.0,13.0,11.0,55.0,28.0,0.0,23.0,123.0,4.0,0.0,0.0,2.0,2.0,5.0,8.0,0.0,0.0,12.0,23.0,23.0,0.0,0.0,4.0,0.0,10.0,3447.0,0.0,3.0,1.0,53.0,10.0,0.0,10.0,16.0,8.0,11233404690.0,17688992.0,西安市新城区,西安市新城区长乐西路街道,20.0,30.0,23.0,20.0,93.0,93.77777777777777,56.3453488372093,37.89567526555387
陕西省,西安市,新城区,胡家庙街道,108.99686,34.2777521,39.0,107.0,103.0,100.0,329.0,140.0,27.0,546.0,1065.0,28.0,9.0,1.0,5.0,8.0,36.0,51.0,1.0,0.0,33.0,139.0,175.0,3.0,44.0,14.0,9.0,38.0,16948.0,1.0,17.0,16.0,127.0,84.0,10.0,26.0,23.0,18.0,6.0,4.0,9.0,14.0,42.0,1.0,4.0,78.0,143.0,7.0,0.0,1.0,3.0,6.0,7.0,10.0,1.0,0.0,10.0,64.0,63.0,2.0,2.0,5.0,4.0,3.0,3053.0,0.0,0.0,1.0,43.0,11.0,1.0,5.0,19.0,10.0,11230879655.0,17688991.0,西安市新城区,西安市新城区胡家庙街道,20.0,30.0,28.0,20.0,98.0,93.77777777777777,56.3453488372093,37.89567526555387
陕西省,西安市,碑林区,南院门街道,108.937256,34.2592341,0.0,237.0,143.0,196.0,479.0,439.0,42.0,776.0,1290.0,35.0,4.0,10.0,26.0,36.0,44.0,61.0,10.0,8.0,71.0,579.0,138.0,6.0,1.0,6.0,4.0,134.0,34626.0,34.0,66.0,34.0,566.0,218.0,183.0,71.0,20.0,24.0,0.0,44.0,16.0,33.0,63.0,110.0,4.0,217.0,173.0,9.0,0.0,3.0,6.0,8.0,5.0,5.0,5.0,1.0,14.0,227.0,17.0,1.0,0.0,2.0,1.0,21.0,7916.0,11.0,3.0,6.0,132.0,67.0,71.0,24.0,16.0,11.0,3079707885.0,17690646.0,西安市碑林区,西安市碑林区南院门街道,20.0,30.0,30.0,20.0,100.0,93.75,56.3453488372093,37.89567526555387
