addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
山东省,济南市,历下区,解放路街道,117.0308538,36.6646823,53.0,255.0,293.0,233.0,1091.0,552.0,58.0,1537.0,1612.0,178.0,8.0,18.0,31.0,44.0,65.0,126.0,13.0,21.0,39.0,331.0,604.0,102.0,8.0,10.0,31.0,83.0,5258.0,0.0,296.0,16.0,409.0,598.0,151.0,48.0,26.0,29.0,0.0,38.0,55.0,37.0,165.0,55.0,9.0,186.0,275.0,29.0,1.0,6.0,5.0,7.0,8.0,12.0,0.0,2.0,2.0,48.0,73.0,27.0,0.0,3.0,2.0,18.0,769.0,0.0,23.0,0.0,14.0,76.0,20.0,9.0,18.0,16.0,5197390512.0,8785209.0,济南市历下区,济南市历下区解放路街道,20.0,30.0,25.0,20.0,95.0,94.46153846153847,68.68757763975155,48.124820739106454
山东省,济南市,历下区,千佛山街道,117.0340616,36.6423759,102.0,151.0,209.0,124.0,462.0,443.0,23.0,879.0,1105.0,111.0,5.0,11.0,15.0,20.0,34.0,87.0,4.0,11.0,15.0,136.0,255.0,68.0,2.0,5.0,16.0,59.0,3149.0,0.0,116.0,7.0,192.0,477.0,82.0,23.0,22.0,30.0,9.0,8.0,7.0,10.0,20.0,78.0,0.0,132.0,119.0,14.0,0.0,0.0,4.0,5.0,2.0,12.0,1.0,0.0,3.0,11.0,16.0,5.0,0.0,0.0,7.0,3.0,167.0,0.0,9.0,0.0,5.0,36.0,27.0,8.0,15.0,15.0,5197334873.0,8785207.0,济南市历下区,济南市历下区千佛山街道,20.0,30.0,28.0,20.0,98.0,94.46153846153847,68.68757763975155,48.124820739106454
山东省,济南市,历下区,趵突泉街道,117.0117791,36.6590914,132.0,266.0,334.0,260.0,761.0,555.0,76.0,1624.0,1739.0,182.0,2.0,20.0,34.0,47.0,68.0,114.0,21.0,20.0,41.0,324.0,376.0,120.0,4.0,10.0,30.0,96.0,5344.0,2.0,346.0,28.0,237.0,571.0,182.0,51.0,25.0,30.0,6.0,53.0,83.0,43.0,105.0,83.0,23.0,537.0,236.0,20.0,1.0,1.0,7.0,7.0,9.0,13.0,3.0,3.0,11.0,61.0,52.0,25.0,0.0,1.0,3.0,16.0,969.0,0.0,53.0,5.0,29.0,54.0,22.0,15.0,21.0,17.0,5197367062.0,8719013.0,济南市历下区,济南市历下区趵突泉街道,20.0,30.0,30.0,20.0,100.0,94.46153846153847,68.68757763975155,48.124820739106454
山东省,济南市,历下区,泉城路街道,117.0174031,36.6667669,129.0,293.0,337.0,278.0,945.0,517.0,76.0,1517.0,1775.0,175.0,2.0,19.0,30.0,45.0,72.0,120.0,21.0,23.0,39.0,354.0,441.0,118.0,9.0,13.0,33.0,93.0,5384.0,2.0,340.0,28.0,232.0,580.0,163.0,49.0,25.0,28.0,0.0,18.0,74.0,41.0,128.0,70.0,17.0,755.0,258.0,32.0,0.0,1.0,1.0,1.0,6.0,8.0,2.0,3.0,9.0,69.0,93.0,24.0,0.0,4.0,0.0,15.0,886.0,0.0,3.0,3.0,15.0,65.0,43.0,17.0,17.0,16.0,5197241873.0,8710731.0,济南市历下区,济南市历下区泉城路街道,20.0,30.0,30.0,20.0,100.0,94.46153846153847,68.68757763975155,48.124820739106454
山东省,济南市,历下区,大明湖街道,117.0267433,36.6700573,42.0,259.0,280.0,231.0,1086.0,487.0,61.0,1428.0,1596.0,162.0,6.0,17.0,27.0,39.0,66.0,117.0,13.0,18.0,38.0,324.0,579.0,100.0,9.0,11.0,36.0,87.0,5151.0,0.0,250.0,14.0,242.0,547.0,147.0,49.0,25.0,28.0,0.0,33.0,58.0,20.0,219.0,89.0,9.0,373.0,216.0,22.0,1.0,6.0,3.0,4.0,5.0,7.0,0.0,2.0,0.0,47.0,77.0,21.0,0.0,5.0,2.0,16.0,635.0,0.0,0.0,2.0,8.0,46.0,33.0,14.0,18.0,16.0,5197241874.0,8710732.0,济南市历下区,济南市历下区大明湖街道,20.0,30.0,23.0,20.0,93.0,94.46153846153847,68.68757763975155,48.124820739106454
山东省,济南市,历下区,东关街道,117.0268015,36.6785881,17.0,226.0,281.0,229.0,1019.0,338.0,52.0,1158.0,1588.0,105.0,3.0,13.0,20.0,30.0,55.0,87.0,8.0,15.0,31.0,290.0,508.0,85.0,11.0,12.0,31.0,77.0,4035.0,0.0,113.0,12.0,127.0,325.0,106.0,46.0,25.0,27.0,6.0,40.0,30.0,21.0,131.0,56.0,0.0,155.0,177.0,9.0,0.0,0.0,2.0,2.0,5.0,5.0,0.0,2.0,0.0,6.0,34.0,12.0,1.0,2.0,3.0,10.0,246.0,0.0,0.0,2.0,1.0,19.0,8.0,14.0,17.0,15.0,5197241875.0,8780769.0,济南市历下区,济南市历下区东关街道,20.0,30.0,23.0,20.0,93.0,94.46153846153847,68.68757763975155,48.124820739106454
山东省,济南市,历下区,文东街道,117.0431456,36.6599583,130.0,170.0,268.0,203.0,1190.0,599.0,48.0,1401.0,1553.0,188.0,12.0,29.0,29.0,42.0,47.0,115.0,12.0,17.0,32.0,333.0,626.0,109.0,7.0,10.0,37.0,70.0,4654.0,0.0,239.0,9.0,503.0,521.0,139.0,36.0,26.0,31.0,0.0,43.0,43.0,34.0,132.0,57.0,10.0,95.0,201.0,34.0,2.0,3.0,4.0,7.0,9.0,25.0,0.0,3.0,4.0,27.0,92.0,24.0,2.0,0.0,1.0,14.0,875.0,0.0,26.0,1.0,74.0,208.0,13.0,5.0,19.0,14.0,-2.0,8785208.0,济南市历下区,济南市历下区文东街道,13.0,30.0,25.0,20.0,88.0,94.46153846153847,68.68757763975155,48.124820739106454
山东省,济南市,历下区,建新街道,117.0433849,36.6704027,131.0,219.0,262.0,227.0,1321.0,514.0,50.0,1161.0,1700.0,178.0,16.0,33.0,31.0,45.0,49.0,116.0,13.0,18.0,32.0,346.0,684.0,109.0,10.0,11.0,47.0,65.0,4858.0,8.0,225.0,12.0,505.0,493.0,117.0,41.0,27.0,30.0,0.0,49.0,22.0,50.0,372.0,45.0,6.0,80.0,218.0,18.0,2.0,2.0,4.0,6.0,10.0,20.0,1.0,4.0,10.0,57.0,104.0,18.0,2.0,2.0,3.0,15.0,389.0,0.0,18.0,0.0,3.0,23.0,11.0,8.0,17.0,15.0,5197241876.0,8781764.0,济南市历下区,济南市历下区建新街道,20.0,30.0,30.0,20.0,100.0,94.46153846153847,68.68757763975155,48.124820739106454
山东省,济南市,历下区,甸柳街道,117.0613763,36.6590627,152.0,182.0,198.0,206.0,1319.0,560.0,35.0,690.0,1438.0,182.0,16.0,40.0,33.0,47.0,41.0,114.0,14.0,14.0,28.0,304.0,631.0,93.0,11.0,4.0,48.0,43.0,4472.0,8.0,214.0,7.0,480.0,464.0,86.0,20.0,25.0,30.0,55.0,21.0,37.0,45.0,158.0,92.0,13.0,228.0,208.0,37.0,3.0,13.0,6.0,9.0,9.0,21.0,4.0,4.0,6.0,84.0,94.0,12.0,1.0,0.0,4.0,3.0,822.0,0.0,152.0,1.0,369.0,135.0,15.0,8.0,21.0,15.0,-2.0,8871923.0,济南市历下区,济南市历下区甸柳街道,13.0,30.0,30.0,20.0,93.0,94.46153846153847,68.68757763975155,48.124820739106454
山东省,济南市,历下区,燕山街道,117.0562695,36.6589053,148.0,169.0,214.0,193.0,1363.0,553.0,39.0,761.0,1460.0,189.0,16.0,36.0,34.0,48.0,44.0,116.0,14.0,16.0,28.0,304.0,627.0,92.0,12.0,5.0,47.0,51.0,4580.0,4.0,211.0,6.0,480.0,468.0,92.0,23.0,25.0,30.0,26.0,13.0,43.0,43.0,148.0,86.0,13.0,198.0,183.0,38.0,5.0,11.0,4.0,8.0,8.0,22.0,3.0,4.0,5.0,82.0,95.0,12.0,2.0,0.0,2.0,3.0,914.0,0.0,146.0,0.0,343.0,149.0,15.0,4.0,22.0,12.0,5197390514.0,8871922.0,济南市历下区,济南市历下区燕山街道,20.0,30.0,30.0,20.0,100.0,94.46153846153847,68.68757763975155,48.124820739106454
