addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
上海市,市辖区,黄浦区,南京东路街道,121.4642644,31.2311363,69.0,407.0,587.0,343.0,757.0,1737.0,34.0,1393.0,2325.0,55.0,14.0,20.0,44.0,79.0,122.0,148.0,20.0,22.0,164.0,2102.0,355.0,69.0,1.0,25.0,67.0,76.0,10898.0,128.0,1531.0,64.0,2072.0,190.0,431.0,181.0,28.0,24.0,17.0,133.0,72.0,60.0,84.0,149.0,4.0,336.0,376.0,10.0,0.0,3.0,7.0,14.0,18.0,22.0,5.0,2.0,20.0,372.0,27.0,14.0,0.0,9.0,9.0,15.0,1243.0,46.0,53.0,5.0,409.0,14.0,51.0,43.0,22.0,18.0,8363727308.0,12236005.0,市辖区黄浦区,市辖区黄浦区南京东路街道,20.0,30.0,30.0,20.0,100.0,97.9,85.27441860465116,85.27441860465116
上海市,市辖区,黄浦区,外滩街道,121.4769284,31.2414303,78.0,397.0,680.0,420.0,843.0,1609.0,65.0,1716.0,2242.0,73.0,10.0,21.0,33.0,56.0,92.0,110.0,18.0,16.0,138.0,1427.0,320.0,79.0,1.0,23.0,79.0,75.0,7575.0,234.0,1469.0,69.0,1194.0,145.0,387.0,201.0,28.0,24.0,8.0,18.0,96.0,59.0,132.0,197.0,3.0,244.0,285.0,9.0,2.0,5.0,3.0,6.0,11.0,14.0,3.0,1.0,29.0,384.0,14.0,9.0,0.0,5.0,14.0,14.0,1608.0,19.0,364.0,9.0,314.0,18.0,140.0,54.0,19.0,12.0,8363556548.0,12235857.0,市辖区黄浦区,市辖区黄浦区外滩街道,20.0,30.0,30.0,20.0,100.0,97.9,85.27441860465116,85.27441860465116
上海市,市辖区,黄浦区,半淞园路街道,121.4827018,31.2090944,75.0,473.0,365.0,246.0,535.0,1644.0,50.0,1051.0,1687.0,62.0,9.0,15.0,30.0,49.0,92.0,115.0,9.0,10.0,85.0,933.0,391.0,63.0,0.0,12.0,33.0,53.0,7578.0,39.0,1120.0,90.0,933.0,207.0,204.0,111.0,28.0,23.0,7.0,43.0,36.0,32.0,60.0,202.0,0.0,24.0,212.0,8.0,2.0,0.0,6.0,6.0,18.0,21.0,2.0,0.0,3.0,40.0,108.0,4.0,0.0,2.0,6.0,7.0,838.0,0.0,52.0,0.0,33.0,15.0,10.0,15.0,16.0,12.0,8363596807.0,12235902.0,市辖区黄浦区,市辖区黄浦区半淞园路街道,20.0,30.0,28.0,20.0,98.0,97.9,85.27441860465116,85.27441860465116
上海市,市辖区,黄浦区,小东门街道,121.4965796,31.2219356,65.0,403.0,534.0,339.0,635.0,2102.0,85.0,1612.0,1966.0,99.0,7.0,10.0,26.0,35.0,82.0,116.0,12.0,6.0,103.0,996.0,338.0,91.0,3.0,25.0,31.0,51.0,6997.0,196.0,1164.0,77.0,725.0,233.0,321.0,136.0,25.0,24.0,0.0,43.0,29.0,16.0,117.0,456.0,5.0,85.0,142.0,3.0,0.0,0.0,3.0,4.0,12.0,13.0,0.0,1.0,3.0,53.0,31.0,10.0,0.0,1.0,6.0,8.0,729.0,2.0,259.0,9.0,32.0,14.0,18.0,18.0,17.0,12.0,8363596810.0,12235905.0,市辖区黄浦区,市辖区黄浦区小东门街道,20.0,30.0,25.0,20.0,95.0,97.9,85.27441860465116,85.27441860465116
上海市,市辖区,黄浦区,豫园街道,121.4830613,31.2273624,74.0,481.0,608.0,311.0,750.0,2017.0,45.0,1822.0,2059.0,90.0,11.0,15.0,34.0,53.0,101.0,124.0,16.0,11.0,132.0,1491.0,329.0,82.0,2.0,32.0,56.0,76.0,8451.0,237.0,1448.0,77.0,1281.0,199.0,378.0,176.0,26.0,26.0,15.0,54.0,120.0,57.0,151.0,632.0,0.0,233.0,302.0,7.0,1.0,2.0,6.0,10.0,14.0,14.0,2.0,4.0,25.0,197.0,35.0,5.0,0.0,3.0,13.0,14.0,1392.0,12.0,462.0,18.0,113.0,23.0,65.0,38.0,22.0,15.0,8363596809.0,12235904.0,市辖区黄浦区,市辖区黄浦区豫园街道,20.0,30.0,30.0,20.0,100.0,97.9,85.27441860465116,85.27441860465116
上海市,市辖区,黄浦区,老西门街道,121.4816021,31.2171507,82.0,454.0,498.0,268.0,614.0,1959.0,39.0,1419.0,1871.0,72.0,10.0,18.0,35.0,58.0,103.0,126.0,13.0,10.0,121.0,1445.0,381.0,74.0,0.0,26.0,35.0,69.0,9538.0,136.0,1408.0,90.0,1481.0,232.0,346.0,149.0,27.0,24.0,0.0,20.0,62.0,40.0,126.0,441.0,0.0,42.0,237.0,0.0,0.0,0.0,6.0,7.0,16.0,16.0,0.0,0.0,9.0,71.0,71.0,5.0,0.0,3.0,11.0,10.0,1146.0,2.0,255.0,0.0,51.0,18.0,19.0,19.0,12.0,11.0,8363596808.0,12235903.0,市辖区黄浦区,市辖区黄浦区老西门街道,20.0,30.0,23.0,20.0,93.0,97.9,85.27441860465116,85.27441860465116
上海市,市辖区,黄浦区,五里桥街道,121.4770209,31.2028865,62.0,394.0,319.0,223.0,478.0,1430.0,43.0,873.0,1532.0,51.0,9.0,13.0,34.0,57.0,89.0,119.0,6.0,7.0,77.0,840.0,409.0,54.0,0.0,13.0,36.0,43.0,7366.0,30.0,889.0,57.0,892.0,214.0,162.0,90.0,26.0,24.0,21.0,81.0,60.0,15.0,50.0,129.0,3.0,26.0,208.0,11.0,3.0,0.0,5.0,5.0,12.0,15.0,2.0,0.0,8.0,39.0,123.0,7.0,0.0,0.0,2.0,4.0,538.0,0.0,1.0,2.0,26.0,25.0,15.0,14.0,17.0,9.0,8363665947.0,12235959.0,市辖区黄浦区,市辖区黄浦区五里桥街道,20.0,30.0,28.0,20.0,98.0,97.9,85.27441860465116,85.27441860465116
上海市,市辖区,黄浦区,打浦桥街道,121.4687168,31.2056211,69.0,392.0,351.0,202.0,496.0,1484.0,33.0,977.0,1637.0,56.0,11.0,23.0,45.0,71.0,102.0,142.0,9.0,10.0,104.0,1138.0,438.0,57.0,0.0,20.0,36.0,47.0,9114.0,59.0,824.0,61.0,1342.0,229.0,193.0,107.0,26.0,24.0,14.0,122.0,29.0,18.0,62.0,90.0,0.0,64.0,187.0,6.0,3.0,2.0,4.0,7.0,19.0,24.0,2.0,2.0,25.0,154.0,133.0,11.0,0.0,1.0,1.0,7.0,712.0,6.0,21.0,0.0,85.0,28.0,19.0,15.0,15.0,10.0,8363665948.0,12235958.0,市辖区黄浦区,市辖区黄浦区打浦桥街道,20.0,30.0,30.0,20.0,100.0,97.9,85.27441860465116,85.27441860465116
上海市,市辖区,黄浦区,淮海中路街道,121.4712274,31.2169213,75.0,451.0,480.0,252.0,648.0,1866.0,10.0,1159.0,1995.0,60.0,10.0,23.0,45.0,79.0,118.0,153.0,12.0,14.0,141.0,1816.0,445.0,54.0,0.0,22.0,44.0,75.0,11311.0,96.0,1376.0,61.0,1907.0,209.0,342.0,152.0,27.0,24.0,9.0,81.0,43.0,40.0,107.0,87.0,0.0,155.0,251.0,8.0,1.0,2.0,9.0,13.0,11.0,14.0,0.0,2.0,14.0,165.0,59.0,11.0,0.0,4.0,5.0,11.0,1273.0,9.0,74.0,0.0,130.0,19.0,38.0,25.0,18.0,14.0,8363727310.0,12236003.0,市辖区黄浦区,市辖区黄浦区淮海中路街道,20.0,30.0,25.0,20.0,95.0,97.9,85.27441860465116,85.27441860465116
上海市,市辖区,黄浦区,瑞金二路街道,121.4625343,31.2192886,64.0,414.0,518.0,283.0,683.0,1843.0,8.0,1172.0,2210.0,54.0,14.0,32.0,54.0,97.0,138.0,182.0,15.0,18.0,164.0,2043.0,496.0,57.0,0.0,24.0,46.0,78.0,12407.0,97.0,1352.0,34.0,2120.0,223.0,349.0,154.0,27.0,24.0,18.0,95.0,37.0,35.0,61.0,130.0,2.0,221.0,244.0,9.0,3.0,3.0,8.0,15.0,21.0,25.0,1.0,2.0,17.0,272.0,42.0,10.0,0.0,4.0,2.0,5.0,1800.0,11.0,123.0,0.0,286.0,23.0,43.0,27.0,21.0,15.0,8363727309.0,12236004.0,市辖区黄浦区,市辖区黄浦区瑞金二路街道,20.0,30.0,30.0,20.0,100.0,97.9,85.27441860465116,85.27441860465116
