addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
山西省,太原市,小店区,坞城街道,112.5734817,37.805296,78.0,70.0,85.0,94.0,204.0,103.0,10.0,75.0,68.0,44.0,1.0,12.0,11.0,11.0,16.0,32.0,0.0,1.0,8.0,105.0,30.0,4.0,10.0,1.0,0.0,16.0,813.0,3.0,16.0,3.0,167.0,83.0,10.0,23.0,24.0,11.0,0.0,14.0,8.0,7.0,14.0,24.0,0.0,19.0,4.0,6.0,0.0,6.0,4.0,4.0,7.0,12.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,3.0,80.0,0.0,1.0,0.0,1.0,23.0,3.0,4.0,15.0,5.0,6680341672.0,9881418.0,太原市小店区,太原市小店区坞城街道,20.0,30.0,18.0,20.0,88.0,66.61,56.857,41.315179968701095
山西省,太原市,小店区,营盘街道,112.5656292,37.8313111,72.0,87.0,90.0,85.0,184.0,42.0,22.0,240.0,33.0,11.0,1.0,14.0,16.0,16.0,20.0,32.0,1.0,0.0,11.0,83.0,35.0,4.0,1.0,1.0,0.0,15.0,119.0,0.0,9.0,10.0,14.0,31.0,11.0,32.0,22.0,15.0,6.0,11.0,7.0,10.0,24.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,9.0,10.0,2.0,6680341674.0,9881420.0,太原市小店区,太原市小店区营盘街道,20.0,30.0,16.0,17.200000000000003,83.2,66.61,56.857,41.315179968701095
山西省,太原市,小店区,北营街道,112.6399975,37.8079806,13.0,12.0,13.0,33.0,174.0,22.0,0.0,53.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,435.0,0.0,30.0,1.0,5.0,43.0,0.0,10.0,19.0,7.0,0.0,0.0,0.0,6.0,58.0,1.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,47.0,0.0,0.0,0.0,5.0,23.0,0.0,4.0,8.0,2.0,6680341668.0,9881412.0,太原市小店区,太原市小店区北营街道,20.0,26.0,0.0,19.5,65.5,66.61,56.857,41.315179968701095
山西省,太原市,小店区,平阳路街道,112.5436596,37.8128557,41.0,55.0,49.0,156.0,205.0,73.0,51.0,250.0,37.0,28.0,2.0,20.0,6.0,6.0,16.0,26.0,1.0,0.0,14.0,139.0,39.0,3.0,7.0,1.0,0.0,13.0,303.0,2.0,21.0,9.0,14.0,30.0,14.0,24.0,21.0,12.0,12.0,15.0,3.0,8.0,19.0,10.0,6.0,40.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,16.0,7.0,0.0,0.0,0.0,0.0,3.0,24.0,0.0,5.0,4.0,5.0,6.0,1.0,9.0,16.0,7.0,6680341671.0,9881415.0,太原市小店区,太原市小店区平阳路街道,20.0,30.0,18.0,20.0,88.0,66.61,56.857,41.315179968701095
山西省,太原市,小店区,黄陵街道,112.6109615,37.7750066,84.0,46.0,130.0,103.0,187.0,221.0,8.0,45.0,44.0,44.0,0.0,1.0,1.0,1.0,2.0,11.0,0.0,1.0,0.0,18.0,8.0,2.0,4.0,1.0,1.0,4.0,687.0,0.0,57.0,5.0,7.0,62.0,1.0,23.0,25.0,14.0,20.0,5.0,36.0,17.0,15.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,10.0,2.0,6680341669.0,9881413.0,太原市小店区,太原市小店区黄陵街道,19.0,28.0,5.0,20.0,72.0,66.61,56.857,41.315179968701095
山西省,太原市,小店区,小店街道,112.5579099,37.7311007,19.0,25.0,31.0,45.0,122.0,35.0,8.0,56.0,20.0,9.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,10.0,1.0,1.0,3.0,72.0,0.0,0.0,2.0,0.0,12.0,2.0,15.0,19.0,8.0,0.0,10.0,6.0,5.0,30.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,1.0,6680341673.0,9881419.0,太原市小店区,太原市小店区小店街道,18.0,30.0,0.0,11.5,59.5,66.61,56.857,41.315179968701095
山西省,太原市,小店区,龙城街道,112.5678037,37.7680038,15.0,30.0,33.0,92.0,170.0,59.0,6.0,61.0,35.0,15.0,1.0,1.0,3.0,3.0,2.0,17.0,0.0,1.0,3.0,19.0,10.0,1.0,9.0,1.0,0.0,4.0,154.0,3.0,4.0,3.0,1.0,21.0,2.0,21.0,22.0,11.0,2.0,2.0,4.0,9.0,19.0,4.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,11.0,3.0,6680341670.0,-1.0,太原市小店区,太原市小店区龙城街道,11.0,30.0,5.0,20.0,66.0,66.61,56.857,41.315179968701095
山西省,太原市,小店区,北格镇,112.532,37.6368,2.0,10.0,13.0,13.0,17.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,0.0,17.0,8.0,11.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,10.0,8.0,0.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,5263028575.0,9881411.0,太原市小店区,太原市小店区北格镇,20.0,20.3,5.0,5.1,50.4,66.61,56.857,41.315179968701095
山西省,太原市,小店区,西温庄乡,112.622,37.7269,0.0,8.0,37.0,33.0,55.0,46.0,0.0,37.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,9.0,6.0,0.0,1.0,0.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,5263041289.0,7780397.0,太原市小店区,太原市小店区西温庄乡,16.0,26.0,0.0,4.0,46.0,66.61,56.857,41.315179968701095
山西省,太原市,小店区,刘家堡乡,112.468,37.6486,12.0,22.0,5.0,20.0,297.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,3.0,6.0,8.0,4.0,2.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,5263028580.0,9881414.0,太原市小店区,太原市小店区刘家堡乡,18.0,28.0,0.0,1.5,47.5,66.61,56.857,41.315179968701095
