addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
四川省,成都市,锦江区,锦官驿街道,104.083535,30.6498998,38.0,233.0,147.0,133.0,701.0,491.0,15.0,534.0,523.0,55.0,9.0,135.0,56.0,81.0,66.0,124.0,19.0,18.0,75.0,857.0,184.0,46.0,4.0,13.0,25.0,41.0,9148.0,477.0,942.0,20.0,102.0,200.0,128.0,64.0,25.0,24.0,0.0,44.0,21.0,19.0,112.0,76.0,8.0,98.0,79.0,8.0,0.0,9.0,3.0,4.0,7.0,12.0,0.0,2.0,11.0,124.0,22.0,6.0,1.0,2.0,3.0,1.0,1105.0,62.0,185.0,7.0,23.0,26.0,22.0,18.0,18.0,14.0,7823258521.0,9425400.0,成都市锦江区,成都市锦江区锦官驿街道,20.0,30.0,25.0,20.0,95.0,95.18181818181819,64.81340996168582,38.50815865849726
四川省,成都市,锦江区,东湖街道,104.0931985,30.6181508,46.0,127.0,95.0,141.0,463.0,395.0,55.0,366.0,369.0,38.0,21.0,54.0,24.0,45.0,46.0,105.0,13.0,6.0,34.0,494.0,214.0,33.0,5.0,10.0,21.0,12.0,6237.0,65.0,379.0,8.0,37.0,235.0,49.0,35.0,26.0,27.0,2.0,11.0,9.0,15.0,38.0,4.0,12.0,28.0,29.0,4.0,5.0,0.0,5.0,7.0,5.0,8.0,1.0,0.0,5.0,45.0,23.0,6.0,0.0,0.0,2.0,1.0,592.0,0.0,0.0,0.0,7.0,26.0,5.0,8.0,15.0,9.0,7823258527.0,9425408.0,成都市锦江区,成都市锦江区东湖街道,20.0,30.0,28.0,20.0,98.0,95.18181818181819,64.81340996168582,38.50815865849726
四川省,成都市,锦江区,锦华路街道,104.0931027,30.6043335,48.0,105.0,96.0,167.0,314.0,387.0,69.0,470.0,279.0,32.0,20.0,42.0,14.0,26.0,33.0,69.0,3.0,5.0,24.0,348.0,169.0,41.0,6.0,5.0,24.0,11.0,5010.0,74.0,474.0,8.0,26.0,210.0,23.0,28.0,26.0,27.0,6.0,15.0,15.0,23.0,24.0,12.0,9.0,20.0,25.0,1.0,4.0,0.0,1.0,1.0,5.0,7.0,0.0,0.0,0.0,21.0,31.0,3.0,2.0,0.0,0.0,1.0,608.0,1.0,3.0,0.0,1.0,17.0,1.0,8.0,16.0,9.0,7823258547.0,11516693.0,成都市锦江区,成都市锦江区锦华路街道,20.0,30.0,21.0,20.0,91.0,95.18181818181819,64.81340996168582,38.50815865849726
四川省,成都市,锦江区,春熙路街道,104.0717857,30.6562765,0.0,277.0,145.0,118.0,697.0,676.0,21.0,680.0,513.0,88.0,5.0,157.0,95.0,130.0,66.0,117.0,21.0,16.0,81.0,931.0,179.0,62.0,4.0,17.0,29.0,50.0,9803.0,488.0,949.0,25.0,217.0,215.0,188.0,72.0,21.0,25.0,0.0,47.0,33.0,4.0,117.0,100.0,2.0,148.0,98.0,13.0,0.0,9.0,0.0,1.0,10.0,15.0,0.0,3.0,13.0,156.0,11.0,10.0,0.0,1.0,4.0,2.0,1157.0,118.0,407.0,6.0,37.0,40.0,29.0,21.0,19.0,14.0,7823258520.0,9817850.0,成都市锦江区,成都市锦江区春熙路街道,20.0,30.0,20.0,20.0,90.0,95.18181818181819,64.81340996168582,38.50815865849726
四川省,成都市,锦江区,书院街街道,104.0852728,30.664222,46.0,271.0,135.0,124.0,626.0,531.0,23.0,590.0,500.0,61.0,10.0,155.0,89.0,130.0,71.0,116.0,27.0,20.0,89.0,970.0,190.0,62.0,3.0,8.0,29.0,58.0,9412.0,493.0,875.0,18.0,109.0,181.0,160.0,59.0,25.0,24.0,0.0,50.0,7.0,18.0,93.0,77.0,2.0,85.0,29.0,7.0,0.0,27.0,19.0,23.0,10.0,14.0,2.0,2.0,5.0,112.0,22.0,5.0,0.0,0.0,0.0,9.0,1229.0,271.0,174.0,3.0,14.0,18.0,12.0,12.0,15.0,9.0,7823258524.0,9425401.0,成都市锦江区,成都市锦江区书院街街道,20.0,30.0,30.0,20.0,100.0,95.18181818181819,64.81340996168582,38.50815865849726
四川省,成都市,锦江区,牛市口街道,104.097277,30.6407413,52.0,164.0,107.0,133.0,584.0,340.0,30.0,378.0,427.0,39.0,19.0,67.0,47.0,75.0,56.0,125.0,14.0,10.0,67.0,743.0,178.0,20.0,7.0,10.0,17.0,24.0,7950.0,337.0,571.0,13.0,71.0,195.0,73.0,37.0,25.0,24.0,16.0,11.0,16.0,12.0,75.0,17.0,4.0,16.0,62.0,2.0,0.0,5.0,4.0,11.0,7.0,17.0,5.0,0.0,4.0,121.0,27.0,3.0,1.0,2.0,1.0,1.0,924.0,0.0,10.0,1.0,2.0,18.0,7.0,13.0,19.0,13.0,7823258525.0,9425403.0,成都市锦江区,成都市锦江区牛市口街道,20.0,30.0,28.0,20.0,98.0,95.18181818181819,64.81340996168582,38.50815865849726
四川省,成都市,锦江区,沙河街道,104.1139881,30.6307815,56.0,130.0,97.0,164.0,395.0,279.0,33.0,291.0,338.0,30.0,18.0,38.0,27.0,57.0,46.0,113.0,12.0,11.0,53.0,687.0,166.0,14.0,11.0,8.0,15.0,12.0,6136.0,6.0,57.0,6.0,20.0,212.0,40.0,37.0,25.0,23.0,0.0,8.0,5.0,17.0,33.0,21.0,2.0,28.0,23.0,4.0,2.0,3.0,5.0,9.0,5.0,16.0,1.0,0.0,8.0,85.0,18.0,4.0,2.0,3.0,0.0,3.0,603.0,0.0,0.0,1.0,1.0,27.0,3.0,6.0,12.0,14.0,7823258526.0,9425407.0,成都市锦江区,成都市锦江区沙河街道,20.0,30.0,28.0,20.0,98.0,95.18181818181819,64.81340996168582,38.50815865849726
四川省,成都市,锦江区,狮子山街道,104.1163618,30.6148091,48.0,113.0,94.0,161.0,290.0,309.0,35.0,480.0,269.0,32.0,23.0,43.0,22.0,43.0,38.0,94.0,5.0,9.0,29.0,518.0,162.0,17.0,6.0,6.0,13.0,9.0,4990.0,6.0,189.0,4.0,13.0,220.0,28.0,32.0,27.0,23.0,0.0,17.0,3.0,11.0,60.0,142.0,12.0,130.0,44.0,13.0,2.0,5.0,3.0,5.0,6.0,16.0,1.0,3.0,4.0,92.0,22.0,2.0,0.0,1.0,7.0,2.0,786.0,0.0,0.0,1.0,1.0,47.0,10.0,7.0,16.0,18.0,7823258546.0,9425409.0,成都市锦江区,成都市锦江区狮子山街道,20.0,30.0,30.0,20.0,100.0,95.18181818181819,64.81340996168582,38.50815865849726
四川省,成都市,锦江区,成龙路街道,104.1291399,30.6001568,30.0,78.0,50.0,135.0,270.0,293.0,35.0,486.0,157.0,26.0,11.0,45.0,11.0,27.0,31.0,74.0,3.0,5.0,16.0,370.0,136.0,12.0,3.0,2.0,23.0,6.0,4108.0,1.0,229.0,2.0,4.0,211.0,27.0,19.0,27.0,23.0,21.0,3.0,17.0,13.0,36.0,26.0,0.0,61.0,23.0,2.0,3.0,3.0,1.0,3.0,3.0,7.0,1.0,1.0,3.0,59.0,23.0,2.0,1.0,0.0,0.0,2.0,445.0,0.0,48.0,0.0,1.0,18.0,1.0,5.0,19.0,10.0,10673706802.0,9425410.0,成都市锦江区,成都市锦江区成龙路街道,20.0,30.0,30.0,20.0,100.0,95.18181818181819,64.81340996168582,38.50815865849726
四川省,成都市,锦江区,柳江街道,104.0842016,30.5876664,40.0,73.0,123.0,203.0,265.0,462.0,116.0,800.0,208.0,20.0,8.0,17.0,5.0,8.0,20.0,35.0,3.0,0.0,5.0,171.0,119.0,61.0,4.0,11.0,27.0,11.0,3579.0,137.0,812.0,12.0,21.0,173.0,29.0,26.0,28.0,25.0,3.0,3.0,20.0,25.0,22.0,68.0,18.0,179.0,24.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,8.0,13.0,1.0,2.0,9.0,1.0,452.0,19.0,149.0,3.0,0.0,26.0,3.0,9.0,20.0,15.0,10673820222.0,17924099.0,成都市锦江区,成都市锦江区柳江街道,20.0,30.0,11.0,20.0,81.0,95.18181818181819,64.81340996168582,38.50815865849726
