addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
天津市,市辖区,和平区,劝业场街道,117.1906037,39.1222333,45.0,271.0,345.0,521.0,547.0,348.0,13.0,562.0,1174.0,44.0,2.0,27.0,31.0,38.0,77.0,104.0,14.0,5.0,72.0,416.0,228.0,57.0,3.0,10.0,16.0,21.0,11859.0,71.0,117.0,40.0,55.0,271.0,114.0,66.0,24.0,25.0,0.0,23.0,45.0,92.0,87.0,43.0,0.0,100.0,189.0,4.0,1.0,6.0,4.0,7.0,17.0,19.0,4.0,2.0,12.0,189.0,35.0,11.0,0.0,0.0,3.0,4.0,4288.0,0.0,10.0,5.0,9.0,52.0,24.0,15.0,16.0,16.0,10819512351.0,15736627.0,市辖区和平区,市辖区和平区劝业场街道,20.0,30.0,30.0,20.0,100.0,97.33333333333333,68.88571428571429,68.88571428571429
天津市,市辖区,和平区,小白楼街道,117.2056727,39.119425,69.0,277.0,377.0,507.0,537.0,232.0,15.0,419.0,1120.0,24.0,2.0,22.0,26.0,33.0,80.0,99.0,14.0,4.0,57.0,364.0,249.0,56.0,8.0,7.0,16.0,22.0,11072.0,3.0,56.0,41.0,38.0,202.0,95.0,62.0,24.0,26.0,0.0,41.0,71.0,104.0,92.0,46.0,1.0,135.0,214.0,2.0,0.0,11.0,5.0,7.0,11.0,13.0,5.0,1.0,17.0,77.0,23.0,8.0,0.0,1.0,3.0,3.0,2110.0,3.0,8.0,0.0,4.0,31.0,33.0,16.0,17.0,17.0,10819512378.0,15736628.0,市辖区和平区,市辖区和平区小白楼街道,20.0,30.0,30.0,20.0,100.0,97.33333333333333,68.88571428571429,68.88571428571429
天津市,市辖区,和平区,五大道街道,117.1903193,39.1111726,77.0,215.0,325.0,516.0,537.0,383.0,8.0,512.0,1112.0,57.0,1.0,23.0,28.0,35.0,76.0,102.0,10.0,4.0,56.0,400.0,176.0,51.0,2.0,5.0,14.0,19.0,11544.0,72.0,68.0,38.0,60.0,217.0,103.0,67.0,22.0,25.0,0.0,22.0,14.0,92.0,47.0,10.0,0.0,94.0,95.0,3.0,0.0,0.0,3.0,4.0,10.0,15.0,0.0,0.0,2.0,54.0,32.0,7.0,0.0,1.0,1.0,2.0,4875.0,0.0,10.0,1.0,5.0,33.0,14.0,13.0,16.0,14.0,10819512406.0,15736630.0,市辖区和平区,市辖区和平区五大道街道,20.0,30.0,23.0,20.0,93.0,97.33333333333333,68.88571428571429,68.88571428571429
天津市,市辖区,和平区,新兴街道,117.1823125,39.1019611,85.0,164.0,214.0,393.0,466.0,358.0,0.0,479.0,923.0,62.0,3.0,26.0,27.0,31.0,70.0,103.0,8.0,3.0,41.0,288.0,169.0,37.0,1.0,4.0,8.0,20.0,11204.0,73.0,40.0,25.0,55.0,188.0,89.0,51.0,21.0,23.0,34.0,17.0,19.0,85.0,39.0,65.0,0.0,23.0,111.0,9.0,0.0,1.0,5.0,5.0,11.0,16.0,1.0,0.0,2.0,6.0,26.0,8.0,0.0,1.0,0.0,2.0,631.0,0.0,2.0,1.0,7.0,16.0,5.0,15.0,18.0,12.0,10819512407.0,15736631.0,市辖区和平区,市辖区和平区新兴街道,20.0,30.0,28.0,20.0,98.0,97.33333333333333,68.88571428571429,68.88571428571429
天津市,市辖区,和平区,南营门街道,117.1852915,39.1148528,65.0,186.0,325.0,508.0,547.0,376.0,10.0,543.0,1133.0,55.0,1.0,21.0,26.0,33.0,66.0,91.0,11.0,5.0,57.0,408.0,182.0,53.0,1.0,5.0,13.0,20.0,11727.0,71.0,72.0,34.0,53.0,237.0,109.0,66.0,22.0,25.0,0.0,23.0,21.0,67.0,45.0,46.0,0.0,65.0,117.0,5.0,0.0,1.0,5.0,6.0,14.0,16.0,0.0,0.0,2.0,45.0,37.0,8.0,0.0,1.0,1.0,3.0,4803.0,0.0,10.0,1.0,3.0,32.0,9.0,12.0,16.0,11.0,10819512394.0,15736629.0,市辖区和平区,市辖区和平区南营门街道,20.0,30.0,23.0,20.0,93.0,97.33333333333333,68.88571428571429,68.88571428571429
天津市,市辖区,和平区,南市街道,117.1782524,39.1309348,15.0,289.0,318.0,494.0,491.0,308.0,13.0,549.0,1161.0,38.0,1.0,20.0,26.0,33.0,54.0,71.0,11.0,4.0,65.0,386.0,194.0,46.0,2.0,9.0,14.0,21.0,10907.0,68.0,149.0,75.0,49.0,257.0,113.0,56.0,23.0,24.0,0.0,34.0,54.0,83.0,64.0,12.0,0.0,79.0,190.0,5.0,1.0,2.0,5.0,6.0,8.0,10.0,1.0,1.0,14.0,79.0,43.0,10.0,1.0,0.0,4.0,2.0,1227.0,0.0,18.0,13.0,2.0,22.0,8.0,14.0,15.0,13.0,10819499003.0,15736626.0,市辖区和平区,市辖区和平区南市街道,20.0,30.0,30.0,20.0,100.0,97.33333333333333,68.88571428571429,68.88571428571429
天津市,市辖区,河东区,大王庄街道,117.21537,39.1254618,75.0,272.0,366.0,449.0,545.0,218.0,15.0,404.0,1017.0,22.0,4.0,24.0,19.0,26.0,81.0,101.0,14.0,4.0,47.0,363.0,255.0,55.0,10.0,11.0,17.0,21.0,9882.0,5.0,62.0,82.0,29.0,232.0,85.0,53.0,24.0,27.0,4.0,62.0,57.0,52.0,70.0,21.0,9.0,48.0,96.0,2.0,1.0,2.0,1.0,1.0,5.0,7.0,1.0,0.0,7.0,15.0,33.0,8.0,0.0,2.0,1.0,1.0,242.0,0.0,5.0,0.0,2.0,14.0,18.0,10.0,19.0,12.0,10821072645.0,15738600.0,市辖区河东区,市辖区河东区大王庄街道,20.0,30.0,28.0,20.0,98.0,91.8076923076923,68.88571428571429,68.88571428571429
天津市,市辖区,河东区,大直沽街道,117.2372873,39.1114516,97.0,217.0,249.0,375.0,596.0,128.0,0.0,419.0,697.0,25.0,10.0,30.0,16.0,28.0,75.0,94.0,10.0,5.0,27.0,200.0,208.0,29.0,12.0,12.0,14.0,20.0,2818.0,5.0,59.0,69.0,14.0,237.0,30.0,31.0,21.0,26.0,10.0,25.0,11.0,33.0,99.0,8.0,0.0,20.0,51.0,4.0,1.0,0.0,1.0,1.0,11.0,13.0,1.0,0.0,4.0,5.0,33.0,6.0,3.0,2.0,1.0,2.0,130.0,0.0,1.0,0.0,0.0,29.0,3.0,7.0,15.0,16.0,10821072681.0,15738601.0,市辖区河东区,市辖区河东区大直沽街道,20.0,30.0,27.0,20.0,97.0,91.8076923076923,68.88571428571429,68.88571428571429
天津市,市辖区,河东区,中山门街道,117.2590998,39.1057225,96.0,77.0,186.0,314.0,514.0,143.0,5.0,335.0,518.0,24.0,10.0,19.0,10.0,22.0,40.0,55.0,5.0,7.0,18.0,145.0,168.0,16.0,15.0,10.0,12.0,16.0,2047.0,2.0,39.0,64.0,2.0,224.0,13.0,25.0,22.0,25.0,14.0,13.0,8.0,98.0,176.0,17.0,0.0,144.0,109.0,9.0,4.0,13.0,5.0,16.0,12.0,14.0,2.0,4.0,8.0,83.0,37.0,1.0,2.0,3.0,0.0,3.0,774.0,0.0,23.0,21.0,1.0,85.0,3.0,6.0,15.0,23.0,10821072676.0,15738602.0,市辖区河东区,市辖区河东区中山门街道,20.0,30.0,30.0,20.0,100.0,91.8076923076923,68.88571428571429,68.88571428571429
天津市,市辖区,河东区,富民路街道,117.2455889,39.0898256,123.0,104.0,212.0,349.0,524.0,97.0,7.0,335.0,589.0,27.0,13.0,20.0,12.0,25.0,61.0,75.0,5.0,7.0,19.0,118.0,163.0,20.0,11.0,10.0,13.0,14.0,1779.0,0.0,37.0,49.0,8.0,214.0,17.0,30.0,22.0,25.0,6.0,2.0,33.0,28.0,58.0,15.0,1.0,22.0,54.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,0.0,5.0,17.0,1.0,0.0,0.0,0.0,2.0,343.0,0.0,1.0,8.0,0.0,22.0,1.0,6.0,16.0,10.0,10821072682.0,15738603.0,市辖区河东区,市辖区河东区富民路街道,20.0,30.0,22.0,20.0,92.0,91.8076923076923,68.88571428571429,68.88571428571429
