addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
新疆维吾尔自治区,乌鲁木齐市,天山区,燕儿窝街道,87.5951115,43.737889,31.0,31.0,14.0,46.0,151.0,143.0,0.0,21.0,224.0,3.0,8.0,2.0,1.0,1.0,6.0,9.0,3.0,0.0,0.0,5.0,37.0,1.0,28.0,0.0,0.0,33.0,771.0,0.0,662.0,46.0,3.0,48.0,5.0,15.0,18.0,20.0,12.0,22.0,0.0,14.0,12.0,14.0,0.0,1.0,41.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,11.0,0.0,0.0,4.0,8.0,0.0,0.0,1.0,1.0,7.0,0.0,7.0,9.0,13.0,6126819275.0,9091358.0,乌鲁木齐市天山区,乌鲁木齐市天山区燕儿窝街道,20.0,30.0,9.0,20.0,79.0,87.7875,72.09508196721312,45.310534591194966
新疆维吾尔自治区,乌鲁木齐市,天山区,胜利路街道,87.6156096,43.765712,49.0,71.0,70.0,97.0,413.0,223.0,0.0,81.0,587.0,21.0,9.0,11.0,13.0,15.0,28.0,35.0,18.0,1.0,16.0,73.0,50.0,2.0,12.0,1.0,0.0,168.0,3940.0,1.0,2821.0,22.0,9.0,128.0,29.0,32.0,23.0,23.0,3.0,14.0,12.0,10.0,55.0,29.0,0.0,20.0,64.0,4.0,0.0,3.0,5.0,6.0,9.0,13.0,3.0,0.0,4.0,21.0,3.0,0.0,0.0,0.0,0.0,19.0,743.0,1.0,607.0,0.0,4.0,41.0,7.0,7.0,15.0,7.0,6126819269.0,9091352.0,乌鲁木齐市天山区,乌鲁木齐市天山区胜利路街道,20.0,30.0,28.0,20.0,98.0,87.7875,72.09508196721312,45.310534591194966
新疆维吾尔自治区,乌鲁木齐市,天山区,团结路街道,87.6163725,43.776546,48.0,88.0,96.0,114.0,466.0,182.0,0.0,121.0,681.0,21.0,6.0,16.0,17.0,20.0,30.0,40.0,18.0,1.0,21.0,85.0,44.0,2.0,8.0,1.0,0.0,205.0,4846.0,1.0,3573.0,12.0,19.0,119.0,34.0,43.0,22.0,22.0,14.0,16.0,13.0,38.0,63.0,14.0,0.0,23.0,106.0,10.0,1.0,5.0,8.0,8.0,8.0,9.0,5.0,1.0,3.0,28.0,6.0,1.0,0.0,0.0,0.0,30.0,874.0,0.0,514.0,7.0,1.0,15.0,7.0,11.0,16.0,10.0,6126819270.0,9091353.0,乌鲁木齐市天山区,乌鲁木齐市天山区团结路街道,20.0,30.0,30.0,20.0,100.0,87.7875,72.09508196721312,45.310534591194966
新疆维吾尔自治区,乌鲁木齐市,天山区,解放南路街道,87.6124861,43.7872744,60.0,118.0,141.0,118.0,494.0,197.0,0.0,131.0,789.0,27.0,3.0,15.0,18.0,21.0,31.0,39.0,18.0,2.0,22.0,98.0,31.0,1.0,6.0,1.0,0.0,218.0,5388.0,1.0,3966.0,19.0,17.0,152.0,43.0,47.0,22.0,23.0,2.0,4.0,32.0,26.0,76.0,19.0,0.0,31.0,96.0,7.0,0.0,1.0,6.0,6.0,4.0,4.0,5.0,0.0,10.0,14.0,8.0,0.0,0.0,0.0,0.0,34.0,842.0,0.0,409.0,2.0,4.0,17.0,8.0,18.0,16.0,9.0,6126819267.0,9091350.0,乌鲁木齐市天山区,乌鲁木齐市天山区解放南路街道,20.0,30.0,28.0,20.0,98.0,87.7875,72.09508196721312,45.310534591194966
新疆维吾尔自治区,乌鲁木齐市,天山区,新华南路街道,87.6066799,43.7778758,59.0,106.0,98.0,101.0,451.0,228.0,0.0,126.0,683.0,24.0,7.0,16.0,14.0,17.0,29.0,37.0,20.0,2.0,22.0,95.0,40.0,2.0,9.0,1.0,0.0,190.0,5379.0,1.0,3995.0,12.0,18.0,121.0,38.0,44.0,22.0,21.0,19.0,15.0,12.0,27.0,54.0,30.0,0.0,35.0,90.0,9.0,1.0,6.0,5.0,5.0,7.0,7.0,3.0,0.0,5.0,15.0,3.0,0.0,0.0,1.0,0.0,24.0,1141.0,0.0,836.0,1.0,0.0,17.0,8.0,13.0,18.0,8.0,6126819273.0,9091356.0,乌鲁木齐市天山区,乌鲁木齐市天山区新华南路街道,20.0,30.0,28.0,20.0,98.0,87.7875,72.09508196721312,45.310534591194966
新疆维吾尔自治区,乌鲁木齐市,天山区,和平路街道,87.6304555,43.7847769,42.0,65.0,130.0,139.0,449.0,102.0,0.0,88.0,692.0,25.0,5.0,16.0,18.0,20.0,31.0,40.0,17.0,1.0,19.0,70.0,50.0,2.0,2.0,1.0,3.0,197.0,3553.0,1.0,2407.0,15.0,16.0,140.0,28.0,39.0,21.0,20.0,12.0,13.0,15.0,16.0,71.0,17.0,0.0,6.0,84.0,1.0,0.0,1.0,1.0,2.0,7.0,7.0,2.0,1.0,2.0,15.0,7.0,1.0,1.0,0.0,0.0,26.0,265.0,0.0,18.0,6.0,1.0,19.0,0.0,9.0,14.0,11.0,6126819263.0,9091346.0,乌鲁木齐市天山区,乌鲁木齐市天山区和平路街道,20.0,30.0,30.0,20.0,100.0,87.7875,72.09508196721312,45.310534591194966
新疆维吾尔自治区,乌鲁木齐市,天山区,解放北路街道,87.6209165,43.7947205,48.0,107.0,151.0,120.0,553.0,129.0,0.0,164.0,802.0,26.0,5.0,16.0,16.0,18.0,30.0,37.0,14.0,2.0,23.0,89.0,43.0,1.0,3.0,1.0,0.0,214.0,4277.0,0.0,3022.0,21.0,19.0,123.0,47.0,42.0,20.0,23.0,10.0,23.0,33.0,31.0,42.0,12.0,0.0,18.0,114.0,1.0,0.0,4.0,3.0,4.0,6.0,8.0,3.0,0.0,9.0,8.0,10.0,0.0,0.0,0.0,0.0,34.0,421.0,0.0,291.0,1.0,5.0,23.0,7.0,16.0,15.0,8.0,6126819266.0,9091349.0,乌鲁木齐市天山区,乌鲁木齐市天山区解放北路街道,20.0,30.0,28.0,20.0,98.0,87.7875,72.09508196721312,45.310534591194966
新疆维吾尔自治区,乌鲁木齐市,天山区,幸福路街道,87.6511598,43.7803385,28.0,34.0,92.0,113.0,325.0,57.0,0.0,51.0,462.0,17.0,4.0,6.0,10.0,11.0,20.0,25.0,13.0,1.0,8.0,44.0,56.0,3.0,4.0,0.0,3.0,125.0,864.0,0.0,269.0,15.0,6.0,67.0,15.0,19.0,18.0,16.0,6.0,0.0,21.0,22.0,85.0,1.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,15.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,6.0,6126819271.0,9091354.0,乌鲁木齐市天山区,乌鲁木齐市天山区幸福路街道,20.0,30.0,15.0,20.0,85.0,87.7875,72.09508196721312,45.310534591194966
新疆维吾尔自治区,乌鲁木齐市,天山区,东门街道,87.6298645,43.7981494,37.0,79.0,146.0,119.0,512.0,103.0,1.0,174.0,733.0,28.0,5.0,13.0,15.0,17.0,25.0,31.0,12.0,2.0,18.0,71.0,43.0,1.0,1.0,0.0,0.0,180.0,2888.0,0.0,1785.0,22.0,15.0,123.0,33.0,41.0,19.0,21.0,10.0,20.0,26.0,24.0,40.0,5.0,0.0,12.0,141.0,3.0,0.0,4.0,5.0,5.0,8.0,10.0,0.0,0.0,3.0,2.0,9.0,0.0,1.0,0.0,0.0,25.0,89.0,0.0,38.0,0.0,4.0,28.0,2.0,12.0,14.0,8.0,6126819262.0,9091345.0,乌鲁木齐市天山区,乌鲁木齐市天山区东门街道,20.0,30.0,19.0,20.0,89.0,87.7875,72.09508196721312,45.310534591194966
新疆维吾尔自治区,乌鲁木齐市,天山区,新华北路街道,87.6104285,43.7964489,78.0,125.0,140.0,115.0,500.0,167.0,0.0,197.0,828.0,27.0,5.0,20.0,15.0,17.0,30.0,36.0,13.0,2.0,27.0,97.0,34.0,1.0,4.0,1.0,0.0,206.0,4764.0,0.0,3487.0,21.0,21.0,122.0,51.0,46.0,20.0,23.0,2.0,25.0,46.0,15.0,46.0,7.0,0.0,19.0,96.0,4.0,0.0,6.0,2.0,2.0,3.0,5.0,2.0,0.0,8.0,11.0,8.0,0.0,0.0,0.0,0.0,26.0,761.0,0.0,637.0,2.0,5.0,19.0,9.0,21.0,15.0,7.0,6126819272.0,9091355.0,乌鲁木齐市天山区,乌鲁木齐市天山区新华北路街道,20.0,30.0,28.0,20.0,98.0,87.7875,72.09508196721312,45.310534591194966
