addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
西藏自治区,拉萨市,城关区,八廓街道,91.1313483,29.6516869,21.0,30.0,119.0,44.0,197.0,239.0,10.0,369.0,4.0,30.0,1.0,4.0,7.0,8.0,11.0,13.0,5.0,2.0,7.0,78.0,20.0,12.0,2.0,1.0,1.0,42.0,2358.0,0.0,3.0,18.0,25.0,89.0,59.0,31.0,18.0,24.0,2.0,3.0,17.0,9.0,19.0,54.0,0.0,159.0,0.0,6.0,0.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,2.0,43.0,4.0,3.0,0.0,1.0,0.0,19.0,1315.0,0.0,2.0,6.0,17.0,21.0,33.0,13.0,12.0,11.0,4103161628.0,8252837.0,拉萨市城关区,拉萨市城关区八廓街道,20.0,30.0,28.0,20.0,98.0,81.575,47.636923076923075,40.686447931526395
西藏自治区,拉萨市,城关区,吉日街道,91.1362811,29.6523753,21.0,30.0,121.0,49.0,187.0,233.0,9.0,337.0,4.0,31.0,1.0,4.0,7.0,8.0,11.0,13.0,5.0,2.0,7.0,73.0,21.0,7.0,2.0,1.0,1.0,39.0,2371.0,0.0,3.0,19.0,24.0,84.0,56.0,31.0,18.0,23.0,2.0,5.0,23.0,9.0,17.0,35.0,0.0,139.0,0.0,3.0,0.0,1.0,1.0,1.0,6.0,7.0,2.0,0.0,3.0,40.0,4.0,2.0,0.0,1.0,0.0,20.0,1033.0,0.0,2.0,3.0,17.0,14.0,30.0,15.0,13.0,11.0,4103161630.0,8252836.0,拉萨市城关区,拉萨市城关区吉日街道,20.0,30.0,28.0,20.0,98.0,81.575,47.636923076923075,40.686447931526395
西藏自治区,拉萨市,城关区,吉崩岗街道,91.1301674,29.6578417,21.0,30.0,121.0,46.0,206.0,249.0,12.0,344.0,4.0,25.0,1.0,4.0,7.0,8.0,14.0,16.0,5.0,2.0,7.0,79.0,15.0,11.0,1.0,1.0,0.0,42.0,2349.0,0.0,3.0,19.0,26.0,87.0,57.0,32.0,18.0,22.0,2.0,5.0,22.0,7.0,38.0,30.0,0.0,168.0,0.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,44.0,3.0,1.0,0.0,1.0,0.0,20.0,1262.0,0.0,2.0,4.0,14.0,17.0,36.0,16.0,12.0,14.0,4103161632.0,8252844.0,拉萨市城关区,拉萨市城关区吉崩岗街道,20.0,30.0,30.0,20.0,100.0,81.575,47.636923076923075,40.686447931526395
西藏自治区,拉萨市,城关区,扎细街道,91.1436485,29.6753084,34.0,21.0,78.0,24.0,189.0,120.0,7.0,228.0,2.0,7.0,1.0,1.0,8.0,8.0,12.0,14.0,7.0,0.0,4.0,53.0,21.0,4.0,0.0,2.0,0.0,34.0,1398.0,0.0,2.0,26.0,22.0,43.0,40.0,21.0,18.0,18.0,0.0,0.0,6.0,3.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,6.0,6.0,4103161638.0,8252868.0,拉萨市城关区,拉萨市城关区扎细街道,20.0,30.0,17.0,20.0,87.0,81.575,47.636923076923075,40.686447931526395
西藏自治区,拉萨市,城关区,公德林街道,91.1157307,29.6674153,27.0,24.0,100.0,39.0,188.0,216.0,13.0,362.0,6.0,19.0,0.0,4.0,7.0,8.0,11.0,13.0,5.0,2.0,7.0,78.0,15.0,11.0,0.0,1.0,0.0,37.0,2212.0,0.0,2.0,17.0,28.0,85.0,56.0,34.0,19.0,24.0,0.0,8.0,6.0,6.0,35.0,28.0,2.0,56.0,4.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,91.0,0.0,0.0,1.0,0.0,9.0,4.0,9.0,13.0,10.0,4103161631.0,8252867.0,拉萨市城关区,拉萨市城关区公德林街道,20.0,28.0,24.0,20.0,92.0,81.575,47.636923076923075,40.686447931526395
西藏自治区,拉萨市,城关区,嘎玛贡桑街道,91.1521483,29.6600852,30.0,25.0,105.0,29.0,161.0,128.0,18.0,198.0,0.0,9.0,1.0,4.0,6.0,6.0,11.0,14.0,5.0,0.0,3.0,61.0,19.0,5.0,1.0,1.0,1.0,37.0,1704.0,0.0,20.0,26.0,24.0,35.0,48.0,24.0,15.0,19.0,0.0,6.0,7.0,2.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,146.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,7.0,6.0,4103161634.0,8252869.0,拉萨市城关区,拉萨市城关区嘎玛贡桑街道,20.0,28.0,13.0,20.0,81.0,81.575,47.636923076923075,40.686447931526395
西藏自治区,拉萨市,城关区,两岛街道,91.1265224,29.6421365,21.0,30.0,109.0,47.0,154.0,234.0,7.0,456.0,4.0,40.0,2.0,4.0,5.0,6.0,10.0,12.0,5.0,2.0,6.0,74.0,29.0,11.0,1.0,2.0,0.0,31.0,2286.0,2.0,3.0,18.0,23.0,92.0,72.0,31.0,18.0,22.0,12.0,0.0,15.0,11.0,29.0,56.0,0.0,49.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,5.0,355.0,0.0,0.0,4.0,3.0,8.0,5.0,8.0,9.0,9.0,4103161635.0,8252870.0,拉萨市城关区,拉萨市城关区两岛街道,20.0,30.0,11.0,20.0,81.0,81.575,47.636923076923075,40.686447931526395
西藏自治区,拉萨市,城关区,金珠西路街道,91.0496986,29.6398055,61.0,4.0,8.0,28.0,115.0,267.0,20.0,265.0,6.0,19.0,2.0,2.0,1.0,1.0,5.0,7.0,3.0,0.0,0.0,4.0,21.0,8.0,12.0,0.0,0.0,5.0,259.0,0.0,2.0,74.0,2.0,56.0,12.0,14.0,20.0,19.0,4.0,0.0,0.0,3.0,23.0,29.0,3.0,45.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,48.0,0.0,0.0,21.0,0.0,3.0,1.0,7.0,8.0,11.0,4103161633.0,8252882.0,拉萨市城关区,拉萨市城关区金珠西路街道,20.0,30.0,10.0,20.0,80.0,81.575,47.636923076923075,40.686447931526395
西藏自治区,拉萨市,城关区,蔡公堂街道,91.2199142,29.6415548,14.0,13.0,3.0,32.0,14.0,34.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,13.0,16.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,1.0,6.0,19.0,0.0,0.0,16.0,0.0,11.0,1.0,5.0,8.0,14.0,2.0,0.0,0.0,12.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,6.0,4038341292.0,8252888.0,拉萨市城关区,拉萨市城关区蔡公堂街道,20.0,22.0,5.0,7.9,54.9,81.575,47.636923076923075,40.686447931526395
西藏自治区,拉萨市,城关区,夺底街道,91.1599,29.7119,7.0,0.0,8.0,0.0,49.0,17.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,12.0,0.0,7.0,2.0,4.0,11.0,8.0,0.0,0.0,7.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,4.0,4103161637.0,8252891.0,拉萨市城关区,拉萨市城关区夺底街道,19.0,21.8,5.0,6.2,52.0,81.575,47.636923076923075,40.686447931526395
