addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
云南省,昆明市,五华区,华山街道,102.704219,25.0550933,10.0,173.0,121.0,137.0,681.0,979.0,39.0,1552.0,752.0,188.0,8.0,25.0,76.0,200.0,75.0,126.0,25.0,20.0,167.0,1651.0,363.0,37.0,16.0,33.0,36.0,42.0,2666.0,136.0,557.0,164.0,342.0,351.0,292.0,121.0,32.0,31.0,0.0,31.0,36.0,36.0,78.0,206.0,2.0,370.0,123.0,38.0,1.0,11.0,8.0,21.0,17.0,30.0,6.0,4.0,19.0,215.0,45.0,2.0,1.0,1.0,3.0,4.0,438.0,14.0,183.0,19.0,37.0,78.0,73.0,46.0,17.0,22.0,7012043097.0,10339990.0,昆明市五华区,昆明市五华区华山街道,20.0,30.0,30.0,20.0,100.0,90.99,55.690780141843966,39.13946815955214
云南省,昆明市,五华区,护国街道,102.7104418,25.0429364,3.0,198.0,127.0,154.0,734.0,925.0,47.0,1660.0,748.0,210.0,7.0,33.0,65.0,166.0,73.0,114.0,28.0,23.0,158.0,1529.0,359.0,38.0,9.0,35.0,40.0,47.0,2627.0,153.0,554.0,148.0,346.0,335.0,311.0,127.0,31.0,29.0,0.0,30.0,38.0,28.0,103.0,189.0,0.0,369.0,135.0,41.0,0.0,12.0,14.0,32.0,11.0,15.0,5.0,1.0,59.0,455.0,49.0,10.0,0.0,10.0,6.0,7.0,528.0,55.0,205.0,31.0,93.0,35.0,79.0,48.0,20.0,18.0,7012043098.0,10339991.0,昆明市五华区,昆明市五华区护国街道,20.0,30.0,30.0,20.0,100.0,90.99,55.690780141843966,39.13946815955214
云南省,昆明市,五华区,大观街道,102.6958615,25.0416043,5.0,204.0,142.0,158.0,722.0,1094.0,61.0,1896.0,714.0,194.0,6.0,29.0,63.0,168.0,78.0,122.0,25.0,22.0,150.0,1627.0,342.0,44.0,17.0,28.0,38.0,51.0,2567.0,125.0,570.0,187.0,348.0,384.0,317.0,118.0,34.0,28.0,0.0,24.0,19.0,18.0,92.0,101.0,13.0,214.0,114.0,25.0,0.0,5.0,10.0,31.0,12.0,18.0,3.0,4.0,30.0,235.0,41.0,3.0,1.0,7.0,6.0,6.0,296.0,22.0,28.0,19.0,40.0,41.0,42.0,24.0,18.0,18.0,7012043093.0,10339985.0,昆明市五华区,昆明市五华区大观街道,20.0,30.0,30.0,20.0,100.0,90.99,55.690780141843966,39.13946815955214
云南省,昆明市,五华区,龙翔街道,102.6873609,25.0521556,19.0,187.0,124.0,150.0,647.0,1012.0,52.0,1579.0,663.0,179.0,10.0,26.0,56.0,155.0,65.0,112.0,19.0,18.0,131.0,1392.0,364.0,49.0,40.0,26.0,34.0,38.0,2066.0,93.0,433.0,154.0,261.0,352.0,229.0,98.0,31.0,31.0,0.0,52.0,6.0,27.0,116.0,131.0,14.0,182.0,104.0,17.0,1.0,2.0,18.0,45.0,6.0,15.0,3.0,8.0,23.0,404.0,43.0,4.0,1.0,3.0,8.0,7.0,276.0,18.0,53.0,18.0,126.0,46.0,24.0,17.0,19.0,13.0,7012043100.0,10339993.0,昆明市五华区,昆明市五华区龙翔街道,20.0,30.0,30.0,20.0,100.0,90.99,55.690780141843966,39.13946815955214
云南省,昆明市,五华区,丰宁街道,102.6782355,25.0622746,14.0,147.0,71.0,129.0,532.0,782.0,50.0,964.0,498.0,130.0,14.0,9.0,39.0,105.0,54.0,97.0,8.0,13.0,75.0,899.0,313.0,41.0,49.0,12.0,35.0,27.0,1383.0,40.0,249.0,107.0,178.0,305.0,138.0,63.0,32.0,29.0,2.0,16.0,8.0,10.0,98.0,179.0,3.0,140.0,70.0,25.0,3.0,0.0,7.0,27.0,5.0,10.0,1.0,3.0,9.0,174.0,53.0,16.0,8.0,2.0,3.0,5.0,168.0,1.0,31.0,20.0,22.0,40.0,17.0,9.0,23.0,13.0,7012043094.0,10339986.0,昆明市五华区,昆明市五华区丰宁街道,20.0,30.0,30.0,20.0,100.0,90.99,55.690780141843966,39.13946815955214
云南省,昆明市,五华区,莲华街道,102.696989,25.0696246,17.0,159.0,79.0,125.0,584.0,858.0,32.0,1151.0,550.0,141.0,12.0,16.0,52.0,145.0,52.0,96.0,16.0,16.0,95.0,1061.0,316.0,35.0,29.0,22.0,24.0,23.0,1653.0,51.0,353.0,112.0,197.0,314.0,167.0,78.0,29.0,29.0,0.0,9.0,7.0,17.0,54.0,146.0,4.0,131.0,85.0,25.0,0.0,0.0,4.0,12.0,6.0,20.0,1.0,1.0,7.0,98.0,37.0,3.0,2.0,0.0,5.0,1.0,291.0,5.0,66.0,26.0,1.0,42.0,7.0,10.0,20.0,22.0,7012043099.0,10339992.0,昆明市五华区,昆明市五华区莲华街道,20.0,30.0,30.0,20.0,100.0,90.99,55.690780141843966,39.13946815955214
云南省,昆明市,五华区,红云街道,102.723825,25.1169099,8.0,16.0,40.0,57.0,260.0,218.0,1.0,380.0,113.0,32.0,4.0,1.0,1.0,2.0,18.0,21.0,1.0,0.0,2.0,11.0,116.0,4.0,18.0,1.0,19.0,10.0,774.0,2.0,8.0,16.0,12.0,91.0,15.0,16.0,23.0,28.0,0.0,4.0,4.0,6.0,36.0,16.0,0.0,52.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,5.0,0.0,1.0,1.0,69.0,0.0,0.0,2.0,1.0,12.0,2.0,4.0,13.0,9.0,7012043096.0,10339989.0,昆明市五华区,昆明市五华区红云街道,20.0,30.0,10.0,20.0,80.0,90.99,55.690780141843966,39.13946815955214
云南省,昆明市,五华区,黑林铺街道,102.6523383,25.0670356,23.0,71.0,65.0,78.0,318.0,442.0,22.0,317.0,257.0,73.0,13.0,3.0,12.0,28.0,21.0,33.0,2.0,1.0,14.0,131.0,219.0,33.0,55.0,5.0,31.0,15.0,539.0,4.0,18.0,31.0,17.0,155.0,31.0,28.0,29.0,31.0,1.0,7.0,8.0,12.0,45.0,50.0,0.0,14.0,25.0,5.0,1.0,1.0,2.0,2.0,5.0,9.0,0.0,0.0,2.0,9.0,42.0,3.0,7.0,0.0,5.0,1.0,57.0,0.0,2.0,2.0,4.0,18.0,1.0,4.0,19.0,10.0,7012043095.0,10339988.0,昆明市五华区,昆明市五华区黑林铺街道,20.0,30.0,23.0,20.0,93.0,90.99,55.690780141843966,39.13946815955214
云南省,昆明市,五华区,普吉街道,102.6687422,25.102321,41.0,25.0,20.0,76.0,151.0,140.0,1.0,55.0,108.0,25.0,10.0,1.0,2.0,2.0,12.0,17.0,0.0,0.0,0.0,10.0,72.0,6.0,28.0,2.0,17.0,11.0,111.0,0.0,3.0,18.0,0.0,67.0,3.0,16.0,26.0,26.0,0.0,7.0,3.0,23.0,31.0,18.0,1.0,0.0,27.0,7.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,13.0,1.0,4.0,0.0,5.0,5.0,8.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0,12.0,12.0,7012043101.0,10339994.0,昆明市五华区,昆明市五华区普吉街道,20.0,30.0,15.0,18.1,83.1,90.99,55.690780141843966,39.13946815955214
云南省,昆明市,五华区,西翥街道,102.6620209,25.1627432,0.0,2.0,10.0,11.0,84.0,35.0,4.0,80.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,1.0,8.0,3.0,0.0,0.0,5.0,0.0,4.0,1.0,6.0,15.0,16.0,0.0,0.0,7.0,2.0,25.0,5.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,7.0,7012043103.0,10339995.0,昆明市五华区,昆明市五华区西翥街道,20.0,24.0,5.0,4.8,53.8,90.99,55.690780141843966,39.13946815955214
