addr_1,addr_2,addr_3,addr_4,lon,lat,hw_trunk_3km,hw_primary_3km,hw_secondary_3km,hw_tertiary_3km,hw_res_uncl_3km,hw_service_3km,hw_cycleway_3km,hw_footway_3km,hw_bus_stop_3km,hw_parking_3km,hw_fuel_3km,am_gov_3km,am_medical_3km,am_healthcare_3km,am_school_3km,am_education_3km,am_police_3km,am_post_3km,am_bank_3km,am_shop_3km,lu_residential_3km,lu_commercial_3km,lu_industrial_3km,lu_retail_3km,lu_construction_3km,pl_3km,bld_3km,blp_3km,bll_3km,mm_3km,ad_3km,lsr_3km,trs_3km,wd_3km,hw_types_3km,lu_types_3km,hw_trunk_1km,hw_primary_1km,hw_secondary_1km,hw_tertiary_1km,hw_res_uncl_1km,hw_service_1km,hw_cycleway_1km,hw_footway_1km,hw_bus_stop_1km,hw_parking_1km,hw_fuel_1km,am_gov_1km,am_medical_1km,am_healthcare_1km,am_school_1km,am_education_1km,am_police_1km,am_post_1km,am_bank_1km,am_shop_1km,lu_residential_1km,lu_commercial_1km,lu_industrial_1km,lu_retail_1km,lu_construction_1km,pl_1km,bld_1km,blp_1km,bll_1km,mm_1km,ad_1km,lsr_1km,trs_1km,wd_1km,hw_types_1km,lu_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
浙江省,杭州市,上城区,清波街道,120.1564266,30.2409992,43.0,235.0,278.0,151.0,385.0,1243.0,61.0,1135.0,1201.0,66.0,2.0,47.0,20.0,31.0,50.0,73.0,18.0,9.0,44.0,329.0,182.0,42.0,3.0,9.0,15.0,65.0,4284.0,4.0,39.0,43.0,267.0,176.0,230.0,49.0,25.0,31.0,0.0,14.0,30.0,15.0,33.0,62.0,3.0,147.0,107.0,11.0,0.0,4.0,1.0,3.0,6.0,10.0,4.0,2.0,3.0,65.0,12.0,2.0,0.0,0.0,1.0,7.0,360.0,0.0,3.0,9.0,73.0,21.0,55.0,23.0,16.0,15.0,5322427569.0,8504430.0,杭州市上城区,杭州市上城区清波街道,20.0,30.0,30.0,20.0,100.0,93.42857142857143,64.88167539267016,51.55509157509157
浙江省,杭州市,上城区,湖滨街道,120.1659292,30.257916,45.0,338.0,421.0,175.0,522.0,1277.0,107.0,1122.0,1628.0,74.0,6.0,47.0,27.0,40.0,65.0,87.0,21.0,11.0,66.0,424.0,276.0,57.0,0.0,12.0,14.0,108.0,4342.0,57.0,25.0,29.0,575.0,195.0,196.0,71.0,25.0,31.0,8.0,74.0,61.0,21.0,134.0,243.0,19.0,204.0,275.0,8.0,0.0,22.0,11.0,18.0,13.0,16.0,5.0,2.0,30.0,141.0,55.0,4.0,0.0,3.0,2.0,19.0,1004.0,4.0,5.0,1.0,93.0,30.0,41.0,15.0,19.0,15.0,5289271244.0,8504429.0,杭州市上城区,杭州市上城区湖滨街道,20.0,30.0,30.0,20.0,100.0,93.42857142857143,64.88167539267016,51.55509157509157
浙江省,杭州市,上城区,小营街道,120.1721223,30.2420829,53.0,299.0,352.0,199.0,439.0,1239.0,79.0,906.0,1500.0,56.0,4.0,52.0,27.0,37.0,68.0,96.0,20.0,9.0,51.0,319.0,281.0,39.0,2.0,7.0,25.0,91.0,4356.0,13.0,30.0,28.0,290.0,202.0,168.0,53.0,25.0,29.0,12.0,24.0,75.0,34.0,59.0,190.0,14.0,108.0,264.0,8.0,0.0,4.0,4.0,9.0,11.0,13.0,4.0,5.0,5.0,57.0,43.0,3.0,0.0,0.0,2.0,12.0,592.0,0.0,5.0,1.0,59.0,32.0,32.0,17.0,19.0,13.0,5293483125.0,8504434.0,杭州市上城区,杭州市上城区小营街道,20.0,30.0,30.0,20.0,100.0,93.42857142857143,64.88167539267016,51.55509157509157
浙江省,杭州市,上城区,南星街道,120.1576771,30.2097152,29.0,192.0,147.0,102.0,172.0,653.0,54.0,553.0,797.0,34.0,5.0,12.0,9.0,9.0,23.0,36.0,5.0,0.0,6.0,59.0,107.0,33.0,28.0,0.0,18.0,33.0,2717.0,4.0,80.0,31.0,37.0,136.0,79.0,31.0,23.0,25.0,0.0,21.0,10.0,29.0,10.0,148.0,1.0,44.0,107.0,2.0,1.0,5.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,3.0,17.0,2.0,1.0,0.0,0.0,4.0,422.0,0.0,0.0,0.0,1.0,40.0,2.0,7.0,13.0,12.0,5322427567.0,8504432.0,杭州市上城区,杭州市上城区南星街道,20.0,30.0,18.0,20.0,88.0,93.42857142857143,64.88167539267016,51.55509157509157
浙江省,杭州市,上城区,紫阳街道,120.1718533,30.2214689,60.0,178.0,240.0,175.0,259.0,916.0,64.0,647.0,1103.0,35.0,5.0,30.0,14.0,17.0,39.0,62.0,12.0,3.0,11.0,123.0,161.0,22.0,3.0,1.0,27.0,48.0,2987.0,5.0,34.0,22.0,106.0,176.0,98.0,39.0,27.0,25.0,17.0,53.0,25.0,33.0,37.0,259.0,18.0,57.0,138.0,4.0,1.0,6.0,2.0,2.0,9.0,12.0,2.0,0.0,3.0,6.0,33.0,7.0,1.0,0.0,6.0,10.0,723.0,0.0,0.0,9.0,1.0,45.0,6.0,7.0,20.0,14.0,5288970845.0,8504431.0,杭州市上城区,杭州市上城区紫阳街道,20.0,30.0,28.0,20.0,98.0,93.42857142857143,64.88167539267016,51.55509157509157
浙江省,杭州市,上城区,望江街道,120.1938406,30.2377572,42.0,284.0,336.0,193.0,356.0,943.0,62.0,560.0,1349.0,33.0,4.0,30.0,17.0,22.0,50.0,75.0,13.0,6.0,26.0,132.0,234.0,26.0,0.0,0.0,25.0,68.0,2974.0,81.0,39.0,6.0,107.0,152.0,69.0,42.0,25.0,19.0,8.0,24.0,63.0,42.0,64.0,209.0,12.0,115.0,200.0,7.0,2.0,14.0,3.0,3.0,7.0,11.0,1.0,0.0,2.0,9.0,52.0,3.0,0.0,0.0,9.0,10.0,579.0,8.0,4.0,1.0,1.0,35.0,7.0,7.0,19.0,11.0,5322427568.0,8504433.0,杭州市上城区,杭州市上城区望江街道,20.0,30.0,28.0,20.0,98.0,93.42857142857143,64.88167539267016,51.55509157509157
浙江省,杭州市,上城区,凯旋街道,120.1994267,30.2699621,30.0,350.0,528.0,153.0,568.0,675.0,90.0,448.0,1697.0,27.0,4.0,8.0,14.0,17.0,59.0,76.0,5.0,1.0,21.0,98.0,278.0,26.0,0.0,4.0,34.0,95.0,2619.0,75.0,10.0,7.0,220.0,106.0,25.0,48.0,26.0,18.0,6.0,12.0,31.0,25.0,78.0,44.0,2.0,21.0,278.0,1.0,0.0,0.0,1.0,1.0,12.0,17.0,0.0,0.0,0.0,12.0,46.0,5.0,0.0,2.0,3.0,13.0,137.0,2.0,0.0,0.0,2.0,10.0,1.0,7.0,19.0,10.0,5468835081.0,9086418.0,杭州市上城区,杭州市上城区凯旋街道,20.0,30.0,21.0,20.0,91.0,93.42857142857143,64.88167539267016,51.55509157509157
浙江省,杭州市,上城区,采荷街道,120.193951,30.2578492,46.0,366.0,422.0,172.0,519.0,856.0,94.0,589.0,1737.0,30.0,4.0,34.0,21.0,27.0,63.0,83.0,13.0,6.0,41.0,156.0,301.0,21.0,0.0,3.0,34.0,97.0,3007.0,76.0,19.0,9.0,221.0,146.0,51.0,44.0,25.0,19.0,6.0,58.0,42.0,19.0,62.0,56.0,0.0,35.0,252.0,4.0,1.0,2.0,2.0,2.0,9.0,14.0,0.0,0.0,1.0,9.0,49.0,5.0,0.0,0.0,4.0,20.0,232.0,2.0,0.0,0.0,10.0,6.0,1.0,9.0,16.0,10.0,5468835082.0,9086403.0,杭州市上城区,杭州市上城区采荷街道,20.0,30.0,23.0,20.0,93.0,93.42857142857143,64.88167539267016,51.55509157509157
浙江省,杭州市,上城区,闸弄口街道,120.186526,30.2914991,58.0,377.0,432.0,181.0,748.0,1153.0,108.0,567.0,1627.0,42.0,6.0,3.0,14.0,21.0,55.0,81.0,7.0,2.0,17.0,111.0,271.0,31.0,12.0,11.0,53.0,88.0,3566.0,45.0,14.0,8.0,252.0,157.0,34.0,44.0,25.0,22.0,6.0,44.0,11.0,24.0,194.0,79.0,2.0,23.0,153.0,7.0,1.0,0.0,4.0,5.0,8.0,13.0,0.0,0.0,2.0,14.0,53.0,4.0,0.0,0.0,4.0,15.0,902.0,0.0,1.0,0.0,2.0,17.0,3.0,10.0,19.0,12.0,5468835084.0,9088442.0,杭州市上城区,杭州市上城区闸弄口街道,20.0,30.0,23.0,20.0,93.0,93.42857142857143,64.88167539267016,51.55509157509157
浙江省,杭州市,上城区,四季青街道,120.1982241,30.2548183,41.0,303.0,404.0,158.0,442.0,771.0,79.0,487.0,1545.0,21.0,4.0,30.0,17.0,22.0,56.0,77.0,11.0,5.0,24.0,107.0,276.0,22.0,0.0,3.0,32.0,85.0,2556.0,78.0,23.0,8.0,147.0,129.0,33.0,39.0,25.0,18.0,8.0,62.0,50.0,23.0,82.0,68.0,0.0,35.0,243.0,5.0,1.0,3.0,2.0,2.0,9.0,14.0,0.0,0.0,2.0,10.0,36.0,7.0,0.0,0.0,5.0,17.0,291.0,6.0,1.0,0.0,11.0,7.0,2.0,11.0,16.0,9.0,5468835083.0,9086435.0,杭州市上城区,杭州市上城区四季青街道,20.0,30.0,23.0,20.0,93.0,93.42857142857143,64.88167539267016,51.55509157509157
